season,matches,game_matched,xg_matched,game_coverage_pct,xg_coverage_pct
2012,338,0,0,0.0,0.0
2013,338,338,338,100.0,100.0
2014,338,338,338,100.0,100.0
2015,357,357,357,100.0,100.0
2016,357,357,357,100.0,100.0
2017,391,391,391,100.0,100.0
2018,408,408,408,100.0,100.0
2019,421,421,421,100.0,100.0
2020,324,324,324,100.0,100.0
2021,472,472,472,100.0,100.0
2022,489,489,489,100.0,100.0
2023,521,521,521,100.0,100.0
2024,522,522,522,100.0,100.0
2025,540,540,540,100.0,100.0
2026,357,357,357,100.0,100.0
