season,history_matches,odds_matches,odds_coverage_pct,teams,draw_rate,home_win_rate
1996,177,0,0.0,10,0.20903954802259886,0.5310734463276836
1997,173,0,0.0,10,0.2023121387283237,0.5086705202312138
1998,206,0,0.0,12,0.1796116504854369,0.5242718446601942
1999,208,0,0.0,12,0.28365384615384615,0.4375
2000,209,0,0.0,12,0.1722488038277512,0.5645933014354066
2001,176,0,0.0,12,0.17613636363636365,0.5340909090909091
2002,157,0,0.0,10,0.15286624203821655,0.554140127388535
2003,161,0,0.0,10,0.2670807453416149,0.4782608695652174
2004,161,0,0.0,10,0.2981366459627329,0.4906832298136646
2005,203,0,0.0,12,0.2315270935960591,0.47783251231527096
2006,203,0,0.0,12,0.2857142857142857,0.47783251231527096
2007,206,0,0.0,13,0.25728155339805825,0.47572815533980584
2008,221,0,0.0,14,0.27601809954751133,0.502262443438914
2009,236,0,0.0,15,0.3093220338983051,0.4788135593220339
2010,251,0,0.0,16,0.2350597609561753,0.4820717131474104
2011,319,0,0.0,18,0.3322884012539185,0.44200626959247646
2012,338,338,100.0,19,0.23668639053254437,0.514792899408284
2013,338,337,99.70414201183432,19,0.2514792899408284,0.5118343195266272
2014,338,338,100.0,19,0.27514792899408286,0.4881656804733728
2015,357,357,100.0,20,0.21008403361344538,0.5434173669467787
2016,357,357,100.0,20,0.3025210084033613,0.5070028011204482
2017,391,356,91.04859335038363,22,0.24040920716112532,0.5524296675191815
2018,408,369,90.44117647058823,23,0.2107843137254902,0.5416666666666666
2019,421,384,91.21140142517815,24,0.21852731591448932,0.5273159144893111
2020,324,300,92.5925925925926,26,0.2345679012345679,0.47530864197530864
2021,472,437,92.58474576271186,27,0.2711864406779661,0.4788135593220339
2022,489,455,93.04703476482618,28,0.2474437627811861,0.49079754601226994
2023,521,484,92.89827255278311,29,0.28790786948176583,0.4817658349328215
2024,522,483,92.52873563218391,29,0.2471264367816092,0.4501915708812261
2025,540,491,90.92592592592592,30,0.25,0.4425925925925926
2026,357,0,0.0,30,0.2549019607843137,0.4649859943977591
