match_id,date,season,outcome,odds,market_prob,profit,method_id
MLS:20130323:DCUNITED:COLUMBUSCREW:3632,2013-03-23 00:00:00+00:00,2013,AWAY,3.73,0.26161270647486634,2.73,MLS-A05
MLS:20130323:SANJOSEEARTH:SEATTLESOUND:3637,2013-03-23 00:00:00+00:00,2013,AWAY,3.35,0.29115742727595023,-1.0,MLS-A05
MLS:20130330:NEWENGLANDRE:FCDALLAS:3642,2013-03-30 00:00:00+00:00,2013,AWAY,3.3,0.29603330068560235,2.3,MLS-A05
MLS:20130330:REALSALTLAKE:SEATTLESOUND:3644,2013-03-30 00:00:00+00:00,2013,AWAY,3.19,0.3057435304519332,-1.0,MLS-A05
MLS:20130406:PORTLANDTIMB:HOUSTONDYNAM:3650,2013-04-06 00:00:00+00:00,2013,AWAY,3.1,0.3147677548381276,-1.0,MLS-A05
MLS:20130413:CHIVASUSA:COLORADORAPI:3654,2013-04-13 00:00:00+00:00,2013,AWAY,3.23,0.3027368296541629,2.23,MLS-A05
MLS:20130413:FCDALLAS:LAGALAXY:3656,2013-04-13 00:00:00+00:00,2013,AWAY,3.44,0.2831413927584778,-1.0,MLS-A05
MLS:20130414:PORTLANDTIMB:SANJOSEEARTH:3662,2013-04-14 00:00:00+00:00,2013,AWAY,3.18,0.30666876093883233,-1.0,MLS-A05
MLS:20130420:COLORADORAPI:SEATTLESOUND:3665,2013-04-20 00:00:00+00:00,2013,AWAY,2.92,0.3333079221808868,1.92,MLS-A05
MLS:20130420:LAGALAXY:SPORTINGKANS:3667,2013-04-20 00:00:00+00:00,2013,HOME,2.12,0.4601567843426106,1.12,MLS-R02V2
MLS:20130421:DCUNITED:PHILADELPHIA:3671,2013-04-21 00:00:00+00:00,2013,AWAY,3.0,0.3251575774184708,2.0,MLS-A05
MLS:20130421:DCUNITED:PHILADELPHIA:3671,2013-04-21 00:00:00+00:00,2013,AWAY,3.0,0.3251575774184708,2.0,MLS-R03
MLS:20130427:VANCOUVERWHI:FCDALLAS:3680,2013-04-27 00:00:00+00:00,2013,AWAY,3.04,0.3203062787136294,-1.0,MLS-A05
MLS:20130508:DCUNITED:HOUSTONDYNAM:3690,2013-05-08 00:00:00+00:00,2013,AWAY,2.88,0.3385097398174635,1.88,MLS-A05
MLS:20130508:FCDALLAS:PORTLANDTIMB:3691,2013-05-08 00:00:00+00:00,2013,AWAY,3.6,0.27064665874986504,-1.0,MLS-A05
MLS:20130508:FCDALLAS:PORTLANDTIMB:3691,2013-05-08 00:00:00+00:00,2013,AWAY,3.6,0.27064665874986504,-1.0,MLS-R03
MLS:20130508:NEWENGLANDRE:REALSALTLAKE:3692,2013-05-08 00:00:00+00:00,2013,AWAY,2.89,0.3366710662295488,1.8900000000000001,MLS-A05
MLS:20130511:CFMONTRÉAL:REALSALTLAKE:3696,2013-05-11 00:00:00+00:00,2013,AWAY,3.65,0.26726795623682587,-1.0,MLS-A05
MLS:20130511:CHICAGOFIREF:PHILADELPHIA:3697,2013-05-11 00:00:00+00:00,2013,AWAY,3.64,0.2679910044977511,2.64,MLS-A05
MLS:20130511:FCDALLAS:DCUNITED:3699,2013-05-11 00:00:00+00:00,2013,AWAY,4.69,0.20792865050024018,-1.0,MLS-A06
MLS:20130511:SEATTLESOUND:SANJOSEEARTH:3701,2013-05-11 00:00:00+00:00,2013,AWAY,3.39,0.28768776824034337,-1.0,MLS-A05
MLS:20130512:HOUSTONDYNAM:SPORTINGKANS:3703,2013-05-12 00:00:00+00:00,2013,AWAY,3.24,0.3009498535939949,2.24,MLS-A05
MLS:20130518:PHILADELPHIA:CHICAGOFIREF:3707,2013-05-18 00:00:00+00:00,2013,AWAY,3.68,0.26512740524169576,-1.0,MLS-A05
MLS:20130518:TORONTOFC:COLUMBUSCREW:3710,2013-05-18 00:00:00+00:00,2013,AWAY,3.29,0.2964471308698795,2.29,MLS-A05
MLS:20130519:NEWYORKREDBU:LAGALAXY:3714,2013-05-19 00:00:00+00:00,2013,AWAY,3.36,0.29033800673839805,-1.0,MLS-A05
MLS:20130601:COLUMBUSCREW:HOUSTONDYNAM:3726,2013-06-01 00:00:00+00:00,2013,AWAY,3.16,0.3085833935888166,-1.0,MLS-A05
MLS:20130601:REALSALTLAKE:SANJOSEEARTH:3728,2013-06-01 00:00:00+00:00,2013,HOME,2.04,0.4779168061886246,1.04,MLS-R02V2
MLS:20130601:TORONTOFC:PHILADELPHIA:3730,2013-06-01 00:00:00+00:00,2013,AWAY,3.16,0.3084893352346855,-1.0,MLS-A05
MLS:20130605:PHILADELPHIA:COLUMBUSCREW:3733,2013-06-05 00:00:00+00:00,2013,AWAY,3.74,0.2609956500724988,-1.0,MLS-A05
MLS:20130608:REALSALTLAKE:LAGALAXY:3736,2013-06-08 00:00:00+00:00,2013,AWAY,3.63,0.26820532800508995,-1.0,MLS-A05
MLS:20130615:COLORADORAPI:SANJOSEEARTH:3738,2013-06-15 00:00:00+00:00,2013,HOME,2.18,0.4462366757000903,-1.0,MLS-R01V2
MLS:20130615:DCUNITED:TORONTOFC:3740,2013-06-15 00:00:00+00:00,2013,AWAY,3.03,0.32170377364237196,2.03,MLS-A05
MLS:20130615:VANCOUVERWHI:NEWENGLANDRE:3742,2013-06-15 00:00:00+00:00,2013,AWAY,3.24,0.3009303577838937,-1.0,MLS-A05
MLS:20130619:CHICAGOFIREF:COLORADORAPI:3744,2013-06-19 00:00:00+00:00,2013,AWAY,3.81,0.25628175487657995,-1.0,MLS-A05
MLS:20130619:LAGALAXY:PORTLANDTIMB:3745,2013-06-19 00:00:00+00:00,2013,AWAY,3.87,0.25204966669605255,-1.0,MLS-A05
MLS:20130619:LAGALAXY:PORTLANDTIMB:3745,2013-06-19 00:00:00+00:00,2013,AWAY,3.87,0.25204966669605255,-1.0,MLS-R03
MLS:20130622:HOUSTONDYNAM:TORONTOFC:3750,2013-06-22 00:00:00+00:00,2013,HOME,1.97,0.49601992146843005,-1.0,MLS-R02V2
MLS:20130623:PHILADELPHIA:NEWYORKREDBU:3753,2013-06-23 00:00:00+00:00,2013,AWAY,2.94,0.3316337483898669,-1.0,MLS-A05
MLS:20130629:DCUNITED:VANCOUVERWHI:3757,2013-06-29 00:00:00+00:00,2013,AWAY,3.78,0.25795210202417146,2.78,MLS-A05
MLS:20130629:SPORTINGKANS:COLUMBUSCREW:3760,2013-06-29 00:00:00+00:00,2013,HOME,1.67,0.585067474149022,0.6699999999999999,MLS-A02
MLS:20130629:TORONTOFC:REALSALTLAKE:3761,2013-06-29 00:00:00+00:00,2013,AWAY,3.12,0.31285783964281694,2.12,MLS-A05
MLS:20130630:NEWYORKREDBU:HOUSTONDYNAM:3762,2013-06-30 00:00:00+00:00,2013,HOME,1.77,0.5512026863421431,0.77,MLS-A02
MLS:20130704:COLORADORAPI:NEWYORKREDBU:3768,2013-07-04 00:00:00+00:00,2013,AWAY,3.68,0.26549701129067965,-1.0,MLS-A05
MLS:20130706:NEWENGLANDRE:SANJOSEEARTH:3772,2013-07-06 00:00:00+00:00,2013,AWAY,4.55,0.214592514952367,-1.0,MLS-A06
MLS:20130707:LAGALAXY:FCDALLAS:3778,2013-07-07 00:00:00+00:00,2013,HOME,1.67,0.5838715783305287,0.6699999999999999,MLS-A02
MLS:20130713:NEWENGLANDRE:HOUSTONDYNAM:3781,2013-07-13 00:00:00+00:00,2013,AWAY,3.74,0.26084608842036905,2.74,MLS-A03
MLS:20130713:NEWENGLANDRE:HOUSTONDYNAM:3781,2013-07-13 00:00:00+00:00,2013,AWAY,3.74,0.26084608842036905,2.74,MLS-A05
MLS:20130713:NEWYORKREDBU:CFMONTRÉAL:3782,2013-07-13 00:00:00+00:00,2013,AWAY,3.87,0.2517285246211418,-1.0,MLS-A05
MLS:20130713:SANJOSEEARTH:SEATTLESOUND:3784,2013-07-13 00:00:00+00:00,2013,HOME,2.19,0.4460813600311961,1.19,MLS-R01V2
MLS:20130714:VANCOUVERWHI:CHICAGOFIREF:3786,2013-07-14 00:00:00+00:00,2013,AWAY,3.69,0.26458609897022994,-1.0,MLS-A05
MLS:20130720:CFMONTRÉAL:FCDALLAS:3789,2013-07-20 00:00:00+00:00,2013,AWAY,3.84,0.25388263108550624,-1.0,MLS-A05
MLS:20130720:CHICAGOFIREF:DCUNITED:3790,2013-07-20 00:00:00+00:00,2013,HOME,1.78,0.5479397919451386,0.78,MLS-A02
MLS:20130720:COLUMBUSCREW:NEWENGLANDRE:3791,2013-07-20 00:00:00+00:00,2013,AWAY,3.41,0.28529499828113275,2.41,MLS-A05
MLS:20130720:LAGALAXY:VANCOUVERWHI:3792,2013-07-20 00:00:00+00:00,2013,HOME,1.66,0.5880925174560022,0.6599999999999999,MLS-A02
MLS:20130720:REALSALTLAKE:SPORTINGKANS:3794,2013-07-20 00:00:00+00:00,2013,AWAY,3.31,0.29437721518043825,2.31,MLS-A05
MLS:20130727:CFMONTRÉAL:SPORTINGKANS:3797,2013-07-27 00:00:00+00:00,2013,AWAY,3.07,0.31739404532259224,-1.0,MLS-A05
MLS:20130727:COLORADORAPI:LAGALAXY:3798,2013-07-27 00:00:00+00:00,2013,AWAY,3.19,0.30493270179149373,-1.0,MLS-A05
MLS:20130727:HOUSTONDYNAM:CHICAGOFIREF:3800,2013-07-27 00:00:00+00:00,2013,AWAY,3.81,0.25568575557606255,-1.0,MLS-A05
MLS:20130803:PHILADELPHIA:CHICAGOFIREF:3809,2013-08-03 00:00:00+00:00,2013,AWAY,3.23,0.3016045515566068,2.23,MLS-A05
