family,outcome,price_band,rules,n,wins,losses,win_rate,roi,units,active_seasons,positive_seasons,positive_season_ratio,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,bootstrap_lo,bootstrap_hi,loo_min_roi,loo_max_roi,top_team_share,top3_team_share,teams
S_ELO_AWAY,AWAY,P25_35,elo_edge <= -41.31,187,66,121,0.35294117647058826,0.21411764705882352,40.04,13,9,0.6923076923076923,51,0.3292156862745098,61,0.045245901639344256,75,0.2732,-0.012545454545454533,0.4571858288770055,0.16928571428571426,0.2684868421052632,0.0962566844919786,0.2620320855614973,28
C01,HOME,P40_50,edge_last3_xgfpg >= 0.45538 AND elo_edge <= 0.91,175,96,79,0.5485714285714286,0.18737142857142852,32.78999999999999,13,9,0.6923076923076923,74,0.1681081081081081,45,0.11466666666666665,56,0.27124999999999994,0.026378571428571404,0.3441271428571429,0.15440993788819873,0.22185897435897436,0.09142857142857143,0.26285714285714284,28
S_AWAY_FORM,AWAY,P40_50,sel_last5_gdpg <= 0.4,122,61,61,0.5,0.10303278688524592,12.570000000000002,10,6,0.6,34,-0.02500000000000003,51,0.07176470588235294,37,0.2637837837837838,-0.0928073770491803,0.2981475409836067,0.027766990291262138,0.13330434782608694,0.13934426229508196,0.3442622950819672,26
S_TRAVEL_AWAY,AWAY,P35_45,edge_travel_miles >= 844.2,151,71,80,0.47019867549668876,0.17264900662251656,26.07,13,9,0.6923076923076923,46,0.16021739130434787,47,0.09382978723404256,58,0.2463793103448276,-0.023064569536423826,0.37739238410596043,0.11176470588235293,0.20589928057553958,0.15894039735099338,0.31788079470198677,29
C02,HOME,P40_50,edge_last3_xgfpg >= 0.45538 AND edge_last3_xgapg >= 0.0536,144,84,60,0.5833333333333334,0.2579166666666667,37.14,12,10,0.8333333333333334,54,0.2787037037037037,37,0.3551351351351351,53,0.16886792452830188,0.07609548611111108,0.42715451388888886,0.2064925373134328,0.28634920634920635,0.08333333333333333,0.2152777777777778,27
S_HOME_OPP_GD,HOME,P55_70,opp_season_gdpg >= 0.2222,149,99,50,0.6644295302013423,0.08751677852348992,13.04,12,10,0.8333333333333334,65,0.043692307692307676,43,0.11116279069767443,41,0.13219512195121952,-0.04264429530201343,0.21120973154362416,0.07206896551724136,0.1293939393939394,0.1476510067114094,0.33557046979865773,24
C03,HOME,P40_50,edge_last3_xgfpg >= 0.45538 AND edge_season_gdpg <= -0.251028,112,64,48,0.5714285714285714,0.24321428571428574,27.240000000000002,11,9,0.8181818181818182,45,0.2211111111111111,31,0.41032258064516125,36,0.12694444444444442,0.037361607142857134,0.4411808035714286,0.19893203883495147,0.29079207920792083,0.10714285714285714,0.26785714285714285,26
C04,HOME,P45_55,sel_prior_road_miles5 >= 7092.68 AND sel_last10_ppg <= 1.5,136,85,51,0.625,0.22720588235294117,30.9,11,10,0.9090909090909091,72,0.2579166666666667,36,0.24722222222222218,28,0.12250000000000001,0.06975183823529414,0.3826507352941177,0.20450819672131146,0.2489256198347107,0.14705882352941177,0.35294117647058826,21
C05,HOME,P45_55,sel_prior_road_miles5 >= 7092.68 AND edge_season_xgdpg <= 0.380851,181,107,74,0.5911602209944752,0.16,28.96,12,11,0.9166666666666666,98,0.18867346938775512,49,0.14897959183673465,34,0.09323529411764706,0.017454419889502762,0.2988991712707182,0.112874251497006,0.1972093023255814,0.17679558011049723,0.36464088397790057,22
C06,HOME,P25_35,sel_altitude_change_ft <= 0 AND edge_last5_gdpg <= -1,152,58,94,0.3815789473684211,0.2073684210526316,31.520000000000003,12,9,0.75,46,0.1773913043478261,55,0.33981818181818185,51,0.09156862745098039,-0.04191447368421053,0.46849177631578953,0.15767605633802814,0.27815602836879433,0.13157894736842105,0.3355263157894737,28
S_HOME_VENUE_EDGE,HOME,P45_55,edge_venue5_ppg >= 1.2,470,254,216,0.5404255319148936,0.05076595744680849,23.859999999999992,13,8,0.6153846153846154,241,0.0149792531120332,115,0.08730434782608694,114,0.0895614035087719,-0.033873404255319144,0.13417765957446812,0.019214780600461886,0.07581235697940503,0.06170212765957447,0.1829787234042553,29
C08,HOME,P40_50,edge_last3_xgfpg >= 0.45538 AND sel_last3_xgapg >= 1.00789,211,113,98,0.5355450236966824,0.15184834123222749,32.04,13,10,0.7692307692307693,84,0.2042857142857143,52,0.16999999999999998,75,0.08053333333333332,0.008509478672985769,0.29792180094786735,0.12575,0.18176795580110497,0.08056872037914692,0.22274881516587677,28
C07,HOME,P45_55,sel_last3_xgfpg >= 1.30812 AND edge_last5_ppg <= -0.4,195,108,87,0.5538461538461539,0.08599999999999998,16.769999999999996,13,9,0.6923076923076923,79,0.09164556962025315,51,0.1188235294117647,65,0.053384615384615364,-0.05422307692307693,0.22586025641025642,0.06212290502793295,0.11902857142857141,0.06666666666666667,0.19487179487179487,28
