pair,version,season,n,wins,win_pct,roi,units
CO005+NFL-H017,RAW,2007,1,1,1.0,1.38,1.38
CO005+NFL-H017,RAW,2009,1,0,0.0,-1.0,-1.0
CO005+NFL-H017,RAW,2010,1,1,1.0,1.74,1.74
CO005+NFL-H017,RAW,2011,1,1,1.0,1.62,1.62
CO005+NFL-H017,RAW,2012,1,1,1.0,1.67,1.67
CO005+NFL-H017,RAW,2013,1,1,1.0,1.53,1.53
CO005+NFL-H017,RAW,2016,3,3,1.0,1.6466666666666665,4.9399999999999995
CO005+NFL-H017,RAW,2018,1,1,1.0,1.61,1.61
CO005+NFL-H017,RAW,2021,3,3,1.0,1.4733333333333334,4.42
CO005+NFL-H017,RAW,2022,4,3,0.75,0.8775000000000001,3.5100000000000002
CO005+NFL-H017,RAW,2023,3,2,0.6666666666666666,0.6466666666666666,1.94
CO005+NFL-H017,RAW,2025,2,2,1.0,1.53,3.06
CO017+NFL-H029,RAW,2010,1,1,1.0,1.77,1.77
CO017+NFL-H029,RAW,2011,1,1,1.0,1.27,1.27
CO017+NFL-H029,RAW,2012,1,1,1.0,1.41,1.41
CO017+NFL-H029,RAW,2013,1,1,1.0,1.27,1.27
CO017+NFL-H029,RAW,2015,1,1,1.0,1.48,1.48
CO017+NFL-H029,RAW,2017,2,2,1.0,1.42,2.84
CO017+NFL-H029,RAW,2018,1,0,0.0,-1.0,-1.0
CO017+NFL-H029,RAW,2019,1,1,1.0,1.33,1.33
CO017+NFL-H029,RAW,2021,2,2,1.0,1.565,3.13
CO017+NFL-H029,RAW,2022,2,1,0.5,0.31499999999999995,0.6299999999999999
CO017+NFL-H029,RAW,2023,3,2,0.6666666666666666,0.6133333333333334,1.84
CO017+NFL-H029,RAW,2024,2,2,1.0,1.33,2.66
