method_id,family,feature,op,threshold,confirmed,base_n,base_win_pct,base_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,retained_share,veto_score
CO001,CONTEXT,adv_travel_miles,<=,-953.1368323547238,True,93,0.3655913978494624,0.36913978494623656,14,0.21428571428571427,-0.31857142857142856,0.8271428571428573,0.1071428571428571,12,0.25,-0.09249999999999999,0.6240000000000001,0.1283783783783784,7,0.0,-1.0,0.939047619047619,0.3928571428571428,0.75,11.037764976958524
CO001,CONTEXT,travel_miles,>=,953.1368323547238,True,93,0.3655913978494624,0.36913978494623656,14,0.21428571428571427,-0.31857142857142856,0.8271428571428573,0.1071428571428571,13,0.23076923076923078,-0.1623076923076923,0.6916666666666668,0.14760914760914756,9,0.1111111111111111,-0.5211111111111111,0.9163157894736842,0.28174603174603163,0.6785714285714286,10.896779179130622
CO005,CONTEXT,rank_edge_punt_return_average,<=,-3.0,True,158,0.5063291139240507,0.2689873417721519,36,0.3888888888888889,-0.017222222222222208,0.4305714285714286,0.0899843505477309,17,0.35294117647058826,-0.1323529411764706,0.3858823529411765,0.13725490196078427,14,0.35714285714285715,-0.10285714285714284,0.8463636363636362,0.22619047619047616,0.6111111111111112,10.864677881893073
CO043,CONTEXT,rank_edge_def_allowed_early_down_epa,<=,-5.9,True,94,0.3723404255319149,0.35670212765957443,10,0.2,-0.4130000000000001,0.5452941176470588,0.1333333333333333,15,0.2,-0.38266666666666665,1.0276923076923077,0.21463414634146338,12,0.16666666666666666,-0.43916666666666665,0.9057142857142857,0.17948717948717952,0.5384615384615384,10.782345491388044
CO043,CONTEXT,qb_prior_starts,<=,9.2,True,94,0.3723404255319149,0.35670212765957443,6,0.16666666666666666,-0.17,0.2933333333333333,0.16666666666666663,10,0.3,0.026999999999999958,0.6680645161290323,0.1146341463414633,10,0.1,-0.55,0.806875,0.24615384615384617,0.6153846153846154,10.757865180032733
CO005,COACH,opp_coachq_prev_dc_prior_quality,<=,0.4453125,True,158,0.5063291139240507,0.2689873417721519,18,0.3333333333333333,-0.13944444444444437,0.32,0.1455399061032865,8,0.375,-0.08875,0.26930232558139533,0.11519607843137258,4,0.25,-0.41,0.588125,0.33333333333333337,0.8888888888888888,10.741359880450071
CO061,COACH,coachq_prev_hc_recent_quality,>=,0.7615384615384617,True,97,0.3711340206185567,0.30752577319587626,10,0.2,-0.384,0.849,0.20000000000000007,9,0.2222222222222222,-0.1411111111111111,0.3603125,0.14363143631436315,6,0.0,-1.0,0.6214999999999999,0.34615384615384615,0.7692307692307693,10.737051149881047
CO061,COACH,coachq_prev_hc_recent_quality,>=,0.7692307692307693,True,97,0.3711340206185567,0.30752577319587626,10,0.2,-0.384,0.849,0.20000000000000007,9,0.2222222222222222,-0.1411111111111111,0.3603125,0.14363143631436315,6,0.0,-1.0,0.6214999999999999,0.34615384615384615,0.7692307692307693,10.737051149881047
CO043,COACH,opp_coachq_hc_recent_quality,<=,0.46153846153846156,True,94,0.3723404255319149,0.35670212765957443,9,0.2222222222222222,-0.2422222222222222,0.40666666666666657,0.11111111111111105,4,0.25,-0.20999999999999996,0.5897297297297297,0.16463414634146334,6,0.0,-1.0,0.6705,0.34615384615384615,0.7692307692307693,10.736874795417348
CO005,COACH,coachq_hc_prior_role_seasons,>=,3.0,True,158,0.5063291139240507,0.2689873417721519,23,0.391304347826087,0.0030434782608695678,0.29958333333333337,0.08756889161053283,26,0.38461538461538464,-0.059999999999999984,0.4972000000000001,0.105580693815988,16,0.4375,0.11875000000000002,0.7639999999999999,0.14583333333333337,0.5555555555555556,10.696401547116738
CO005,COACH,coachq_prev_hc_prior_role_seasons,>=,2.0,True,158,0.5063291139240507,0.2689873417721519,23,0.391304347826087,0.0030434782608695678,0.29958333333333337,0.08756889161053283,27,0.37037037037037035,-0.09481481481481485,0.5595833333333334,0.11982570806100223,16,0.4375,0.11875000000000002,0.7639999999999999,0.14583333333333337,0.5555555555555556,10.696401547116738
CO061,CONTEXT,rank_edge_penalty_yards,<=,-3.799999999999999,True,97,0.3711340206185567,0.30752577319587626,6,0.16666666666666666,-0.49833333333333335,0.6720833333333333,0.2333333333333334,21,0.2857142857142857,-0.07142857142857142,0.5879999999999999,0.08013937282229966,12,0.16666666666666666,-0.3575,0.7657142857142857,0.17948717948717952,0.5384615384615384,10.691521845851742
CO005,CONTEXT,rank_edge_punt_return_average,<=,3.5,True,158,0.5063291139240507,0.2689873417721519,46,0.3695652173913043,-0.06478260869565217,0.6972,0.10930802204531542,26,0.34615384615384615,-0.13153846153846155,0.5716,0.14404223227752644,19,0.47368421052631576,0.19631578947368422,0.7911764705882353,0.10964912280701766,0.4722222222222222,10.679060473845324
CO005,CONTEXT,recent_edge_third_down_success,>=,0.0750997368644427,True,158,0.5063291139240507,0.2689873417721519,15,0.26666666666666666,-0.34600000000000003,0.3507142857142857,0.21220657276995314,8,0.375,-0.13874999999999998,0.27860465116279076,0.11519607843137258,6,0.3333333333333333,-0.15166666666666673,0.603,0.2500000000000001,0.8333333333333334,10.667345991561183
CO005,COACH,opp_coachq_oc_prior_quality,<=,0.524609375,True,158,0.5063291139240507,0.2689873417721519,18,0.3888888888888889,-0.022777777777777737,0.28037735849056605,0.0899843505477309,10,0.4,0.01100000000000001,0.2624390243902439,0.09019607843137256,8,0.375,-0.07249999999999998,0.6342857142857142,0.20833333333333337,0.7777777777777778,10.651409483624674
CO009,COACH,coachq_hc_quality_delta_vs_departed,>=,0.04049145299145297,True,265,0.3471698113207547,0.28803773584905656,8,0.125,-0.4525,0.25904761904761897,0.1848591549295775,8,0.25,0.0625,0.32697916666666665,0.10576923076923084,5,0.0,-1.0,0.432235294117647,0.3666666666666667,0.9444444444444444,10.605308669379703
CO061,CONTEXT,recent_edge_def_allowed_early_down_epa,<=,-0.1190981963530585,True,97,0.3711340206185567,0.30752577319587626,11,0.2727272727272727,0.0890909090909091,0.64,0.12727272727272732,17,0.23529411764705882,-0.2647058823529412,0.6149999999999999,0.13055954088952648,4,0.0,-1.0,0.47409090909090906,0.34615384615384615,0.8461538461538461,10.597334366664263
CO018,CONTEXT,recent_edge_off_epa,>=,8.838128863381744,True,132,0.696969696969697,0.16232538482666328,16,0.5625,-0.07112400548698608,0.28162125840669155,0.12638888888888888,9,0.5555555555555556,-0.04258980261678105,0.23441319126939159,0.14444444444444438,13,0.38461538461538464,-0.387163169274572,0.369045261349606,0.3175122749590835,0.723404255319149,10.59657257701394
CO043,COACH,adv_staff_quality_min,>=,0.18881181318681328,True,94,0.3723404255319149,0.35670212765957443,10,0.2,-0.31799999999999995,0.48941176470588227,0.1333333333333333,7,0.2857142857142857,-0.04428571428571436,0.6261764705882352,0.12891986062717764,4,0.0,-1.0,0.5186363636363637,0.34615384615384615,0.8461538461538461,10.59270346674602
CO009,COACH,opp_coachq_oc_prior_quality,<=,0.34375,True,265,0.3471698113207547,0.28803773584905656,13,0.15384615384615385,-0.4284615384615385,0.315,0.15601300108342364,8,0.25,0.03125,0.3295833333333333,0.10576923076923084,4,0.0,-1.0,0.41558139534883715,0.3666666666666667,0.9555555555555556,10.589765881722004
CO026,COACH,adv_dc_prior_win_pct,>=,0.03426573426573432,True,109,0.5596330275229358,0.405045871559633,9,0.4444444444444444,0.11666666666666667,0.44208333333333333,0.101010101010101,12,0.4166666666666667,0.05583333333333337,0.6933333333333335,0.1785714285714285,6,0.16666666666666666,-0.6266666666666666,0.5278571428571428,0.36274509803921573,0.8235294117647058,10.567909310513196
CO005,COACH,opp_coachq_oc_prior_quality,<=,0.5625,True,158,0.5063291139240507,0.2689873417721519,25,0.36,-0.08319999999999998,0.35934782608695653,0.11887323943661976,13,0.38461538461538464,-0.027692307692307717,0.29552631578947375,0.105580693815988,11,0.45454545454545453,0.17636363636363636,0.6095999999999999,0.12878787878787878,0.6944444444444444,10.538844981460171
CO005,COACH,adv_hc_recent_quality,>=,0.028717948717948874,True,158,0.5063291139240507,0.2689873417721519,12,0.3333333333333333,-0.14833333333333334,0.27508474576271186,0.1455399061032865,9,0.3333333333333333,-0.12444444444444445,0.28547619047619055,0.15686274509803932,7,0.42857142857142855,0.09857142857142856,0.5686206896551723,0.15476190476190477,0.8055555555555556,10.534950808200481
CO043,CONTEXT,recent_edge_yards_per_play,>=,-0.1757888339600404,True,94,0.3723404255319149,0.35670212765957443,14,0.21428571428571427,-0.1271428571428572,0.5323076923076923,0.11904761904761896,19,0.3157894736842105,0.020526315789473667,0.9359090909090909,0.09884467265725283,7,0.14285714285714285,-0.5714285714285714,0.6005263157894737,0.20329670329670335,0.7307692307692307,10.520197814503526
CO043,CONTEXT,rank_edge_point_margin,<=,-10.0,True,94,0.3723404255319149,0.35670212765957443,11,0.09090909090909091,-0.7300000000000001,0.823125,0.24242424242424232,16,0.25,-0.053125000000000006,0.8732000000000001,0.16463414634146334,10,0.2,-0.322,0.664375,0.1461538461538462,0.6153846153846154,10.515365180032733
CO043,CONTEXT,qb_prior_starts,<=,13.1,True,94,0.3723404255319149,0.35670212765957443,10,0.2,-0.12200000000000003,0.3741176470588235,0.1333333333333333,14,0.2857142857142857,-0.060714285714285755,0.8085185185185186,0.12891986062717764,11,0.18181818181818182,-0.2,0.6406666666666666,0.16433566433566427,0.5769230769230769,10.505992511035066
CO018,CONTEXT,recent_edge_off_epa_per_play,>=,0.1256305872646883,True,132,0.696969696969697,0.16232538482666328,16,0.5625,-0.07112400548698608,0.28162125840669155,0.12638888888888888,10,0.6,0.01753509943260654,0.22360499038246814,0.09999999999999998,15,0.4666666666666667,-0.24634625795097478,0.35030036108068097,0.23546099290780143,0.6808510638297872,10.491521075544798
