method_id,base_n,base_win_pct,base_roi,holdout_n,holdout_win_pct,holdout_roi,confirmed_timing_filters,selected_veto_family,selected_veto_feature,selected_veto_op,selected_veto_threshold,consensus_h_n,consensus_h_win_pct,consensus_h_roi,consensus_h_holdout_n,consensus_h_holdout_roi,final_status,reason
CO001,93,0.3655913978494624,0.36913978494623656,28,0.39285714285714285,0.4542857142857143,,COACH,opp_coachq_hc_recent_quality,<=,0.5384615384615384,0,,,0,,READY_WITH_SINGLE_VETO,COACH:opp_coachq_hc_recent_quality<=0.538462
CO005,158,0.5063291139240507,0.2689873417721519,36,0.5833333333333334,0.4772222222222222,,COACH,opp_coachq_prev_dc_prior_quality,<=,0.4453125,59,0.5932203389830508,0.48084745762711867,16,0.5581250000000001,READY_WITH_SINGLE_VETO,COACH:opp_coachq_prev_dc_prior_quality<=0.445312
CO026,109,0.5596330275229358,0.405045871559633,34,0.5294117647058824,0.3241176470588236,,COACH,adv_dc_prior_win_pct,>=,0.03426573426573432,7,1.0,1.55,4,1.535,READY_WITH_SINGLE_VETO,COACH:adv_dc_prior_win_pct>=0.0342657
CO009,265,0.3471698113207547,0.28803773584905656,90,0.36666666666666664,0.3526666666666667,,COACH,coachq_hc_quality_delta_vs_departed,>=,0.04049145299145297,0,,,0,,READY_WITH_SINGLE_VETO,COACH:coachq_hc_quality_delta_vs_departed>=0.0404915
CO048,98,0.4387755102040816,0.5313265306122449,28,0.35714285714285715,0.20285714285714285,,COACH,adv_hc_prior_games,<=,19.70000000000001,0,,,0,,READY_WITH_SINGLE_VETO,COACH:adv_hc_prior_games<=19.7
CO043,94,0.3723404255319149,0.35670212765957443,26,0.34615384615384615,0.28500000000000003,,COACH,opp_coachq_hc_recent_quality,<=,0.46153846153846156,0,,,0,,READY_WITH_SINGLE_VETO,COACH:opp_coachq_hc_recent_quality<=0.461538
CO061,97,0.3711340206185567,0.30752577319587626,26,0.34615384615384615,0.24730769230769234,,COACH,coachq_prev_hc_recent_quality,>=,0.7615384615384617,0,,,0,,READY_WITH_SINGLE_VETO,COACH:coachq_prev_hc_recent_quality>=0.761538
CO017,146,0.4726027397260274,0.18308219178082194,51,0.49019607843137253,0.21254901960784314,,COACH,coachq_hc_prior_quality,<=,0.4166666666666667,55,0.6,0.4998181818181817,16,0.6856249999999999,READY_WITH_SINGLE_VETO,COACH:coachq_hc_prior_quality<=0.416667
CO016,101,0.8118811881188119,0.16444041887178537,25,0.8,0.15527915479981858,,CONTEXT,adv_prior_road_miles_last5,>=,922.6032674753967,0,,,0,,READY_WITH_SINGLE_VETO,CONTEXT:adv_prior_road_miles_last5>=922.603
CO018,132,0.696969696969697,0.16232538482666328,47,0.7021276595744681,0.15988122734717375,,COACH,coachq_prev_oc_prior_quality,<=,0.5078125,0,,,0,,READY_WITH_SINGLE_VETO,COACH:coachq_prev_oc_prior_quality<=0.507812
