method_id,split,week,n,wins,losses,win_pct,roi,units
CO001,ALL,4,6,3,3,0.5,0.8666666666666666,5.199999999999999
CO001,ALL,5,6,3,3,0.5,0.745,4.47
CO001,ALL,6,4,2,2,0.5,0.62,2.48
CO001,ALL,7,6,1,5,0.16666666666666666,-0.455,-2.73
CO001,ALL,8,7,0,7,0.0,-1.0,-7.0
CO001,ALL,9,5,2,3,0.4,0.2859999999999999,1.4299999999999997
CO001,ALL,10,9,4,5,0.4444444444444444,0.4577777777777779,4.120000000000001
CO001,ALL,11,10,2,8,0.2,-0.16700000000000004,-1.6700000000000004
CO001,ALL,12,5,3,2,0.6,1.404,7.02
CO001,ALL,13,7,4,3,0.5714285714285714,1.3014285714285714,9.11
CO001,ALL,14,6,2,4,0.3333333333333333,0.425,2.55
CO001,ALL,15,9,2,7,0.2222222222222222,-0.08444444444444442,-0.7599999999999998
CO001,ALL,16,4,2,2,0.5,0.8799999999999999,3.5199999999999996
CO001,ALL,17,8,3,5,0.375,0.44875,3.59
CO001,ALL,18,1,1,0,1.0,3.0,3.0
CO001,TRAIN,4,2,0,2,0.0,-1.0,-2.0
CO001,TRAIN,5,2,0,2,0.0,-1.0,-2.0
CO001,TRAIN,6,2,1,1,0.5,0.69,1.38
CO001,TRAIN,7,3,1,2,0.3333333333333333,0.09000000000000001,0.27
CO001,TRAIN,8,2,0,2,0.0,-1.0,-2.0
CO001,TRAIN,9,1,0,1,0.0,-1.0,-1.0
CO001,TRAIN,10,0,0,0,,,0.0
CO001,TRAIN,11,4,0,4,0.0,-1.0,-4.0
CO001,TRAIN,12,2,2,0,1.0,2.985,5.97
CO001,TRAIN,13,2,2,0,1.0,2.75,5.5
CO001,TRAIN,14,2,0,2,0.0,-1.0,-2.0
CO001,TRAIN,15,2,1,1,0.5,1.5,3.0
CO001,TRAIN,16,1,1,0,1.0,2.3,2.3
CO001,TRAIN,17,3,1,2,0.3333333333333333,0.5666666666666668,1.7000000000000002
CO001,TRAIN,18,0,0,0,,,0.0
CO001,VALIDATION,4,3,3,0,1.0,2.733333333333333,8.2
CO001,VALIDATION,5,3,2,1,0.6666666666666666,1.0533333333333335,3.16
CO001,VALIDATION,6,0,0,0,,,0.0
CO001,VALIDATION,7,1,0,1,0.0,-1.0,-1.0
CO001,VALIDATION,8,5,0,5,0.0,-1.0,-5.0
CO001,VALIDATION,9,3,1,2,0.3333333333333333,0.009999999999999934,0.029999999999999805
CO001,VALIDATION,10,4,1,3,0.25,-0.19499999999999995,-0.7799999999999998
CO001,VALIDATION,11,5,1,4,0.2,-0.288,-1.44
CO001,VALIDATION,12,1,1,0,1.0,3.05,3.05
CO001,VALIDATION,13,2,1,1,0.5,1.455,2.91
CO001,VALIDATION,14,1,1,0,1.0,3.25,3.25
CO001,VALIDATION,15,3,0,3,0.0,-1.0,-3.0
CO001,VALIDATION,16,2,1,1,0.5,1.11,2.22
CO001,VALIDATION,17,4,2,2,0.5,0.7224999999999999,2.8899999999999997
CO001,VALIDATION,18,0,0,0,,,0.0
CO001,HOLDOUT,4,1,0,1,0.0,-1.0,-1.0
CO001,HOLDOUT,5,1,1,0,1.0,3.31,3.31
CO001,HOLDOUT,6,2,1,1,0.5,0.55,1.1
CO001,HOLDOUT,7,2,0,2,0.0,-1.0,-2.0
CO001,HOLDOUT,8,0,0,0,,,0.0
CO001,HOLDOUT,9,1,1,0,1.0,2.4,2.4
CO001,HOLDOUT,10,5,3,2,0.6,0.9800000000000001,4.9
CO001,HOLDOUT,11,1,1,0,1.0,3.77,3.77
CO001,HOLDOUT,12,2,0,2,0.0,-1.0,-2.0
CO001,HOLDOUT,13,3,1,2,0.3333333333333333,0.2333333333333334,0.7000000000000002
CO001,HOLDOUT,14,3,1,2,0.3333333333333333,0.4333333333333333,1.2999999999999998
CO001,HOLDOUT,15,4,1,3,0.25,-0.18999999999999995,-0.7599999999999998
CO001,HOLDOUT,16,1,0,1,0.0,-1.0,-1.0
CO001,HOLDOUT,17,1,0,1,0.0,-1.0,-1.0
CO001,HOLDOUT,18,1,1,0,1.0,3.0,3.0
CO005,ALL,4,14,11,3,0.7857142857142857,0.9421428571428573,13.190000000000001
CO005,ALL,5,10,5,5,0.5,0.27999999999999997,2.8
CO005,ALL,6,12,8,4,0.6666666666666666,0.6375000000000001,7.650000000000001
CO005,ALL,7,12,7,5,0.5833333333333334,0.44166666666666665,5.3
CO005,ALL,8,18,6,12,0.3333333333333333,-0.17333333333333334,-3.12
CO005,ALL,9,7,2,5,0.2857142857142857,-0.32428571428571423,-2.2699999999999996
CO005,ALL,10,10,8,2,0.8,1.0610000000000002,10.610000000000001
CO005,ALL,11,9,4,5,0.4444444444444444,0.016666666666666705,0.15000000000000036
CO005,ALL,12,13,7,6,0.5384615384615384,0.38769230769230767,5.04
CO005,ALL,13,12,5,7,0.4166666666666667,0.05249999999999999,0.6299999999999999
CO005,ALL,14,11,5,6,0.45454545454545453,0.18090909090909094,1.9900000000000002
CO005,ALL,15,8,5,3,0.625,0.6325000000000001,5.0600000000000005
CO005,ALL,16,10,3,7,0.3,-0.24,-2.4
CO005,ALL,17,11,3,8,0.2727272727272727,-0.33909090909090905,-3.7299999999999995
CO005,ALL,18,1,1,0,1.0,1.6,1.6
CO005,TRAIN,4,6,5,1,0.8333333333333334,1.08,6.48
CO005,TRAIN,5,4,2,2,0.5,0.16999999999999993,0.6799999999999997
CO005,TRAIN,6,4,3,1,0.75,0.9075,3.63
CO005,TRAIN,7,8,4,4,0.5,0.22750000000000004,1.8200000000000003
CO005,TRAIN,8,10,4,6,0.4,-0.013000000000000012,-0.13000000000000012
CO005,TRAIN,9,4,1,3,0.25,-0.41,-1.64
CO005,TRAIN,10,2,2,0,1.0,1.67,3.34
CO005,TRAIN,11,3,1,2,0.3333333333333333,-0.24666666666666667,-0.74
CO005,TRAIN,12,6,2,4,0.3333333333333333,-0.10333333333333339,-0.6200000000000003
CO005,TRAIN,13,6,4,2,0.6666666666666666,0.6616666666666666,3.9699999999999998
CO005,TRAIN,14,4,2,2,0.5,0.265,1.06
CO005,TRAIN,15,4,3,1,0.75,1.0175,4.07
CO005,TRAIN,16,5,1,4,0.2,-0.49399999999999994,-2.4699999999999998
CO005,TRAIN,17,5,0,5,0.0,-1.0,-5.0
CO005,TRAIN,18,0,0,0,,,0.0
CO005,VALIDATION,4,7,5,2,0.7142857142857143,0.7042857142857144,4.930000000000001
CO005,VALIDATION,5,4,3,1,0.75,1.03,4.12
CO005,VALIDATION,6,4,3,1,0.75,0.7575000000000001,3.0300000000000002
CO005,VALIDATION,7,2,2,0,1.0,1.545,3.09
CO005,VALIDATION,8,5,1,4,0.2,-0.538,-2.69
CO005,VALIDATION,9,0,0,0,,,0.0
CO005,VALIDATION,10,6,4,2,0.6666666666666666,0.6783333333333333,4.07
CO005,VALIDATION,11,3,1,2,0.3333333333333333,-0.25666666666666665,-0.77
CO005,VALIDATION,12,2,1,1,0.5,0.29000000000000004,0.5800000000000001
CO005,VALIDATION,13,5,1,4,0.2,-0.46799999999999997,-2.34
CO005,VALIDATION,14,4,0,4,0.0,-1.0,-4.0
CO005,VALIDATION,15,4,2,2,0.5,0.24750000000000005,0.9900000000000002
CO005,VALIDATION,16,2,1,1,0.5,0.265,0.53
CO005,VALIDATION,17,3,1,2,0.3333333333333333,-0.2233333333333333,-0.6699999999999999
CO005,VALIDATION,18,0,0,0,,,0.0
CO005,HOLDOUT,4,1,1,0,1.0,1.78,1.78
CO005,HOLDOUT,5,2,0,2,0.0,-1.0,-2.0
CO005,HOLDOUT,6,4,2,2,0.5,0.24750000000000005,0.9900000000000002
CO005,HOLDOUT,7,2,1,1,0.5,0.19499999999999995,0.3899999999999999
CO005,HOLDOUT,8,3,1,2,0.3333333333333333,-0.10000000000000002,-0.30000000000000004
CO005,HOLDOUT,9,3,1,2,0.3333333333333333,-0.20999999999999996,-0.6299999999999999
CO005,HOLDOUT,10,2,2,0,1.0,1.6,3.2
CO005,HOLDOUT,11,3,2,1,0.6666666666666666,0.5533333333333333,1.6600000000000001
CO005,HOLDOUT,12,5,4,1,0.8,1.016,5.08
CO005,HOLDOUT,13,1,0,1,0.0,-1.0,-1.0
CO005,HOLDOUT,14,3,3,0,1.0,1.6433333333333333,4.93
CO005,HOLDOUT,15,0,0,0,,,0.0
CO005,HOLDOUT,16,3,1,2,0.3333333333333333,-0.15333333333333332,-0.45999999999999996
CO005,HOLDOUT,17,3,2,1,0.6666666666666666,0.6466666666666666,1.94
CO005,HOLDOUT,18,1,1,0,1.0,1.6,1.6
CO026,ALL,4,9,8,1,0.8888888888888888,1.167777777777778,10.510000000000002
CO026,ALL,5,5,3,2,0.6,0.44000000000000006,2.2
CO026,ALL,6,7,3,4,0.42857142857142855,0.10142857142857142,0.71
CO026,ALL,7,7,2,5,0.2857142857142857,-0.34142857142857136,-2.3899999999999997
CO026,ALL,8,6,4,2,0.6666666666666666,0.6033333333333332,3.619999999999999
CO026,ALL,9,12,6,6,0.5,0.2733333333333334,3.2800000000000002
CO026,ALL,10,6,4,2,0.6666666666666666,0.7116666666666668,4.2700000000000005
CO026,ALL,11,6,2,4,0.3333333333333333,-0.15833333333333333,-0.95
CO026,ALL,12,9,4,5,0.4444444444444444,0.14777777777777779,1.33
CO026,ALL,13,8,6,2,0.75,0.96125,7.69
CO026,ALL,14,8,4,4,0.5,0.22249999999999998,1.7799999999999998
CO026,ALL,15,8,5,3,0.625,0.525,4.2
CO026,ALL,16,11,6,5,0.5454545454545454,0.42181818181818187,4.640000000000001
CO026,ALL,17,6,3,3,0.5,0.285,1.71
CO026,ALL,18,1,1,0,1.0,1.55,1.55
CO026,TRAIN,4,3,3,0,1.0,1.61,4.83
CO026,TRAIN,5,2,2,0,1.0,1.33,2.66
CO026,TRAIN,6,0,0,0,,,0.0
CO026,TRAIN,7,3,2,1,0.6666666666666666,0.5366666666666667,1.6100000000000003
CO026,TRAIN,8,3,3,0,1.0,1.42,4.26
CO026,TRAIN,9,4,1,3,0.25,-0.41,-1.64
CO026,TRAIN,10,2,2,0,1.0,1.67,3.34
CO026,TRAIN,11,3,1,2,0.3333333333333333,-0.24666666666666667,-0.74
CO026,TRAIN,12,3,0,3,0.0,-1.0,-3.0
CO026,TRAIN,13,0,0,0,,,0.0
CO026,TRAIN,14,3,1,2,0.3333333333333333,-0.16,-0.48
CO026,TRAIN,15,3,1,2,0.3333333333333333,-0.18000000000000002,-0.54
CO026,TRAIN,16,2,1,1,0.5,0.37,0.74
CO026,TRAIN,17,2,1,1,0.5,0.31000000000000005,0.6200000000000001
CO026,TRAIN,18,0,0,0,,,0.0
CO026,VALIDATION,4,5,5,0,1.0,1.3359999999999999,6.68
CO026,VALIDATION,5,2,1,1,0.5,0.27,0.54
CO026,VALIDATION,6,4,2,2,0.5,0.25249999999999995,1.0099999999999998
CO026,VALIDATION,7,1,0,1,0.0,-1.0,-1.0
CO026,VALIDATION,8,1,0,1,0.0,-1.0,-1.0
CO026,VALIDATION,9,5,4,1,0.8,1.09,5.45
CO026,VALIDATION,10,2,1,1,0.5,0.16500000000000004,0.33000000000000007
CO026,VALIDATION,11,3,1,2,0.3333333333333333,-0.06999999999999999,-0.20999999999999996
CO026,VALIDATION,12,2,2,0,1.0,1.635,3.27
CO026,VALIDATION,13,4,3,1,0.75,1.04,4.16
CO026,VALIDATION,14,4,2,2,0.5,0.2025,0.81
CO026,VALIDATION,15,2,1,1,0.5,0.19999999999999996,0.3999999999999999
CO026,VALIDATION,16,5,2,3,0.4,0.06400000000000006,0.3200000000000003
CO026,VALIDATION,17,2,1,1,0.5,0.355,0.71
CO026,VALIDATION,18,0,0,0,,,0.0
CO026,HOLDOUT,4,1,0,1,0.0,-1.0,-1.0
CO026,HOLDOUT,5,1,0,1,0.0,-1.0,-1.0
CO026,HOLDOUT,6,3,1,2,0.3333333333333333,-0.10000000000000002,-0.30000000000000004
CO026,HOLDOUT,7,3,0,3,0.0,-1.0,-3.0
CO026,HOLDOUT,8,2,1,1,0.5,0.18000000000000005,0.3600000000000001
CO026,HOLDOUT,9,3,1,2,0.3333333333333333,-0.17666666666666667,-0.53
CO026,HOLDOUT,10,2,1,1,0.5,0.30000000000000004,0.6000000000000001
CO026,HOLDOUT,11,0,0,0,,,0.0
CO026,HOLDOUT,12,4,2,2,0.5,0.265,1.06
CO026,HOLDOUT,13,4,3,1,0.75,0.8825000000000001,3.5300000000000002
CO026,HOLDOUT,14,1,1,0,1.0,1.45,1.45
CO026,HOLDOUT,15,3,3,0,1.0,1.4466666666666665,4.34
CO026,HOLDOUT,16,4,3,1,0.75,0.895,3.58
CO026,HOLDOUT,17,2,1,1,0.5,0.18999999999999995,0.3799999999999999
CO026,HOLDOUT,18,1,1,0,1.0,1.55,1.55
CO009,ALL,4,18,7,11,0.3888888888888889,0.4655555555555556,8.38
CO009,ALL,5,25,14,11,0.56,1.144,28.599999999999998
CO009,ALL,6,11,5,6,0.45454545454545453,0.46545454545454545,5.12
CO009,ALL,7,20,7,13,0.35,0.1275,2.55
CO009,ALL,8,12,2,10,0.16666666666666666,-0.4608333333333334,-5.53
CO009,ALL,9,24,5,19,0.20833333333333334,-0.3120833333333333,-7.49
CO009,ALL,10,14,7,7,0.5,0.85,11.9
CO009,ALL,11,22,5,17,0.22727272727272727,-0.12090909090909085,-2.659999999999999
CO009,ALL,12,22,5,17,0.22727272727272727,-0.028181818181818207,-0.6200000000000006
