method_id,track,price_band,venue,conditions,preferred_discovery,elite_recent_discovery,n,wins,losses,win_pct,roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,top_team,top_team_share,top3_team_share,recommended_start_week,W4_6_n,W4_6_win_pct,W4_6_roi,W7_10_n,W7_10_win_pct,W7_10_roi,W11_14_n,W11_14_win_pct,W11_14_roi,W15_18_n,W15_18_win_pct,W15_18_roi,robust_score,duplicate_of,max_jaccard_overlap,deployment_status
CO001,LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_min"", "">="", 0.46153846153846156], [""coachq_hc_prior_role_seasons"", ""<="", 0.0]]",True,True,93,34,59,0.3655913978494624,0.36913978494623656,28,0.2542857142857143,37,0.39162162162162156,28,0.4542857142857143,0.8571428571428571,CLE,0.08602150537634409,0.21505376344086025,4,16,0.5,0.7593749999999999,27,0.25925925925925924,-0.15481481481481488,28,0.39285714285714285,0.6075,22,0.36363636363636365,0.425,0.47742825803432326,,0.16783216783216784,CO_LIVE_READY
CO005,LONG,DOG35_44,ANY,"[[""coachq_dc_recent_quality"", "">="", 0.34375], [""coachq_hc_prior_win_pct"", ""<="", 0.48391608391608393]]",True,False,158,80,78,0.5063291139240507,0.2689873417721519,71,0.20352112676056336,51,0.21313725490196084,36,0.4772222222222222,0.7222222222222222,JAX,0.10126582278481013,0.25949367088607594,4,36,0.6666666666666666,0.6566666666666667,47,0.48936170212765956,0.2238297872340426,45,0.4666666666666667,0.17355555555555557,30,0.4,0.017666666666666674,0.44411963087620787,,0.0,CO_LIVE_READY
CO026,LONG,DOG35_44,HOME,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""coachq_dc_prior_quality"", "">="", 0.4166666666666667]]",False,False,109,61,48,0.5596330275229358,0.405045871559633,33,0.35333333333333333,42,0.5111904761904762,34,0.3241176470588236,0.7894736842105263,CAR,0.07339449541284404,0.21100917431192662,4,21,0.6666666666666666,0.6390476190476191,31,0.5161290322580645,0.28322580645161294,31,0.5161290322580645,0.317741935483871,26,0.5769230769230769,0.46538461538461545,0.43243340780298867,,0.1125,CO_LIVE_READY
CO009,LONG,DOG20_34,AWAY,"[[""adv_staff_quality_mean"", "">="", -0.15197649572649574], [""adv_staff_upgrade_count"", ""<="", -1.0]]",True,False,265,92,173,0.3471698113207547,0.28803773584905656,71,0.17887323943661973,104,0.3066346153846154,90,0.3526666666666667,0.7222222222222222,CLE,0.06792452830188679,0.18113207547169813,4,54,0.48148148148148145,0.7796296296296296,70,0.3,0.0204285714285714,73,0.2876712328767123,0.11589041095890412,68,0.35294117647058826,0.3579411764705882,0.41693863998891884,,0.13291139240506328,CO_LIVE_READY
CO048,LONG,DOG20_34,AWAY,"[[""coachq_oc_prior_quality"", "">="", 0.59375], [""coachq_staff_quality_min"", "">="", 0.46153846153846156], [""coachq_prev_hc_prior_quality"", "">="", 0.5384615384615384]]",False,False,98,43,55,0.4387755102040816,0.5313265306122449,32,0.8025,38,0.5450000000000002,28,0.20285714285714285,0.7777777777777778,LAC,0.09183673469387756,0.25510204081632654,4,18,0.5,0.8033333333333333,21,0.5714285714285714,0.8914285714285716,27,0.4444444444444444,0.4837037037037038,32,0.3125,0.18218749999999997,0.4161337369052508,,0.23943661971830985,CO_LIVE_READY
CO043,LONG,DOG20_34,AWAY,"[[""adv_hc_quality_delta_vs_departed"", ""<="", -0.03895104895104903], [""adv_staff_quality_mean"", "">="", -0.15197649572649574]]",False,False,94,35,59,0.3723404255319149,0.35670212765957443,27,0.19037037037037033,41,0.5117073170731707,26,0.28500000000000003,0.7647058823529411,CHI,0.07446808510638298,0.22340425531914893,4,24,0.375,0.4429166666666667,24,0.375,0.20874999999999996,17,0.29411764705882354,0.16882352941176465,29,0.41379310344827586,0.5179310344827586,0.39954025807390037,,0.20875420875420875,CO_LIVE_READY
CO061,LONG,DOG20_34,AWAY,"[[""coachq_prev_oc_prior_win_pct"", "">="", 0.5993589743589745], [""coachq_staff_quality_mean"", "">="", 0.5564903846153846]]",False,False,97,36,61,0.3711340206185567,0.30752577319587626,30,0.43799999999999994,41,0.2502439024390244,26,0.24730769230769234,0.7647058823529411,NO,0.09278350515463918,0.26804123711340205,7,14,0.2857142857142857,0.09000000000000005,24,0.4166666666666667,0.3245833333333333,27,0.37037037037037035,0.3181481481481481,32,0.375,0.3809375,0.37313438338846944,,0.4112903225806452,CO_LIVE_READY
CO017,LONG,DOG35_44,ANY,"[[""adv_staff_upgrade_count"", "">="", 0.0], [""coachq_prev_dc_recent_quality"", ""<="", 0.28125]]",True,False,146,69,77,0.4726027397260274,0.18308219178082194,40,0.14350000000000002,55,0.1845454545454545,51,0.21254901960784314,0.7222222222222222,NYG,0.07534246575342465,0.2054794520547945,4,31,0.5161290322580645,0.28838709677419355,39,0.48717948717948717,0.201025641025641,41,0.5121951219512195,0.27999999999999997,35,0.37142857142857144,-0.043714285714285706,0.3307094217790541,,0.5180722891566265,CO_LIVE_READY
CO016,MODERN,FAV65_75,AWAY,"[[""coachq_dc_recent_quality"", "">="", 0.8125]]",True,False,101,82,19,0.8118811881188119,0.16444041887178537,32,0.12052457104942156,22,0.09302802022956293,25,0.15527915479981858,0.8823529411764706,DAL,0.0891089108910891,0.24752475247524752,4,22,0.7727272727272727,0.11722861914066013,26,0.8076923076923077,0.16998464141066252,24,0.9166666666666666,0.3116732929557499,29,0.7586206896551724,0.0734376888738132,0.32732548038966613,,0.7227722772277227,CO_LIVE_READY
CO018,LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_win_pct"", ""<="", 0.6045454545454546], [""coachq_prev_dc_prior_win_pct"", ""<="", 0.5384615384615384]]",True,False,132,92,40,0.696969696969697,0.16232538482666328,45,0.15620072013338396,40,0.17208751764500269,47,0.15988122734717375,0.7777777777777778,CIN,0.11363636363636363,0.2954545454545454,4,30,0.6333333333333333,0.06331802503219752,33,0.696969696969697,0.16065673820467608,42,0.7380952380952381,0.224208343713671,27,0.7037037037037037,0.1781106388675976,0.3122718239355015,,0.41139240506329117,CO_LIVE_READY
