track,price_band,venue,conditions,full_n,full_win_pct,full_roi,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,recent_delta,user_preferred,score
MODERN,FAV55_65,AWAY,"[[""coachq_dc_prior_win_pct"", ""<="", 0.5769230769230769], [""opp_fatigue_load_index"", "">="", 0.9480943998014948]]",135,0.7481481481481481,0.2517433865506268,43,0.6744186046511628,0.13653918372413446,17,0.7647058823529411,0.27194122122576797,44,0.7954545454545454,0.32819040354754536,0.8947368421052632,0.12395020107259413,True,0.4615589868724279
MODERN,PK_55,ANY,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.04073660714285715], [""recent_edge_def_allowed_early_down_epa"", ""<="", 0.00209705196277545]]",107,0.6448598130841121,0.3042707271823772,44,0.6818181818181818,0.3757812851465555,16,0.5625,0.14509199134199136,28,0.6428571428571429,0.3092570339161168,0.9444444444444444,0.048820395671843375,True,0.4522603052562759
LONG,DOG20_34,HOME,"[[""coachq_oc_prior_quality"", ""<="", 0.44765625]]",90,0.36666666666666664,0.367,35,0.37142857142857144,0.33171428571428574,33,0.36363636363636365,0.3460606060606061,22,0.36363636363636365,0.45454545454545453,0.7222222222222222,0.11565800865800863,True,0.44997506706498747
LONG,DOG20_34,AWAY,"[[""coachq_hc_quality_delta_vs_departed"", ""<="", -0.01689976689976691], [""rank_edge_points_against"", "">="", -5.0]]",109,0.3761467889908257,0.33330275229357803,37,0.3783783783783784,0.38810810810810814,45,0.37777777777777777,0.2717777777777778,27,0.37037037037037035,0.36074074074074075,0.7222222222222222,0.030797797797797788,True,0.40471883874407716
LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_quality"", ""<="", 0.61875], [""opp_fatigue_load_index"", "">="", 0.9976454236715554]]",136,0.7205882352941176,0.20397483264830207,48,0.6875,0.1480590413945757,39,0.717948717948718,0.21410604102752673,49,0.7551020408163265,0.25068587047256957,0.7894736842105263,0.06960332926151835,True,0.3980232831101871
LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_quality"", ""<="", 0.61875], [""rank_edge_punt_return_average"", "">="", 1.0]]",149,0.7248322147651006,0.20541893772919986,51,0.7450980392156863,0.23818713492552127,45,0.6888888888888889,0.1568650957702246,53,0.7358490566037735,0.21511223642998278,0.8421052631578947,0.017586121082109857,True,0.39075558094697327
LONG,DOG20_34,ANY,"[[""coachq_oc_prior_quality"", "">="", 0.59375], [""adv_prior_road_games_last5"", "">="", 1.0]]",118,0.3389830508474576,0.18720338983050847,49,0.30612244897959184,0.12408163265306123,38,0.3684210526315789,0.24184210526315794,31,0.3548387096774194,0.22,0.7368421052631579,0.03703813104189041,True,0.33106739963376275
LONG,DOG20_34,HOME,"[[""coachq_oc_recent_quality"", ""<="", 0.65625], [""rank_edge_point_margin"", ""<="", -17.0]]",83,0.42168674698795183,0.582289156626506,34,0.38235294117647056,0.4273529411764706,34,0.38235294117647056,0.4064705882352941,15,0.6,1.3320000000000003,0.6666666666666666,0.915088235294118,False,0.7678492414660285
LONG,PK_55,ANY,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.09895833333333337], [""rank_edge_def_allowed_early_down_epa"", ""<="", -9.0]]",77,0.6623376623376623,0.35616515254792874,23,0.6521739130434783,0.31573639951730703,26,0.6153846153846154,0.272453608551795,28,0.7142857142857143,0.4671066333909207,0.875,0.17301162935636966,False,0.5153361023443542
MODERN,FAV55_65,HOME,"[[""coachq_dc_prior_win_pct"", "">="", 0.4636752136752137], [""rank_edge_punt_return_average"", "">="", 10.0]]",88,0.7613636363636364,0.255215076793011,29,0.7586206896551724,0.23528253617960135,15,0.6666666666666666,0.10675090939760654,25,0.92,0.5194580641459786,0.7368421052631579,0.3484413413573747,False,0.49936474552574234
