track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_wins,full_roi,positive_seasons,active_seasons,score,top_team,top_team_share,top3_team_share,top5_season_share,positive_season_ratio,deployment_status
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,69,0.3349275362318841,32,0.333125,39,0.3164102564102564,140,78,0.3293571428571428,14,18,2.635535268106527,DET,0.07142857142857142,0.20714285714285716,0.4642857142857143,0.7777777777777778,READY
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,DOG35_49,AWAY,74,0.2771621621621621,66,0.318939393939394,52,0.2767307692307692,192,103,0.29140625,16,19,2.902410515710496,MIN,0.06770833333333333,0.17708333333333334,0.359375,0.8421052631578947,READY
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,rank_edge_punt_net_average,>=,-0.5,DOG35_44,AWAY,59,0.4149152542372882,30,0.4183333333333333,33,0.2596969696969697,122,67,0.3737704918032786,12,18,2.2938026228208117,CIN,0.07377049180327869,0.19672131147540983,0.47540983606557374,0.6666666666666666,READY
LONG,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.4642857142857143,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,53,0.6813207547169812,25,0.3724,45,0.2186666666666666,123,71,0.4492682926829267,14,19,2.118560593239862,DET,0.10569105691056911,0.2764227642276423,0.4146341463414634,0.7368421052631579,READY
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_third_down_success,>=,0.0,DOG35_49,AWAY,71,0.2564788732394366,67,0.2494029850746268,51,0.2111764705882353,189,98,0.2417460317460317,14,18,2.222609645816018,PHI,0.06878306878306878,0.19576719576719576,0.35978835978835977,0.7777777777777778,READY
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_punt_return_average,>=,1.0,DOG35_49,AWAY,70,0.3277142857142857,59,0.2691525423728813,51,0.1992156862745098,180,96,0.2721111111111111,15,19,2.146274532603877,CIN,0.06666666666666667,0.19444444444444445,0.35555555555555557,0.7894736842105263,READY
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,DOG35_49,AWAY,110,0.3093636363636363,39,0.34,57,0.1747368421052631,206,109,0.2779126213592233,14,20,2.062388989446193,BAL,0.06310679611650485,0.16990291262135923,0.47572815533980584,0.7,READY
MODERN,STAFF+FOOTBALL,oc_prior_games,<=,32.0,recent_edge_sack_rate_allowed,<=,0.0,DOG35_44,HOME,55,0.3045454545454545,31,0.2258064516129032,62,0.1587096774193549,148,73,0.2269594594594594,13,14,1.6897142396474734,CHI,0.07216494845360824,0.211340206185567,0.4175257731958763,0.9285714285714286,READY
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,recent_edge_success_rate,>=,0.0,DOG35_49,AWAY,70,0.365,27,0.4281481481481481,43,0.1567441860465115,140,77,0.3132142857142856,13,18,1.8064934270888304,ARI,0.07142857142857142,0.19285714285714287,0.4928571428571429,0.7222222222222222,READY
MODERN,STAFF+FOOTBALL,oc_prior_games,<=,32.0,recent_edge_sack_or_hit_rate,<=,4.528103757894808e-05,DOG35_44,HOME,49,0.4155102040816326,30,0.199,61,0.140655737704918,140,70,0.2493571428571429,11,13,1.4800451911265955,WAS,0.07772020725388601,0.20207253886010362,0.38341968911917096,0.8461538461538461,READY
LONG,STAFF+FOOTBALL,dc_prior_win_pct,>=,0.6551724137931034,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,DOG35_49,ANY,92,0.2798913043478261,46,0.3608695652173913,72,0.1373611111111111,210,111,0.2487619047619047,13,20,2.022185442915778,BAL,0.09523809523809523,0.24761904761904763,0.4142857142857143,0.65,READY
LONG,STAFF+FOOTBALL,hc_prior_games_current_stint,<=,33.0,rank_edge_third_down_success,>=,0.0,DOG35_44,ANY,130,0.3244615384615384,81,0.2806172839506172,114,0.1302631578947368,325,162,0.2454153846153846,14,20,2.2747743746432594,NO,0.05846153846153846,0.16615384615384615,0.36,0.7,READY
LONG,STAFF+FOOTBALL,adv_full_staff_overhaul,>=,0.0,rank_edge_punt_return_average,>=,1.0,DOG35_49,AWAY,82,0.3442682926829268,83,0.2143373493975904,63,0.13,228,118,0.2377631578947368,14,19,1.715290176140997,PHI,0.07456140350877193,0.19298245614035087,0.38596491228070173,0.7368421052631579,READY
MODERN,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.5454545454545454,recent_edge_sack_or_hit_rate,<=,4.528103757894808e-05,DOG35_44,HOME,60,0.2905,39,0.2753846153846154,67,0.1232835820895522,166,80,0.2194578313253012,12,14,1.611041340536404,JAX,0.08620689655172414,0.2413793103448276,0.3577586206896552,0.8571428571428571,READY
