track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_wins,full_roi,positive_seasons,active_seasons,score,top_team,top_team_share,top3_team_share,top5_season_share,positive_season_ratio,deployment_status
MODERN,STAFF+FOOTBALL,dc_prior_games,>=,45.0,adv_returning_skill_snap_share,<=,-0.1176219081717548,DOG20_34,AWAY,33,0.4751515151515151,24,0.3895833333333333,35,0.5417142857142857,92,36,0.4781521739130435,10,12,3.872821199202031,LV,0.17391304347826086,0.358695652173913,0.5434782608695652,0.8333333333333334,WATCH
LONG,STAFF+FOOTBALL,oc_prior_games,<=,13.0,rank_edge_def_allowed_explosive_rate,<=,-9.75,DOG35_44,ANY,56,0.4641071428571429,40,0.357,38,0.4034210526315789,134,75,0.4149253731343283,10,16,3.277107573210668,TEN,0.1044776119402985,0.23880597014925373,0.44776119402985076,0.625,WATCH
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_third_down_success,>=,0.0,DOG35_44,AWAY,52,0.3463461538461538,47,0.383404255319149,29,0.2606896551724138,128,68,0.340546875,15,18,2.3238272579957333,WAS,0.078125,0.2109375,0.3984375,0.8333333333333334,WATCH
LONG,STAFF+FOOTBALL,oc_prior_games,<=,13.0,recent_edge_punt_return_average,>=,4.415277777777777,DOG35_44,ANY,45,0.3824444444444445,27,0.4137037037037037,38,0.186578947368421,110,58,0.3224545454545455,10,14,1.9025335016160536,DET,0.07272727272727272,0.2,0.4818181818181818,0.7142857142857143,WATCH
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_def_allowed_early_down_epa,<=,-10.0,DOG35_49,AWAY,27,0.3748148148148147,35,0.3911428571428572,29,0.1286206896551724,91,49,0.3026373626373627,12,15,1.502554933706741,KC,0.0989010989010989,0.24175824175824176,0.43956043956043955,0.8,WATCH
LONG,STAFF+FOOTBALL,oc_prior_games,<=,36.0,rank_edge_kick_return_average,>=,0.0,DOG35_44,HOME,68,0.3579411764705882,52,0.2663461538461538,71,0.1191549295774648,191,95,0.2442408376963351,14,20,1.67624458313245,JAX,0.08900523560209424,0.225130890052356,0.3612565445026178,0.7,WATCH
LONG,STAFF+FOOTBALL,hc_prior_games,<=,16.0,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,43,0.7344186046511629,22,0.5659090909090909,35,0.1179999999999999,100,59,0.4816,11,15,1.6271195359253268,ATL,0.08,0.22,0.49,0.7333333333333333,WATCH
LONG,STAFF+FOOTBALL,hc_prior_games,<=,25.0,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,64,0.6784375,28,0.5785714285714285,49,0.110204081632653,141,82,0.4611347517730497,14,18,1.8429578524097303,DET,0.0851063829787234,0.22695035460992907,0.48936170212765956,0.7777777777777778,WATCH
LONG,STAFF+FOOTBALL,oc_prior_win_pct,>=,0.6086956521739131,adv_prior_road_miles_last4,>=,0.0,DOG35_44,ANY,85,0.2977647058823529,60,0.2703333333333333,56,0.1099999999999999,201,100,0.2372636815920398,14,20,1.5560621736375837,CHI,0.07462686567164178,0.22388059701492538,0.34328358208955223,0.7,WATCH
MODERN,STAFF+FOOTBALL,oc_prior_role_seasons,<=,2.0,rank_edge_def_allowed_explosive_rate,>=,-1.0,DOG35_44,HOME,35,0.494,24,0.28125,49,0.1075510204081632,108,55,0.2713888888888889,12,14,1.2351004359675808,WAS,0.06802721088435375,0.19047619047619047,0.3741496598639456,0.8571428571428571,WATCH
LONG,STAFF+FOOTBALL,hc_prior_games,<=,36.0,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,85,0.5165882352941177,43,0.391860465116279,60,0.1071666666666666,188,102,0.3573936170212766,14,19,1.7294697490736586,DET,0.07446808510638298,0.19680851063829788,0.42021276595744683,0.7368421052631579,WATCH
MODERN,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.5454545454545454,recent_edge_sack_rate_allowed,<=,-0.0266570339605316,DOG35_44,HOME,32,0.491875,18,0.3049999999999999,41,0.1041463414634146,91,46,0.2802197802197803,12,14,1.1197638566143313,CAR,0.08064516129032258,0.22580645161290322,0.3548387096774194,0.8571428571428571,WATCH
