method_id,feature,op,threshold,pre_score,holdout_base_n,holdout_base_roi,removed_wins,removed_losses,safe_n,safe_roi,roi_change,loss_rate_change,confirmed,base_n,base_roi,retain_share,loss_win_ratio,deployment_grade
NFL-H002,dc_prior_role_seasons,>=,4.0,0.7771605937921727,47,0.4948936170212765,5,7,35,0.6602857142857144,0.1653920972644378,-0.0759878419452887,True,47,0.4948936170212765,0.7446808510638298,1.4,True
NFL-H003,dc_prior_role_seasons,>=,3.3500000000000014,1.142542610353931,43,0.4374418604651162,5,7,31,0.5658064516129031,0.1283645911477868,-0.0637659414853712,True,43,0.4374418604651162,0.7209302325581395,1.4,True
NFL-H005,oc_prior_role_seasons,>=,3.0,0.8312776816198415,41,0.3602439024390244,3,7,31,0.5680645161290322,0.2078206136900078,-0.084185680566483,True,41,0.3602439024390244,0.7560975609756098,2.3333333333333335,True
NFL-H006,adv_staff_change_count,>=,1.0,0.7271867181254204,76,0.2681578947368421,6,11,59,0.3864406779661017,0.1182827832292596,-0.0461641391614628,True,76,0.2681578947368421,0.7763157894736842,1.8333333333333333,True
NFL-H009,adv_hc_prior_games_current_stint,<=,-13.0,0.5271282818532589,92,0.1953260869565217,20,24,48,0.2810416666666667,0.0857155797101449,-0.0416666666666666,True,92,0.1953260869565217,0.5217391304347826,1.2,True
NFL-H010,adv_dc_prior_win_pct,<=,-0.1042471042471042,0.5046084850720967,40,0.32175,3,5,32,0.43125,0.1095,-0.0437499999999999,True,40,0.32175,0.8,1.6666666666666667,True
NFL-H014,adv_dc_tenure_seasons,>=,1.25,1.0955921583590205,40,0.33275,3,5,32,0.4275,0.09475,-0.0437499999999999,True,40,0.33275,0.8,1.6666666666666667,True
NFL-H015,adv_dc_prior_role_seasons,>=,1.0,0.9231719946719948,30,0.3353333333333333,4,7,19,0.6178947368421053,0.2825614035087719,-0.0982456140350876,True,30,0.3353333333333333,0.6333333333333333,1.75,True
NFL-H016,oc_prior_games,>=,23.0,0.4300163289396025,45,0.2613333333333333,7,14,24,0.6420833333333333,0.38075,-0.1555555555555555,True,45,0.2613333333333333,0.5333333333333333,2.0,True
NFL-H020,oc_prior_role_seasons,>=,2.25,1.217958863556027,34,0.2667647058823529,1,5,28,0.4428571428571427,0.1760924369747897,-0.0714285714285714,True,34,0.2667647058823529,0.8235294117647058,5.0,True
NFL-H022,hc_prior_win_pct,>=,0.600943396226415,1.035383224773469,40,0.211,5,8,27,0.3566666666666666,0.1456666666666666,-0.0555555555555555,True,40,0.211,0.675,1.6,True
NFL-H027,dc_tenure_seasons,>=,3.0,0.6560502211223783,43,0.2290697674418604,4,6,33,0.3090909090909091,0.0800211416490486,-0.0338266384778012,True,43,0.2290697674418604,0.7674418604651163,1.5,True
NFL-H031,adv_dc_tenure_seasons,>=,1.0,0.2948824585310654,76,0.1828947368421052,6,13,57,0.3070175438596491,0.1241228070175438,-0.0526315789473684,True,76,0.1828947368421052,0.75,2.1666666666666665,True
NFL-H035,oc_tenure_seasons,>=,3.0,0.3939692982456141,52,0.1542307692307692,4,7,41,0.2502439024390244,0.0960131332082551,-0.0314258911819886,True,52,0.1542307692307692,0.7884615384615384,1.75,True
