method_id,feature,op,threshold,pre_score,holdout_base_n,holdout_base_roi,removed_wins,removed_losses,safe_n,safe_roi,roi_change,loss_rate_change,confirmed
NFL-H091,hc_prior_games,>=,36.5,1.0224369747899158,37,0.12810810810810808,7,14,16,0.5475,0.4193918918918919,-0.16554054054054057,True
NFL-H016,oc_prior_games,>=,23.0,0.4300163289396025,45,0.2613333333333333,7,14,24,0.6420833333333333,0.38075000000000003,-0.15555555555555556,True
NFL-H066,hc_prior_games,<=,25.0,0.8444730535422024,29,0.2524137931034483,1,7,21,0.5676190476190476,0.3152052545155993,-0.09688013136288998,True
NFL-H096,adv_dc_prior_role_seasons,>=,2.2999999999999936,1.1349743589743588,31,0.11580645161290325,1,7,23,0.41478260869565214,0.2989761570827489,-0.12482468443197758,True
NFL-H066,dc_prior_games,<=,21.5,1.000253830736023,29,0.2524137931034483,1,7,21,0.5414285714285715,0.2890147783251232,-0.09688013136288998,True
NFL-H066,dc_prior_games,<=,13.749999999999998,0.9220128537629628,29,0.2524137931034483,1,7,21,0.5414285714285715,0.2890147783251232,-0.09688013136288998,True
NFL-H066,dc_prior_games,<=,10.25,0.6506008753328152,29,0.2524137931034483,1,7,21,0.5414285714285715,0.2890147783251232,-0.09688013136288998,True
NFL-H015,adv_dc_prior_role_seasons,>=,1.0,0.9231719946719948,30,0.3353333333333333,4,7,19,0.6178947368421053,0.28256140350877196,-0.09824561403508769,True
NFL-H059,adv_dc_prior_games,>=,44.0,1.0675911654135337,37,0.2424324324324324,1,7,29,0.5082758620689656,0.2658434296365332,-0.11463187325256285,True
NFL-H075,oc_prior_role_seasons,>=,2.0,1.0016428164428164,27,0.2611111111111111,4,7,16,0.521875,0.26076388888888885,-0.10648148148148151,True
NFL-H093,adv_hc_prior_games,<=,-13.0,1.182187260956361,28,0.13178571428571426,3,7,18,0.3816666666666667,0.24988095238095245,-0.11111111111111116,True
NFL-H016,oc_prior_role_seasons,>=,3.0,0.49744558947692025,45,0.2613333333333333,2,9,34,0.5094117647058822,0.24807843137254892,-0.10653594771241837,True
NFL-H075,adv_dc_prior_games,<=,-14.0,1.0304422753172753,27,0.2611111111111111,1,5,21,0.5023809523809524,0.24126984126984125,-0.10052910052910058,True
NFL-H059,dc_prior_role_seasons,>=,5.0,0.7111791871921183,37,0.2424324324324324,5,8,24,0.47875000000000006,0.23631756756756767,-0.08445945945945943,True
NFL-H080,dc_tenure_seasons,>=,2.0,0.5484166666666666,29,0.1617241379310345,4,8,17,0.38235294117647056,0.22062880324543607,-0.10547667342799183,True
NFL-H080,dc_tenure_seasons,>=,1.6000000000000014,0.5484166666666666,29,0.1617241379310345,4,8,17,0.38235294117647056,0.22062880324543607,-0.10547667342799183,True
NFL-H080,dc_changed_season,<=,0.0,0.5484166666666666,29,0.1617241379310345,4,8,17,0.38235294117647056,0.22062880324543607,-0.10547667342799183,True
NFL-H093,adv_hc_tenure_seasons,<=,-1.4500000000000002,1.4311357721226141,28,0.13178571428571426,2,6,20,0.3505,0.21871428571428572,-0.09999999999999998,True
NFL-H005,oc_prior_role_seasons,>=,3.0,0.8312776816198415,41,0.3602439024390244,3,7,31,0.5680645161290322,0.20782061369000782,-0.08418568056648301,True
NFL-H016,adv_hc_prior_games,<=,-26.0,0.4259377867088865,45,0.2613333333333333,10,13,22,0.46681818181818185,0.20548484848484855,-0.07979797979797987,True
NFL-H086,oc_prior_role_seasons,>=,2.0,0.6756536797456432,52,0.1182692307692308,11,16,25,0.3068,0.18853076923076922,-0.07923076923076922,True
NFL-H096,hc_prior_games,<=,21.199999999999996,1.1989761904761904,31,0.11580645161290325,2,6,23,0.3017391304347827,0.18593267882187942,-0.08134642356241228,True
NFL-H044,adv_oc_prior_games,>=,14.75,0.6197072470013647,40,0.16025000000000006,2,7,31,0.34451612903225803,0.18426612903225797,-0.07338709677419353,True
NFL-H036,oc_tenure_seasons,>=,2.5,0.328897460263314,46,0.17282608695652174,3,8,35,0.35114285714285715,0.1783167701863354,-0.0714285714285714,True
NFL-H020,oc_prior_role_seasons,>=,2.25,1.217958863556027,34,0.26676470588235296,1,5,28,0.4428571428571427,0.17609243697478977,-0.0714285714285714,True
NFL-H037,adv_hc_prior_win_pct,>=,0.0357142857142857,0.5911258918548503,47,0.16531914893617017,11,14,22,0.34045454545454545,0.17513539651837529,-0.05609284332688591,True
NFL-H082,adv_hc_changed_season,<=,-0.5999999999999996,0.5812533593606892,60,0.11199999999999997,5,12,43,0.2837209302325581,0.17172093023255813,-0.07480620155038753,True
NFL-H059,adv_dc_prior_role_seasons,>=,4.5,1.0164107142857144,37,0.2424324324324324,1,5,31,0.41096774193548385,0.16853530950305146,-0.07236268526591105,True
NFL-H015,adv_dc_prior_role_seasons,>=,1.7999999999999972,0.9302392926222711,30,0.3353333333333333,3,5,22,0.5013636363636363,0.16603030303030303,-0.05757575757575761,True
NFL-H002,dc_prior_role_seasons,>=,4.0,0.7771605937921727,47,0.49489361702127654,5,7,35,0.6602857142857144,0.16539209726443782,-0.07598784194528874,True
NFL-H057,adv_hc_prior_games,<=,-25.4,0.8924599208649255,66,0.125,9,17,40,0.28975,0.16475,-0.07045454545454544,True
NFL-H065,oc_prior_role_seasons,>=,2.0,0.4748408071665571,120,0.10175000000000001,14,29,77,0.26155844155844155,0.15980844155844154,-0.06482683982683979,True
NFL-H081,adv_dc_prior_win_pct,<=,-0.06557846506300113,0.9319423076923077,38,0.15868421052631582,4,8,26,0.31807692307692303,0.15939271255060722,-0.06477732793522273,True
NFL-H022,hc_prior_win_pct,>=,0.600943396226415,1.0353832247734687,40,0.21100000000000002,5,8,27,0.35666666666666663,0.1456666666666666,-0.05555555555555558,True
NFL-H087,adv_dc_prior_win_pct,<=,-0.1532716512461449,1.0634226264101154,42,0.11047619047619045,2,9,31,0.24225806451612905,0.1317818740399386,-0.04531490015360984,True
NFL-H096,adv_dc_prior_games,<=,-27.0,1.1337820512820511,31,0.11580645161290325,1,4,26,0.24730769230769228,0.13150124069478902,-0.05459057071960294,True
NFL-H043,adv_hc_prior_games,<=,-1.200000000000001,0.5287487753882916,32,0.1771875,6,9,17,0.3082352941176471,0.1310477941176471,-0.06066176470588236,True
NFL-H036,adv_hc_prior_games_current_stint,<=,-13.0,0.600081394640218,46,0.17282608695652174,7,11,28,0.30357142857142855,0.1307453416149068,-0.0714285714285714,True
NFL-H036,adv_hc_prior_games_current_stint,<=,-3.5,0.5754051796727022,46,0.17282608695652174,7,11,28,0.30357142857142855,0.1307453416149068,-0.0714285714285714,True
NFL-H003,dc_prior_role_seasons,>=,3.3500000000000014,1.1425426103539307,43,0.43744186046511624,5,7,31,0.5658064516129031,0.12836459114778687,-0.06376594148537129,True
NFL-H031,adv_dc_tenure_seasons,>=,1.0,0.2948824585310654,76,0.18289473684210528,6,13,57,0.30701754385964913,0.12412280701754386,-0.052631578947368474,True
NFL-H075,adv_dc_tenure_seasons,<=,-2.0,1.2418422020034923,27,0.2611111111111111,1,3,23,0.3830434782608696,0.12193236714975847,-0.04669887278582929,True
NFL-H065,oc_prior_role_seasons,>=,3.0,0.6656211747937122,120,0.10175000000000001,8,20,92,0.22217391304347825,0.12042391304347824,-0.047463768115941996,True
NFL-H042,hc_prior_win_pct,>=,0.6334688346883469,0.9167838673085034,45,0.152,2,6,37,0.27216216216216216,0.12016216216216216,-0.05165165165165164,True
NFL-H086,oc_tenure_seasons,>=,2.5,0.7021255967175604,52,0.1182692307692308,6,10,36,0.23805555555555558,0.11978632478632478,-0.04700854700854695,True
NFL-H095,adv_dc_prior_role_seasons,>=,1.0,0.8233262729995721,33,0.10030303030303032,3,6,24,0.21916666666666665,0.11886363636363632,-0.045454545454545414,True
NFL-H095,adv_dc_prior_role_seasons,>=,0.8000000000000043,0.8233262729995721,33,0.10030303030303032,3,6,24,0.21916666666666665,0.11886363636363632,-0.045454545454545414,True
NFL-H095,adv_dc_prior_games,>=,13.0,0.78704662004662,33,0.10030303030303032,3,6,24,0.21916666666666665,0.11886363636363632,-0.045454545454545414,True
NFL-H006,adv_staff_change_count,>=,1.0,0.7271867181254204,76,0.2681578947368421,6,11,59,0.38644067796610176,0.11828278322925967,-0.04616413916146289,True
NFL-H006,adv_major_staff_changes,>=,1.0,0.7271867181254204,76,0.2681578947368421,6,11,59,0.38644067796610176,0.11828278322925967,-0.04616413916146289,True
