track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_wins,full_roi,positive_seasons,active_seasons,score
MODERN,STAFF+FOOTBALL,dc_prior_games,>=,45.0,adv_returning_skill_snap_share,<=,-0.11762190817175483,DOG20_34,AWAY,33,0.47515151515151516,24,0.38958333333333334,35,0.5417142857142857,92,36,0.4781521739130435,10,12,3.872821199202031
LONG,STAFF+FOOTBALL,oc_prior_games,<=,13.0,rank_edge_def_allowed_explosive_rate,<=,-9.75,DOG35_44,ANY,56,0.4641071428571429,40,0.35700000000000004,38,0.4034210526315789,134,75,0.41492537313432837,10,16,3.2771075732106674
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,DOG35_49,AWAY,74,0.27716216216216216,66,0.318939393939394,52,0.2767307692307692,192,103,0.29140625000000003,16,19,2.902410515710496
MODERN,STAFF+FOOTBALL,dc_prior_games,>=,45.0,adv_secondary_unavail_equiv,>=,0.26249999999999996,DOG20_34,AWAY,39,0.5915384615384616,19,0.38315789473684214,28,0.42714285714285716,86,35,0.49197674418604653,10,12,2.8447788384973705
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,69,0.3349275362318841,32,0.333125,39,0.3164102564102564,140,78,0.3293571428571428,14,18,2.635535268106527
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_third_down_success,>=,0.0,DOG35_44,AWAY,52,0.34634615384615386,47,0.383404255319149,29,0.2606896551724138,128,68,0.340546875,15,18,2.3238272579957333
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,rank_edge_punt_net_average,>=,-0.5,DOG35_44,AWAY,59,0.4149152542372882,30,0.41833333333333333,33,0.2596969696969697,122,67,0.37377049180327865,12,18,2.2938026228208113
LONG,STAFF+FOOTBALL,hc_prior_games_current_stint,<=,33.0,rank_edge_third_down_success,>=,0.0,DOG35_44,ANY,130,0.32446153846153847,81,0.28061728395061725,114,0.13026315789473683,325,162,0.24541538461538462,14,20,2.2747743746432594
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_third_down_success,>=,0.0,DOG35_49,AWAY,71,0.2564788732394366,67,0.24940298507462683,51,0.21117647058823533,189,98,0.24174603174603174,14,18,2.222609645816018
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,-1.0,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,DOG35_49,AWAY,28,0.3725,34,0.5794117647058824,23,0.2082608695652174,85,50,0.4108235294117647,13,16,2.1812667878909866
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_punt_return_average,>=,1.0,DOG35_49,AWAY,70,0.3277142857142857,59,0.26915254237288133,51,0.19921568627450983,180,96,0.2721111111111111,15,19,2.1462745326038775
LONG,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.4642857142857143,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,53,0.6813207547169812,25,0.3724,45,0.21866666666666668,123,71,0.44926829268292673,14,19,2.118560593239862
MODERN,STAFF+FOOTBALL,oc_prior_games,<=,32.0,recent_edge_off_epa,<=,-7.447250485682861,DOG35_44,HOME,26,0.4173076923076922,21,0.31047619047619046,35,0.2702857142857143,82,44,0.3271951219512195,10,12,2.097005075464888
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,DOG35_49,AWAY,110,0.3093636363636363,39,0.34,57,0.17473684210526313,206,109,0.2779126213592233,14,20,2.062388989446193
LONG,STAFF+FOOTBALL,dc_prior_win_pct,>=,0.6551724137931034,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,DOG35_49,ANY,92,0.2798913043478261,46,0.36086956521739133,72,0.13736111111111113,210,111,0.24876190476190474,13,20,2.022185442915778
LONG,STAFF+FOOTBALL,oc_prior_games,<=,13.0,recent_edge_punt_return_average,>=,4.415277777777777,DOG35_44,ANY,45,0.3824444444444445,27,0.4137037037037037,38,0.18657894736842104,110,58,0.3224545454545455,10,14,1.9025335016160536
LONG,STAFF+FOOTBALL,hc_prior_games,<=,25.0,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,64,0.6784375,28,0.5785714285714285,49,0.11020408163265305,141,82,0.46113475177304974,14,18,1.8429578524097303
LONG,STAFF+FOOTBALL,dc_prior_games,<=,14.0,recent_edge_success_rate,>=,0.0,DOG35_49,AWAY,70,0.365,27,0.4281481481481481,43,0.15674418604651158,140,77,0.31321428571428567,13,18,1.8064934270888302
LONG,STAFF+FOOTBALL,hc_prior_games,<=,36.0,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,85,0.5165882352941177,43,0.39186046511627903,60,0.10716666666666665,188,102,0.3573936170212766,14,19,1.7294697490736586
LONG,STAFF+FOOTBALL,hc_prior_games,<=,25.0,recent_edge_kick_return_average,>=,3.8000000000000007,DOG35_44,HOME,21,0.7533333333333333,19,0.7194736842105263,29,0.11620689655172413,69,41,0.476231884057971,11,13,1.7234328683603672
LONG,STAFF+FOOTBALL,adv_full_staff_overhaul,>=,0.0,rank_edge_punt_return_average,>=,1.0,DOG35_49,AWAY,82,0.34426829268292686,83,0.2143373493975904,63,0.13,228,118,0.23776315789473684,14,19,1.7152901761409973
MODERN,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.5,recent_edge_off_epa,<=,-7.447250485682861,DOG35_44,HOME,26,0.4573076923076923,20,0.259,39,0.2058974358974359,85,44,0.2952941176470588,10,12,1.6912281993755616
MODERN,STAFF+FOOTBALL,oc_prior_games,<=,32.0,recent_edge_sack_rate_allowed,<=,0.0,DOG35_44,HOME,55,0.30454545454545456,31,0.22580645161290322,62,0.1587096774193549,148,73,0.22695945945945947,13,14,1.6897142396474734
LONG,STAFF+FOOTBALL,oc_prior_games,<=,36.0,rank_edge_kick_return_average,>=,0.0,DOG35_44,HOME,68,0.3579411764705882,52,0.26634615384615384,71,0.11915492957746483,191,95,0.24424083769633512,14,20,1.67624458313245
LONG,STAFF+FOOTBALL,hc_prior_games,<=,16.0,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,43,0.7344186046511629,22,0.5659090909090909,35,0.11799999999999997,100,59,0.48160000000000003,11,15,1.6271195359253268
MODERN,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.5454545454545454,recent_edge_sack_or_hit_rate,<=,4.528103757894808e-05,DOG35_44,HOME,60,0.2905,39,0.2753846153846154,67,0.12328358208955226,166,80,0.21945783132530125,12,14,1.611041340536404
