method_id,track,rank_preholdout,feature,op,threshold,family,pre_score,train_base_roi,validation_base_roi,holdout_base_n,holdout_base_roi,holdout_base_loss_rate,holdout_removed_n,holdout_removed_wins,holdout_removed_losses,holdout_safe_n,holdout_safe_wins,holdout_safe_losses,holdout_safe_roi,holdout_safe_loss_rate,roi_change,loss_rate_change,confirmed
NFL-H020,LONG,1,adv_road_miles_last4_including_current,<=,-520.69634126048,TRAVEL_FATIGUE,1.0686627211860353,0.35219512195121955,0.47000000000000003,34,0.26676470588235296,0.5,12,1,11,22,16,6,0.8563636363636363,0.2727272727272727,0.5895989304812834,-0.2272727272727273,True
NFL-H020,LONG,2,adv_prior_road_miles_last2,<=,85.37087665268311,TRAVEL_FATIGUE,1.0282025067358829,0.35219512195121955,0.47000000000000003,34,0.26676470588235296,0.5,16,4,12,18,13,5,0.8077777777777777,0.2777777777777778,0.5410130718954247,-0.2222222222222222,True
NFL-H028,LONG,1,adv_abs_tz_shift_hours,>=,0.0,TRAVEL_FATIGUE,0.7131024893433067,0.24083333333333334,0.26299999999999996,43,0.23348837209302323,0.4883720930232558,21,8,13,22,14,8,0.5672727272727274,0.36363636363636365,0.3337843551797042,-0.12473572938689215,True
NFL-H016,LONG,1,adv_prior_road_miles_last4,<=,198.0221784286853,TRAVEL_FATIGUE,1.2216847521617344,0.3334117647058824,0.3060869565217391,45,0.2613333333333333,0.48888888888888893,28,12,16,17,11,6,0.5829411764705883,0.3529411764705882,0.321607843137255,-0.13594771241830073,True
NFL-H036,LONG,1,adv_prior_road_miles_last5,<=,-449.2804356656068,TRAVEL_FATIGUE,0.6653185703185702,0.5073076923076923,0.2959090909090909,46,0.17282608695652174,0.5,15,4,11,31,19,12,0.45645161290322583,0.3870967741935484,0.2836255259467041,-0.11290322580645162,True
NFL-H093,LONG,2,adv_road_miles_last5_including_current,<=,-1125.1036983206466,TRAVEL_FATIGUE,0.964612053939689,0.31052631578947376,0.4042307692307692,28,0.13178571428571426,0.5,10,3,7,18,11,7,0.3866666666666666,0.38888888888888884,0.2548809523809523,-0.11111111111111116,True
NFL-H019,LONG,1,prior_road_miles_last2,<=,272.42658899045455,TRAVEL_FATIGUE,1.232798252488588,0.41729166666666667,0.3721212121212122,33,0.2936363636363637,0.48484848484848486,17,7,10,16,10,6,0.540625,0.375,0.24698863636363633,-0.10984848484848486,True
NFL-H049,LONG,1,adv_prior_road_miles_last4,<=,266.04435007026564,TRAVEL_FATIGUE,1.0102496733048723,0.3217073170731707,0.4431578947368421,42,0.2938095238095238,0.47619047619047616,26,12,14,16,10,6,0.5306250000000001,0.375,0.23681547619047633,-0.10119047619047616,True
NFL-H036,LONG,2,road_miles4_per_rest_day,>=,265.1873928775149,TRAVEL_FATIGUE,0.6596051408744907,0.5073076923076923,0.2959090909090909,46,0.17282608695652174,0.5,22,9,13,24,14,10,0.38999999999999996,0.41666666666666663,0.21717391304347822,-0.08333333333333337,True
NFL-H014,LONG,1,adv_prev_abs_tz_shift,>=,1.0,TRAVEL_FATIGUE,0.7107181031359948,0.2479245283018868,0.26634146341463416,40,0.33275,0.44999999999999996,10,3,7,30,19,11,0.5436666666666666,0.3666666666666667,0.21091666666666664,-0.08333333333333326,True
NFL-H087,LONG,2,travel_miles,>=,1025.2406957089884,TRAVEL_FATIGUE,0.9484703230562104,0.40262295081967225,0.27230769230769225,42,0.11047619047619046,0.6904761904761905,15,3,12,27,10,17,0.3192592592592593,0.6296296296296297,0.20878306878306885,-0.060846560846560815,True
NFL-H039,LONG,1,adv_prior_tz_hours_last4,<=,-2.0,TRAVEL_FATIGUE,0.7752076719576719,0.28875,0.35,36,0.2222222222222222,0.5,8,2,6,28,16,12,0.41107142857142864,0.4285714285714286,0.18884920634920643,-0.0714285714285714,True
NFL-H039,LONG,2,adv_prior_tz_hours_last4,<=,-1.7999999999999998,TRAVEL_FATIGUE,0.7752076719576719,0.28875,0.35,36,0.2222222222222222,0.5,8,2,6,28,16,12,0.41107142857142864,0.4285714285714286,0.18884920634920643,-0.0714285714285714,True
NFL-H017,LONG,2,adv_prior_road_miles_last5,<=,-315.24304298251786,TRAVEL_FATIGUE,0.7638879680394407,0.17022727272727273,0.23086021505376347,102,0.1823529411764706,0.5,31,10,21,71,41,30,0.36774647887323936,0.4225352112676056,0.18539353769676875,-0.07746478873239437,True
