track,feature,op,threshold,price_band,venue,train_n,train_wins,train_losses,train_win_rate,train_loss_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,validation_n,validation_wins,validation_losses,validation_win_rate,validation_loss_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,holdout_n,holdout_wins,holdout_losses,holdout_win_rate,holdout_loss_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,full_n,full_wins,full_losses,full_win_rate,full_loss_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,score
MODERN,adv_prev_travel_miles,>=,435.82007419752483,DOG35_44,AWAY,99,45,54,0.45454545454545453,0.5454545454545454,0.14010101010101011,13.870000000000001,6,4,2,1,39,17,22,0.4358974358974359,0.5641025641025641,0.09820512820512822,3.8300000000000005,3,2,1,1,95,48,47,0.5052631578947369,0.49473684210526314,0.25778947368421046,24.489999999999995,5,4,1,1,233,110,123,0.4721030042918455,0.5278969957081545,0.18107296137339055,42.19,14,10,4,2,2.727272774432261
LONG,adv_prior_long_trips_last4,>=,1.0,DOG35_49,ANY,161,75,86,0.4658385093167702,0.5341614906832298,0.12260869565217393,19.740000000000002,8,6,2,1,133,61,72,0.45864661654135336,0.5413533834586466,0.08135338345864665,10.820000000000004,6,4,2,2,171,80,91,0.4678362573099415,0.5321637426900585,0.12730994152046785,21.770000000000003,6,4,2,1,465,216,249,0.4645161290322581,0.5354838709677419,0.11253763440860215,52.33,20,14,6,2,1.993168054246161
LONG,adv_altitude_change_ft,<=,-593.0,DOG35_44,AWAY,47,29,18,0.6170212765957447,0.3829787234042553,0.5559574468085107,26.130000000000003,8,6,2,1,39,18,21,0.46153846153846156,0.5384615384615384,0.17948717948717952,7.000000000000001,6,4,2,2,42,21,21,0.5,0.5,0.24428571428571427,10.26,5,3,2,2,128,68,60,0.53125,0.46875,0.338984375,43.39,19,13,6,2,1.9754663474335263
LONG,adv_prior_long_trips_last3,>=,1.0,DOG35_44,ANY,101,52,49,0.5148514851485149,0.48514851485148514,0.28881188118811885,29.17,8,6,2,1,79,37,42,0.46835443037974683,0.5316455696202531,0.17645569620253163,13.94,6,4,2,1,108,49,59,0.4537037037037037,0.5462962962962963,0.12796296296296297,13.820000000000002,6,4,2,1,288,138,150,0.4791666666666667,0.5208333333333333,0.19767361111111115,56.93000000000001,20,14,6,1,1.878760506895245
MODERN,adv_prior_road_streak,>=,1.0,DOG35_44,AWAY,122,52,70,0.4262295081967213,0.5737704918032787,0.0625409836065574,7.630000000000002,6,4,2,2,56,27,29,0.48214285714285715,0.5178571428571428,0.21625,12.11,3,3,0,0,123,55,68,0.44715447154471544,0.5528455284552846,0.1080487804878049,13.290000000000003,5,3,2,2,301,134,167,0.44518272425249167,0.5548172757475083,0.109734219269103,33.03,14,10,4,2,1.764712331395923
MODERN,adv_prev_abs_tz_shift,>=,1.0,DOG35_44,AWAY,81,35,46,0.43209876543209874,0.5679012345679013,0.08037037037037036,6.509999999999999,6,4,2,1,31,15,16,0.4838709677419355,0.5161290322580645,0.21838709677419357,6.7700000000000005,3,3,0,0,85,39,46,0.4588235294117647,0.5411764705882354,0.14411764705882352,12.25,5,3,2,2,197,89,108,0.4517766497461929,0.5482233502538071,0.12959390862944162,25.53,14,10,4,2,1.754273817291712
LONG,adv_prior_road_miles_last3,>=,394.6069831383721,DOG35_44,AWAY,140,67,73,0.4785714285714286,0.5214285714285714,0.19942857142857143,27.92,8,6,2,1,118,51,67,0.4322033898305085,0.5677966101694916,0.08720338983050847,10.29,6,4,2,1,125,57,68,0.456,0.544,0.12655999999999998,15.819999999999997,6,3,3,3,383,175,208,0.45691906005221933,0.5430809399477807,0.14107049608355093,54.03000000000001,20,13,7,3,1.7465287647979477
LONG,road_games_last4_including_current,<=,1.0,DOG20_34,AWAY,112,33,79,0.29464285714285715,0.7053571428571428,0.05892857142857143,6.6,8,5,3,2,90,30,60,0.3333333333333333,0.6666666666666667,0.24866666666666665,22.38,6,4,2,1,74,22,52,0.2972972972972973,0.7027027027027026,0.10351351351351351,7.66,6,4,2,2,276,85,191,0.3079710144927536,0.6920289855072463,0.1327536231884058,36.64,20,13,7,3,1.7161276098476195
LONG,adv_prior_road_miles_last4,>=,949.8979716832478,DOG35_49,AWAY,145,71,74,0.4896551724137931,0.5103448275862069,0.1942758620689655,28.169999999999998,8,7,1,1,121,56,65,0.4628099173553719,0.5371900826446281,0.10198347107438016,12.34,6,4,2,2,135,63,72,0.4666666666666667,0.5333333333333333,0.10814814814814816,14.600000000000001,6,3,3,2,401,190,211,0.47381546134663344,0.5261845386533666,0.13743142144638407,55.11000000000001,20,14,6,2,1.6492042937392144
LONG,road_games_last4_including_current,<=,1.0,DOG35_49,AWAY,102,48,54,0.47058823529411764,0.5294117647058824,0.13127450980392155,13.389999999999997,8,4,4,2,92,42,50,0.45652173913043476,0.5434782608695652,0.1215217391304348,11.180000000000001,6,5,1,1,94,45,49,0.4787234042553192,0.5212765957446808,0.12085106382978723,11.36,6,3,3,3,288,135,153,0.46875,0.53125,0.12475694444444445,35.93,20,12,8,3,1.5796529868526563
