method_id,registry_status,track,price_band,original_p_lo,original_p_hi,original_odds_range,proposed_p_lo,proposed_p_hi,proposed_odds_range,preholdout_gain,preholdout_retain,train_base_n,train_base_roi,train_window_n,train_window_roi,validation_base_n,validation_base_roi,validation_window_n,validation_window_roi,holdout_base_n,holdout_base_roi,holdout_window_n,holdout_window_roi,holdout_roi_change,holdout_retain,full_base_n,full_base_roi,full_window_n,full_window_roi,decision,live_p_lo,live_p_hi,live_odds_range
NFL-H028,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.35,0.4651162790697674,+115 to +186,0.03662878787878787,0.7652777777777777,72,0.24083333333333334,55,0.28709090909090906,60,0.26299999999999996,46,0.29,43,0.23348837209302323,34,0.24941176470588236,0.015923392612859133,0.7906976744186046,175,0.24662857142857142,135,0.2785925925925926,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H027,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.35,0.4999,+100 to +186,0.0,1.0,59,0.46186440677966106,59,0.46186440677966106,45,0.2584444444444444,45,0.2584444444444444,43,0.2290697674418605,43,0.2290697674418605,0.0,1.0,147,0.3314965986394558,147,0.3314965986394558,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H053,WATCHLIST,LONG,DOG20_34,0.2,0.3499,+186 to +400,0.2,0.3499,+186 to +400,0.0,1.0,54,0.2909259259259259,54,0.2909259259259259,53,0.2684905660377358,53,0.2684905660377358,57,0.2391228070175439,57,0.2391228070175439,0.0,1.0,164,0.2656707317073171,164,0.2656707317073171,KEEP_ORIGINAL_BAND,0.2,0.3499,+186 to +400
NFL-H062,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.364034505640345,0.47326298846463377,+111 to +175,0.049545984190441025,0.683090705487122,94,0.40787234042553194,74,0.49918918918918914,76,0.2413157894736842,44,0.24909090909090906,86,0.11976744186046508,74,0.10756756756756755,-0.012199874292897525,0.8604651162790697,256,0.26164062499999996,192,0.2909375,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H035,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.35984256073402143,0.4999,+100 to +178,0.08229365079365075,0.8833333333333333,48,0.3529166666666666,40,0.48425,45,0.40222222222222226,42,0.43547619047619035,52,0.1542307692307692,48,0.13375,-0.02048076923076919,0.9230769230769231,145,0.29696551724137926,130,0.33907692307692305,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H082,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.3846153846153846,0.4784688995215311,+109 to +160,0.12482688121997534,0.5925666199158486,93,0.2723655913978495,59,0.3286440677966102,69,0.26478260869565223,38,0.4581578947368422,60,0.11200000000000002,43,0.06930232558139535,-0.04269767441860467,0.7166666666666667,222,0.22666666666666663,140,0.28414285714285714,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H075,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35,0.4355420543003607,+130 to +186,0.05941572465766015,0.8418803418803418,39,0.32461538461538464,31,0.37548387096774194,27,0.307037037037037,24,0.375,27,0.2611111111111111,25,0.18080000000000004,-0.08031111111111108,0.9259259259259259,93,0.3010752688172043,80,0.3145,KEEP_ORIGINAL_BAND,0.35,0.4499,+122 to +186
NFL-H017,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.36376907763769073,0.4418931035827063,+126 to +175,0.15145768061090645,0.5857771260997068,132,0.17022727272727273,78,0.3047435897435898,93,0.23086021505376347,54,0.3992592592592593,102,0.1823529411764706,59,0.09644067796610171,-0.08591226321036889,0.5784313725490197,327,0.1912538226299694,191,0.2671204188481675,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H086,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.3597122302158273,0.4694835680751174,+113 to +178,0.06365005543589913,0.8021264843965755,71,0.38183098591549297,61,0.44885245901639337,51,0.25235294117647056,38,0.3126315789473684,52,0.11826923076923078,41,0.031463414634146356,-0.08680581613508442,0.7884615384615384,174,0.26511494252873563,140,0.28964285714285715,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H039,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35,0.4366812227074236,+129 to +186,0.08752904797601205,0.8125,32,0.28875,23,0.4017391304347827,32,0.35,29,0.41206896551724137,36,0.2222222222222222,29,0.12931034482758624,-0.09291187739463597,0.8055555555555556,100,0.2844,81,0.3079012345679012,KEEP_ORIGINAL_BAND,0.35,0.4499,+122 to +186
