method_id,track,p_lo,p_hi,odds_range,train_n,train_roi,validation_n,validation_roi,preholdout_gain,preholdout_retain,score
NFL-H002,LONG,0.35,0.44326801517067005,+126 to +186,40,0.39625,26,0.37230769230769234,0.08749072199730094,0.6842105263157894,0.10459598515519568
NFL-H002,LONG,0.35,0.46126401630988784,+117 to +186,48,0.3004166666666666,28,0.3521428571428572,0.029491637748216684,0.7800269905533064,0.048992312512049344
NFL-H002,LONG,0.35,0.46686319467190734,+114 to +186,51,0.26607843137254905,32,0.385625,0.029063591529729302,0.8576248313090418,0.050504212312455346
NFL-H003,LONG,0.35,0.41597510373443985,+140 to +186,55,0.6530909090909088,30,0.31200000000000006,0.08907561091179843,0.6422189128816084,0.10513108373383864
NFL-H003,LONG,0.35,0.42017548505552316,+138 to +186,59,0.6627118644067795,34,0.2985294117647058,0.08715079445208666,0.7067510548523206,0.10481957082339469
NFL-H003,LONG,0.35,0.42445005409304004,+136 to +186,63,0.6323809523809524,36,0.29194444444444445,0.0686928547790424,0.7516753536857781,0.08748473862118686
NFL-H003,LONG,0.35,0.43346508563899866,+131 to +186,67,0.6392537313432836,40,0.27975,0.06603202203798576,0.8162074956564904,0.08643720942939803
NFL-H003,LONG,0.35945437198628194,0.42017548505552316,+138 to +178,51,0.7041176470588235,30,0.4716666666666667,0.1944223132290891,0.6169024571854058,0.20984487465872423
NFL-H003,LONG,0.35945437198628194,0.42445005409304004,+136 to +178,55,0.6663636363636364,32,0.4534375,0.16643072454816216,0.6618267560188633,0.18297639344863373
NFL-H003,LONG,0.35945437198628194,0.43346508563899866,+131 to +178,59,0.6718644067796607,36,0.42194444444444446,0.1534345819783966,0.7263588979895756,0.17159355442813598
NFL-H003,LONG,0.35945437198628194,0.4405286343612334,+127 to +178,68,0.5841176470588235,40,0.27975,0.03846397989575574,0.8225366095805411,0.05902739513526927
NFL-H003,LONG,0.35945437198628194,0.4499,+122 to +178,71,0.5799999999999998,47,0.3295744680851064,0.061317390408897096,0.9101514023330851,0.08407117546722423
NFL-H003,LONG,0.36456536164565356,0.43346508563899866,+131 to +174,55,0.7432727272727273,30,0.42966666666666675,0.19299985333604103,0.6422189128816084,0.20905532615808123
NFL-H003,LONG,0.36456536164565356,0.4405286343612334,+127 to +174,64,0.64,34,0.2614705882352941,0.05726545048399105,0.7383966244725738,0.0757253660958054
NFL-H003,LONG,0.36456536164565356,0.4499,+122 to +174,67,0.6331343283582088,41,0.32170731707317074,0.08395097908203376,0.8260114172251178,0.10460126451266172
NFL-H003,LONG,0.3690036900369003,0.43346508563899866,+131 to +171,53,0.7058490566037735,29,0.38448275862068965,0.15169606397857555,0.6197567634648796,0.16718998306519753
NFL-H003,LONG,0.3690036900369003,0.4405286343612334,+127 to +171,62,0.6046774193548388,33,0.21666666666666662,0.017202199377096675,0.7159344750558452,0.035100561253492805
NFL-H003,LONG,0.3690036900369003,0.4499,+122 to +171,65,0.5992307692307691,40,0.28625,0.04927054098172855,0.8035492678083892,0.06935927267693828
NFL-H003,LONG,0.37650730600085114,0.4499,+122 to +166,55,0.5965454545454545,32,0.27156250000000004,0.04058413363907125,0.6618267560188633,0.057129802539542834
NFL-H005,LONG,0.35,0.4264566814577726,+134 to +186,44,0.5577272727272726,36,0.3530555555555555,0.029409939959309322,0.7914860070949941,0.04919709013668418
NFL-H005,LONG,0.36576756576756575,0.4264566814577726,+134 to +173,38,0.5842105263157894,26,0.34153846153846157,0.03689301974502074,0.6243594797004335,0.052502006737531574
NFL-H008,LONG,0.35,0.4228348709146821,+136 to +186,53,0.3464150943396227,42,0.4911904761904762,0.09600174858243381,0.6668660287081339,0.11267339930013716
NFL-H008,LONG,0.35,0.42463421700709836,+135 to +186,57,0.29333333333333333,48,0.403125,0.025428129984051043,0.7386363636363636,0.04389403907496013
NFL-H008,LONG,0.35,0.4405286343612334,+127 to +186,69,0.23347826086956527,63,0.4030158730158731,-0.004553969739896441,0.93122009569378,0.018726532652448058
NFL-H008,LONG,0.3780758714969241,0.4347826086956521,+130 to +164,43,0.2613953488372093,45,0.40866666666666673,0.012229971069322373,0.6238038277511961,0.02782506676310228
NFL-H010,LONG,0.35,0.4526943644590703,+121 to +186,45,0.4766666666666666,37,0.3697297297297297,0.1068404395775085,0.6705280172413793,0.12360364000854299
NFL-H010,LONG,0.35,0.45662100456621,+119 to +186,49,0.40081632653061233,38,0.33368421052631575,0.050892509907774386,0.7103987068965517,0.06865247758018818
NFL-H010,LONG,0.35,0.46774901272487934,+114 to +186,51,0.43078431372549025,43,0.3293023255813953,0.06368556103275314,0.7691271551724138,0.08291373991206348
NFL-H010,LONG,0.373134328358209,0.46774901272487934,+114 to +168,45,0.43911111111111106,32,0.35562499999999997,0.08101029693486586,0.6274245689655172,0.09669591115900379
NFL-H010,LONG,0.373134328358209,0.4999,+100 to +168,58,0.36327586206896556,47,0.2727659574468084,0.0016631511371973384,0.8582974137931034,0.023120586482024925
NFL-H010,LONG,0.38595706618962433,0.4999,+100 to +159,54,0.3661111111111111,41,0.2646341463414634,-0.0009851298944023867,0.775323275862069,0.01839795200214934
NFL-H015,LONG,0.35,0.423728813559322,+136 to +186,40,0.5429999999999999,28,0.3946428571428572,0.10112445887445884,0.7878787878787878,0.12082142857142854
NFL-H015,LONG,0.35,0.4264411711220222,+134 to +186,41,0.5626829268292683,30,0.38,0.10364449371766446,0.8272727272727273,0.12432631189948265
NFL-H015,LONG,0.35,0.4351623314980064,+130 to +186,44,0.5093181818181819,31,0.335483870967742,0.05470405669599224,0.8696969696969697,0.07644648093841648
NFL-H015,LONG,0.35,0.43840496437600546,+128 to +186,46,0.44369565217391305,31,0.335483870967742,0.021892791873857814,0.8878787878787879,0.044089761570827515
NFL-H015,LONG,0.36153403442682985,0.423728813559322,+136 to +177,34,0.6505882352941176,25,0.44960000000000006,0.1823971479500891,0.6878787878787879,0.1995941176470588
NFL-H015,LONG,0.36153403442682985,0.4264411711220222,+134 to +177,35,0.6705714285714285,27,0.42925925925925934,0.1822183742183742,0.7272727272727273,0.20040019240019238
NFL-H015,LONG,0.36153403442682985,0.4351623314980064,+130 to +177,38,0.6002631578947368,28,0.3782142857142857,0.12154175210754156,0.7696969696969698,0.14078417634996582
