method_id,origin,track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,full_n,full_wins,full_win_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,full_roi_se,train_n,train_wins,train_win_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,train_roi_se,validation_n,validation_wins,validation_win_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,validation_roi_se,holdout_n,holdout_wins,holdout_win_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,holdout_roi_se,raw_id,semantic1,semantic2,semantic_signature,positive_season_ratio,robust_score,research_tier
NFL-U009,NEW_CONTEXT,MODERN,UNIVARIATE,adv_secondary_unavail_equiv,>=,0.35,,,,DOG20_34,AWAY,212,71,0.33490566037735847,0.22231132075471696,47.129999999999995,17,11,6,3,0.12071986007373323,94,32,0.3404255319148936,0.24936170212765954,23.439999999999998,7,4,3,1,0.18375863037490262,48,16,0.3333333333333333,0.23354166666666662,11.209999999999997,4,3,1,1,0.25942166474750417,38,16,0.42105263157894735,0.5605263157894737,21.3,3,3,0,0,0.30612034454445264,C00131,INJURY_AVAILABILITY,,INJURY_AVAILABILITY,0.6470588235294118,5.111444804505446,C
NFL-U014,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,529,274,0.5179584120982986,0.21831758034026466,115.49000000000001,20,17,3,2,0.051682876863272664,234,123,0.5256410256410257,0.24294871794871792,56.849999999999994,9,8,1,1,0.07814366020980806,150,78,0.52,0.22573333333333334,33.86,5,5,0,0,0.09763775201704046,145,73,0.503448275862069,0.17089655172413795,24.78,6,4,2,2,0.09777191757502118,P00310,REST_SCHEDULING,THIRD_DOWN,REST_SCHEDULING+THIRD_DOWN,0.85,4.783994505956656,A
NFL-U028,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_punt_return_average,>=,-5.0,DOG35_49,ANY,322,177,0.5496894409937888,0.28726708074534163,92.5,20,15,5,2,0.06574015596701722,140,82,0.5857142857142857,0.3729285714285715,52.21000000000001,9,6,3,1,0.09918301915696645,84,45,0.5357142857142857,0.2569047619047619,21.580000000000002,5,5,0,0,0.12976765239630172,98,50,0.5102040816326531,0.1909183673469388,18.71,6,4,2,2,0.11954610197433643,P00313,REST_SCHEDULING,SPECIAL_TEAMS,REST_SCHEDULING+SPECIAL_TEAMS,0.75,4.523604175011716,A
NFL-U036,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,367,193,0.5258855585831063,0.23926430517711172,87.81,20,17,3,1,0.06217324174289833,156,84,0.5384615384615384,0.2666025641025641,41.59,9,7,2,1,0.09524798927362675,108,57,0.5277777777777778,0.2506481481481482,27.07,5,5,0,0,0.11567852360277195,103,52,0.5048543689320388,0.18592233009708736,19.15,6,5,1,1,0.11739830176880413,P00311,REST_SCHEDULING,THIRD_DOWN,REST_SCHEDULING+THIRD_DOWN,0.85,4.4124995841998285,A
NFL-U063,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,354,187,0.5282485875706214,0.24689265536723165,87.4,20,17,3,2,0.06339536278673845,157,86,0.5477707006369427,0.2976433121019108,46.73,9,8,1,1,0.09538091371455777,103,54,0.5242718446601942,0.23631067961165053,24.340000000000003,5,5,0,0,0.11807759520849036,94,47,0.5,0.17372340425531912,16.33,6,4,2,2,0.12288252123562682,P00312,REST_SCHEDULING,THIRD_DOWN,REST_SCHEDULING+THIRD_DOWN,0.85,4.175565348903637,A
NFL-U157,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,DOG35_49,AWAY,94,52,0.5531914893617021,0.36265957446808506,34.089999999999996,16,12,4,1,0.1282813354264907,36,21,0.5833333333333334,0.41777777777777775,15.04,6,4,2,1,0.20454716191188796,30,15,0.5,0.289,8.67,5,5,0,0,0.24116973085455765,28,16,0.5714285714285714,0.37071428571428566,10.379999999999999,5,3,2,1,0.2307847943760436,P00205,TRAVEL_CIRCADIAN,PASSING,PASSING+TRAVEL_CIRCADIAN,0.75,3.61719910585801,B
NFL-U221,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,DOG35_49,AWAY,80,44,0.55,0.348375,27.87,13,8,5,2,0.13856137466498603,32,18,0.5625,0.358125,11.46,6,3,3,2,0.21712817564115916,22,11,0.5,0.35,7.699999999999999,3,2,1,1,0.2949693652007381,26,15,0.5769230769230769,0.33499999999999996,8.709999999999999,4,3,1,1,0.2299392896463693,P00209,TRAVEL_CIRCADIAN,PASSING,PASSING+TRAVEL_CIRCADIAN,0.6153846153846154,3.2817063544382776,C
NFL-U224,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,110,64,0.5818181818181818,0.4008181818181818,44.089999999999996,16,12,4,1,0.11507897942960088,47,31,0.6595744680851063,0.5965957446808511,28.04,6,3,3,1,0.1712991866325026,32,17,0.53125,0.3046875,9.75,5,5,0,0,0.22307780375290084,31,16,0.5161290322580645,0.20322580645161292,6.300000000000001,5,4,1,1,0.2142054019261887,P00192,TRAVEL_CIRCADIAN,THIRD_DOWN,THIRD_DOWN+TRAVEL_CIRCADIAN,0.75,3.274349299611359,B
NFL-U233,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_third_down_success,>=,0.0,DOG35_49,AWAY,127,71,0.5590551181102362,0.35354330708661413,44.89999999999999,19,15,4,1,0.10831500393287428,50,31,0.62,0.5046,25.23,8,6,2,1,0.17047381988242688,36,21,0.5833333333333334,0.4230555555555556,15.23,5,5,0,0,0.2059518434405929,41,19,0.4634146341463415,0.10829268292682928,4.44,6,4,2,1,0.19017350949087558,P00202,TRAVEL_CIRCADIAN,THIRD_DOWN,THIRD_DOWN+TRAVEL_CIRCADIAN,0.7894736842105263,3.2353433739189077,B
NFL-U256,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,DOG35_49,AWAY,83,46,0.5542168674698795,0.35795180722891573,29.710000000000004,15,9,6,2,0.13583329299631325,30,17,0.5666666666666667,0.37033333333333346,11.110000000000003,5,3,2,1,0.22446282406441642,26,16,0.6153846153846154,0.5623076923076924,14.620000000000001,5,4,1,1,0.25011646991093983,27,13,0.48148148148148145,0.1474074074074074,3.9799999999999995,5,2,3,2,0.23507142188748295,P00215,TRAVEL_CIRCADIAN,PASSING,PASSING+TRAVEL_CIRCADIAN,0.6,3.136742790499933,C
