semantic_signature,candidates,best_roi,best_holdout_roi,max_n
EFFICIENCY+PASS_PROTECTION_RUSH,35,0.3794078947368421,0.4703125,408
SPECIAL_TEAMS+THIRD_DOWN,31,0.3602238805970149,0.534074074074074,676
EFFICIENCY+SPECIAL_TEAMS,30,0.4826890756302521,0.4877777777777777,413
PASS_PROTECTION_RUSH+SPECIAL_TEAMS,24,0.3338613861386139,0.4447058823529412,570
EFFICIENCY+THIRD_DOWN,23,0.4136904761904761,0.4376470588235294,410
PASS_PROTECTION_RUSH+THIRD_DOWN,22,0.3421229050279329,0.4747058823529412,595
SPECIAL_TEAMS,17,0.3805882352941176,0.48675,506
EXPLOSIVENESS+SPECIAL_TEAMS,14,0.3794999999999999,0.4972727272727272,415
EFFICIENCY,14,0.3152475247524752,0.3549999999999999,338
EFFICIENCY+TURNOVERS,14,0.2665217391304347,0.4694594594594595,399
EFFICIENCY+EXPLOSIVENESS,13,0.3807964601769912,0.3552380952380952,256
EXPLOSIVENESS+PASS_PROTECTION_RUSH,11,0.3902727272727272,0.443,383
EFFICIENCY+RUSHING,11,0.38,0.3737931034482759,190
PASS_PROTECTION_RUSH+RED_ZONE,11,0.3407142857142857,0.3405882352941176,443
PASS_PROTECTION_RUSH+RUSHING,11,0.3250943396226415,0.3878125,385
EFFICIENCY+OTHER,10,0.4155813953488371,0.3380769230769231,197
RUSHING+SPECIAL_TEAMS,10,0.3844318181818181,0.4551428571428572,432
RED_ZONE+THIRD_DOWN,10,0.3833333333333332,0.3071428571428571,438
SPECIAL_TEAMS+TURNOVERS,9,0.2971774193548386,0.2734146341463415,557
RED_ZONE+SPECIAL_TEAMS,9,0.2936538461538461,0.3253333333333333,415
QB_CONTEXT+THIRD_DOWN,8,0.5667088607594937,0.3343749999999999,201
PASSING+THIRD_DOWN,8,0.3892660550458716,0.4141666666666667,238
EFFICIENCY+PASSING,8,0.3174226804123711,0.2497368421052631,249
EFFICIENCY+QB_CONTEXT,7,0.54,0.4,146
EFFICIENCY+RED_ZONE,7,0.4002752293577982,0.5531707317073171,175
PASSING+PASS_PROTECTION_RUSH,7,0.361551724137931,0.2954761904761904,263
EXPLOSIVENESS+THIRD_DOWN,6,0.292012987012987,0.3904545454545455,277
PASSING+SPECIAL_TEAMS,6,0.2880451127819548,0.3041379310344828,527
OTHER+THIRD_DOWN,5,0.4936458333333333,0.4633333333333334,132
QB_CONTEXT+SPECIAL_TEAMS,5,0.4851515151515151,0.4758064516129032,149
PASSING+QB_CONTEXT,5,0.4571,0.408,131
RED_ZONE+TURNOVERS,5,0.2883064516129032,0.2577142857142857,383
PASS_PROTECTION_RUSH+TURNOVERS,5,0.1831578947368421,0.2110344827586207,493
THIRD_DOWN+TRAVEL_CIRCADIAN,4,0.4008181818181818,0.2032258064516129,127
PASSING+TRAVEL_CIRCADIAN,4,0.362659574468085,0.417,94
OTHER+PASSING,4,0.3581666666666667,0.2505882352941176,125
PASSING+RUSHING,3,0.3450574712643678,0.316470588235294,177
RED_ZONE+RUSHING,3,0.3382945736434108,0.291,247
EXPLOSIVENESS,3,0.3042635658914728,0.3613333333333333,263
REST_SCHEDULING+THIRD_DOWN,3,0.2468926553672316,0.1859223300970873,529
OTHER+SPECIAL_TEAMS,3,0.2216589861751152,0.111551724137931,217
ROSTER_CONTINUITY,3,0.1928242887558929,0.1707464316146933,101
RED_ZONE,3,0.1658818440401998,0.2391844003893511,171
RUSHING+THIRD_DOWN,2,0.3542241379310344,0.5162068965517241,233
EXPLOSIVENESS+PASSING,2,0.3270802919708029,0.2834482758620689,175
RUSHING,2,0.3166878980891719,0.285531914893617,196
OTHER+PASS_PROTECTION_RUSH,2,0.2266666666666666,0.2595555555555556,206
PASS_PROTECTION_RUSH,2,0.222051282051282,0.3034482758620689,184
TRAVEL_CIRCADIAN,2,0.2031851851851851,0.2475925925925925,135
TURNOVERS,2,0.1555970149253731,0.2457692307692307,179
SPECIAL_TEAMS+TRAVEL_CIRCADIAN,1,0.3664634146341463,0.1724137931034482,82
RUSHING+TURNOVERS,1,0.3543589743589743,0.295,117
PASS_PROTECTION_RUSH+QB_CONTEXT,1,0.3280310880829015,0.2889583333333333,193
PASS_PROTECTION_RUSH+TRAVEL_CIRCADIAN,1,0.3066363636363636,0.2916666666666667,110
PASSING+RED_ZONE,1,0.2948017621145374,0.2205797101449275,227
REST_SCHEDULING+SPECIAL_TEAMS,1,0.2872670807453416,0.1909183673469388,322
EXPLOSIVENESS+RED_ZONE,1,0.2379888268156424,0.1536363636363636,179
EXPLOSIVENESS+RUSHING,1,0.2339215686274509,0.2011111111111111,102
PASSING+TURNOVERS,1,0.229520295202952,0.1543478260869565,271
INJURY_AVAILABILITY,1,0.2223113207547169,0.5605263157894737,212
PASSING,1,0.2078395061728395,0.1059374999999999,162
EXPLOSIVENESS+TURNOVERS,1,0.1910824742268041,0.1446969696969696,194
THIRD_DOWN+TURNOVERS,1,0.1758015267175572,0.1460330578512396,393
THIRD_DOWN,1,0.1527620967741935,0.139047619047619,496
