method_id,origin,track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,full_n,full_wins,full_win_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,full_roi_se,train_n,train_wins,train_win_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,train_roi_se,validation_n,validation_wins,validation_win_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,validation_roi_se,holdout_n,holdout_wins,holdout_win_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,holdout_roi_se,raw_id,semantic1,semantic2,semantic_signature,positive_season_ratio,robust_score,research_tier
NFL-U001,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-5.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,365,195,0.5342465753424658,0.26416438356164385,96.42,20,18,2,1,0.06254023965113062,157,82,0.5222929936305732,0.2464331210191083,38.690000000000005,9,8,1,1,0.09635628588381075,100,51,0.51,0.1882,18.82,5,5,0,0,0.11844807753065083,108,62,0.5740740740740741,0.3602777777777778,38.910000000000004,6,5,1,1,0.1145881799849772,E0001,SPECIAL_TEAMS,THIRD_DOWN,SPECIAL_TEAMS+THIRD_DOWN,0.9,5.739366034696031,A
NFL-U002,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,rank_edge_punt_return_average,>=,-5.0,DOG35_49,AWAY,132,83,0.6287878787878788,0.4851515151515151,64.03999999999999,19,16,3,1,0.10095893935265288,66,40,0.6060606060606061,0.4477272727272728,29.550000000000004,8,6,2,1,0.14649244719140977,35,24,0.6857142857142857,0.5640000000000001,19.740000000000002,5,5,0,0,0.18369146583836915,31,19,0.6129032258064516,0.47580645161290325,14.75,6,5,1,1,0.2168254707657892,P00053,QB_CONTEXT,SPECIAL_TEAMS,QB_CONTEXT+SPECIAL_TEAMS,0.8421052631578947,5.72735144298907,A
NFL-U003,EXISTING_1859,LONG,PAIR,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,rank_edge_def_allowed_explosive_rate,<=,-6.0,DOG35_49,AWAY,208,116,0.5576923076923077,0.33615384615384625,69.92000000000002,20,15,5,2,0.08354476009181452,101,53,0.5247524752475248,0.26663366336633665,26.930000000000003,9,6,3,2,0.12156783358654216,48,28,0.5833333333333334,0.4025,19.32,5,5,0,0,0.17481968927688107,59,35,0.5932203389830508,0.401186440677966,23.669999999999995,6,4,2,2,0.15419065004157448,E0003,PASS_PROTECTION_RUSH,EXPLOSIVENESS,EXPLOSIVENESS+PASS_PROTECTION_RUSH,0.75,5.564071481345806,A
NFL-U004,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,1.0,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,DOG35_49,AWAY,267,142,0.5318352059925093,0.2738576779026217,73.12,20,15,5,2,0.07404440140863722,125,63,0.504,0.20144000000000004,25.180000000000003,9,7,2,1,0.10794315732320979,74,40,0.5405405405405406,0.28554054054054057,21.130000000000003,5,4,1,1,0.14048247401390748,68,39,0.5735294117647058,0.39426470588235285,26.809999999999995,6,4,2,2,0.14853680798525107,E0002,SPECIAL_TEAMS,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+SPECIAL_TEAMS,0.75,5.410835164673475,A
NFL-U005,EXISTING_1859,LONG,PAIR,recent_edge_def_allowed_early_down_epa,<=,-0.0003708468787594,recent_edge_punt_return_average,>=,4.326388888888889,DOG35_49,AWAY,119,74,0.6218487394957983,0.48268907563025215,57.440000000000005,18,14,4,2,0.10810672070004863,57,35,0.6140350877192983,0.4703508771929825,26.810000000000002,8,7,1,1,0.15776655546113927,21,17,0.8095238095238095,0.9514285714285714,19.98,4,3,1,1,0.21962011109476956,41,22,0.5365853658536586,0.2597560975609756,10.65,6,4,2,2,0.18763888768410084,E0058,EFFICIENCY,SPECIAL_TEAMS,EFFICIENCY+SPECIAL_TEAMS,0.7777777777777778,5.385014116931333,B
NFL-U006,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,rank_edge_third_down_success,>=,0.0,DOG35_49,AWAY,201,118,0.5870646766169154,0.4020398009950249,80.81,19,16,3,2,0.08399796605000097,99,59,0.5959595959595959,0.44262626262626253,43.81999999999999,8,7,1,1,0.12106486451267347,54,32,0.5925925925925926,0.3877777777777779,20.940000000000005,5,5,0,0,0.16004185045494101,48,27,0.5625,0.3343749999999999,16.049999999999997,6,4,2,2,0.1732802802358567,P00063,QB_CONTEXT,THIRD_DOWN,QB_CONTEXT+THIRD_DOWN,0.8421052631578947,5.269859375574386,A
NFL-U007,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,1.0,recent_edge_kick_return_average,<=,-3.912500000000001,DOG35_49,AWAY,136,78,0.5735294117647058,0.38058823529411767,51.760000000000005,20,17,3,1,0.10356577087328728,58,31,0.5344827586206896,0.2901724137931035,16.830000000000002,9,8,1,1,0.16110205221169135,38,22,0.5789473684210527,0.4068421052631579,15.46,5,4,1,1,0.1995297121028069,40,25,0.625,0.48675000000000007,19.470000000000002,6,5,1,1,0.18639026726406405,E0006,SPECIAL_TEAMS,SPECIAL_TEAMS,SPECIAL_TEAMS,0.85,5.2611121793742335,A
NFL-U008,EXISTING_1859,LONG,PAIR,recent_edge_punt_return_average,>=,2.472222222222221,rank_edge_def_allowed_explosive_rate,<=,-6.0,DOG35_49,AWAY,137,77,0.5620437956204379,0.3467883211678833,47.510000000000005,19,16,3,1,0.10304550587319682,61,31,0.5081967213114754,0.22311475409836068,13.610000000000001,9,7,2,1,0.1566332148306202,32,18,0.5625,0.375625,12.02,4,3,1,1,0.22026465821202015,44,28,0.6363636363636364,0.49727272727272726,21.88,6,6,0,0,0.17503076251406233,E0005,SPECIAL_TEAMS,EXPLOSIVENESS,EXPLOSIVENESS+SPECIAL_TEAMS,0.8421052631578947,5.115335914005037,A
NFL-U009,NEW_CONTEXT,MODERN,UNIVARIATE,adv_secondary_unavail_equiv,>=,0.35,,,,DOG20_34,AWAY,212,71,0.33490566037735847,0.22231132075471696,47.129999999999995,17,11,6,3,0.12071986007373323,94,32,0.3404255319148936,0.24936170212765954,23.439999999999998,7,4,3,1,0.18375863037490262,48,16,0.3333333333333333,0.23354166666666662,11.209999999999997,4,3,1,1,0.25942166474750417,38,16,0.42105263157894735,0.5605263157894737,21.3,3,3,0,0,0.30612034454445264,C00131,INJURY_AVAILABILITY,,INJURY_AVAILABILITY,0.6470588235294118,5.111444804505446,C
NFL-U010,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,DOG35_49,AWAY,100,61,0.61,0.4571,45.71,18,16,2,1,0.11842171645983235,54,30,0.5555555555555556,0.3416666666666667,18.45,8,7,1,1,0.16629744217285936,21,16,0.7619047619047619,0.8123809523809523,17.06,4,4,0,0,0.23170270849672123,25,15,0.6,0.408,10.2,6,5,1,1,0.23702250244790402,P00013,QB_CONTEXT,PASSING,PASSING+QB_CONTEXT,0.8888888888888888,5.087499931415109,B
