method_id,season,n,wins,win_rate,roi,units,active_seasons,positive_seasons,negative_seasons,max_negative_streak,roi_se
NFL-U001,2006,21,11,0.5238095238095238,0.2566666666666667,5.390000000000001,1,1,0,0,0.2713698349146185
NFL-U001,2007,10,5,0.5,0.22700000000000004,2.2700000000000005,1,1,0,0,0.4103279176463624
NFL-U001,2008,15,7,0.4666666666666667,0.15133333333333338,2.2700000000000005,1,1,0,0,0.33099973624887585
NFL-U001,2009,16,7,0.4375,0.13000000000000003,2.0800000000000005,1,1,0,0,0.33203915431767983
NFL-U001,2010,20,12,0.6,0.47050000000000003,9.41,1,1,0,0,0.2779762153778439
NFL-U001,2011,21,10,0.47619047619047616,0.07714285714285711,1.6199999999999992,1,1,0,0,0.2539320708351733
NFL-U001,2012,16,14,0.875,1.0818750000000001,17.310000000000002,1,1,0,0,0.21276007369413402
NFL-U001,2013,18,5,0.2777777777777778,-0.3561111111111111,-6.41,1,0,1,1,0.25276010855433256
NFL-U001,2014,20,11,0.55,0.2375,4.75,1,1,0,0,0.2581257088686583
NFL-U001,2015,16,8,0.5,0.19375000000000003,3.1000000000000005,1,1,0,0,0.3118398026230776
NFL-U001,2016,30,13,0.43333333333333335,0.04300000000000003,1.290000000000001,1,1,0,0,0.22405979805277043
NFL-U001,2017,19,9,0.47368421052631576,0.05631578947368423,1.0700000000000003,1,1,0,0,0.26374297532433577
NFL-U001,2018,15,8,0.5333333333333333,0.22399999999999995,3.3599999999999994,1,1,0,0,0.3089872859150403
NFL-U001,2019,20,13,0.65,0.5,10.0,1,1,0,0,0.25708589594673764
NFL-U001,2020,14,13,0.9285714285714286,1.2550000000000001,17.57,1,1,0,0,0.1892371905459238
NFL-U001,2021,15,8,0.5333333333333333,0.21266666666666664,3.1899999999999995,1,1,0,0,0.30508775734620963
NFL-U001,2022,22,13,0.5909090909090909,0.42863636363636365,9.43,1,1,0,0,0.26234151715911147
NFL-U001,2023,16,6,0.375,-0.10812499999999997,-1.7299999999999995,1,0,1,1,0.2983443462818314
NFL-U001,2024,22,10,0.45454545454545453,0.02136363636363633,0.4699999999999993,1,1,0,0,0.2452071263825902
NFL-U001,2025,19,12,0.631578947368421,0.5252631578947368,9.979999999999999,1,1,0,0,0.2785870452241048
NFL-U002,2006,15,10,0.6666666666666666,0.6013333333333333,9.02,1,1,0,0,0.3086990623748493
NFL-U002,2007,7,4,0.5714285714285714,0.3785714285714286,2.6500000000000004,1,1,0,0,0.48894652824515805
NFL-U002,2008,10,6,0.6,0.44700000000000006,4.470000000000001,1,1,0,0,0.39599677327529376
NFL-U002,2009,6,3,0.5,0.32,1.92,1,1,0,0,0.5932677866416368
NFL-U002,2010,8,6,0.75,0.81625,6.53,1,1,0,0,0.4024609009403451
NFL-U002,2011,7,2,0.2857142857142857,-0.35714285714285715,-2.5,1,0,1,1,0.4149854517571285
NFL-U002,2012,8,8,1.0,1.27375,10.19,1,1,0,0,0.08558490980140297
NFL-U002,2013,5,1,0.2,-0.546,-2.73,1,0,1,1,0.4539999999999999
NFL-U002,2015,5,5,1.0,1.43,7.1499999999999995,1,1,0,0,0.08619744775803978
NFL-U002,2016,16,8,0.5,0.14249999999999996,2.2799999999999994,1,1,0,0,0.29767641827998403
NFL-U002,2017,5,3,0.6,0.27,1.35,1,1,0,0,0.5197691795403032
NFL-U002,2018,3,3,1.0,1.2933333333333332,3.88,1,1,0,0,0.06887992773257276
NFL-U002,2019,6,5,0.8333333333333334,0.8466666666666667,5.08,1,1,0,0,0.3744744465395618
NFL-U002,2020,3,3,1.0,1.55,4.65,1,1,0,0,0.22501851775650228
NFL-U002,2021,3,3,1.0,1.3466666666666667,4.04,1,1,0,0,0.144029318003122
NFL-U002,2022,6,3,0.5,0.17166666666666666,1.03,1,1,0,0,0.5245341848832268
NFL-U002,2023,7,3,0.42857142857142855,0.0057142857142857195,0.040000000000000036,1,1,0,0,0.47652940319443404
NFL-U002,2024,4,0,0.0,-1.0,-4.0,1,0,1,1,0.0
NFL-U002,2025,8,7,0.875,1.12375,8.99,1,1,0,0,0.31603535912028213
NFL-U003,2006,18,13,0.7222222222222222,0.8427777777777777,15.17,1,1,0,0,0.27911836638711446
NFL-U003,2007,9,4,0.4444444444444444,0.10888888888888891,0.9800000000000002,1,1,0,0,0.43886040695205514
NFL-U003,2008,9,3,0.3333333333333333,-0.20777777777777776,-1.8699999999999999,1,0,1,1,0.39683392054337685
NFL-U003,2009,10,5,0.5,0.21600000000000003,2.16,1,1,0,0,0.4082951002508956
NFL-U003,2010,13,9,0.6923076923076923,0.72,9.36,1,1,0,0,0.3367586825256481
NFL-U003,2011,13,8,0.6153846153846154,0.36615384615384616,4.76,1,1,0,0,0.3121914650468943
NFL-U003,2012,7,5,0.7142857142857143,0.6157142857142858,4.3100000000000005,1,1,0,0,0.42501460559136833
NFL-U003,2013,12,2,0.16666666666666666,-0.6058333333333333,-7.27,1,0,1,1,0.26682890424654926
NFL-U003,2014,10,4,0.4,-0.06700000000000003,-0.6700000000000004,1,0,1,1,0.38275042637322937
NFL-U003,2015,8,4,0.5,0.125,1.0,1,1,0,0,0.42679453069196116
NFL-U003,2016,15,9,0.6,0.49666666666666665,7.449999999999999,1,1,0,0,0.33142357686439167
NFL-U003,2017,7,3,0.42857142857142855,0.027142857142857135,0.18999999999999995,1,1,0,0,0.4852329547837443
NFL-U003,2018,11,7,0.6363636363636364,0.500909090909091,5.510000000000001,1,1,0,0,0.3630062722860423
NFL-U003,2019,7,5,0.7142857142857143,0.7385714285714285,5.17,1,1,0,0,0.45418387597676646
NFL-U003,2020,7,5,0.7142857142857143,0.8042857142857143,5.63,1,1,0,0,0.47610951692740144
NFL-U003,2021,6,3,0.5,0.19000000000000003,1.1400000000000001,1,1,0,0,0.5329165037789692
NFL-U003,2022,18,15,0.8333333333333334,0.9644444444444444,17.36,1,1,0,0,0.21895357525991552
NFL-U003,2023,11,4,0.36363636363636365,-0.16454545454545452,-1.8099999999999998,1,0,1,1,0.3525526746881267
NFL-U003,2024,9,4,0.4444444444444444,-4.9343245538895844e-17,-4.440892098500626e-16,1,0,1,1,0.3962602960456955
NFL-U003,2025,8,4,0.5,0.16874999999999998,1.3499999999999999,1,1,0,0,0.44625200079583477
NFL-U004,2006,22,13,0.5909090909090909,0.4086363636363636,8.989999999999998,1,1,0,0,0.2593776229342539
NFL-U004,2007,11,7,0.6363636363636364,0.5581818181818181,6.14,1,1,0,0,0.3743863298344935
NFL-U004,2008,14,4,0.2857142857142857,-0.30785714285714283,-4.31,1,0,1,1,0.3041258027932631
NFL-U004,2009,13,9,0.6923076923076923,0.7207692307692308,9.370000000000001,1,1,0,0,0.33475873734496736
NFL-U004,2010,14,7,0.5,0.23857142857142857,3.34,1,1,0,0,0.3465193604835853
NFL-U004,2011,11,6,0.5454545454545454,0.26818181818181813,2.9499999999999993,1,1,0,0,0.368941528212357
NFL-U004,2012,12,6,0.5,0.15,1.7999999999999998,1,1,0,0,0.34999567096889883
NFL-U004,2013,10,2,0.2,-0.558,-5.58,1,0,1,1,0.2947269923166183
NFL-U004,2014,18,9,0.5,0.1377777777777778,2.4800000000000004,1,1,0,0,0.27741636619419063
NFL-U004,2015,13,3,0.23076923076923078,-0.49461538461538457,-6.43,1,0,1,1,0.26680112487897495
NFL-U004,2016,18,10,0.5555555555555556,0.3977777777777779,7.160000000000002,1,1,0,0,0.3059695353662821
NFL-U004,2017,14,7,0.5,0.11428571428571425,1.5999999999999996,1,1,0,0,0.31062983568785896
NFL-U004,2018,16,11,0.6875,0.665,10.64,1,1,0,0,0.29537687790346756
NFL-U004,2019,13,9,0.6923076923076923,0.6276923076923077,8.16,1,1,0,0,0.3200824289791973
NFL-U004,2020,10,8,0.8,1.0310000000000001,10.310000000000002,1,1,0,0,0.34584020073502797
NFL-U004,2021,8,4,0.5,0.14875,1.19,1,1,0,0,0.4348088147187713
NFL-U004,2022,13,9,0.6923076923076923,0.7461538461538461,9.7,1,1,0,0,0.34081640004617436
NFL-U004,2023,10,3,0.3,-0.296,-2.96,1,0,1,1,0.35996049165923133
NFL-U004,2024,14,5,0.35714285714285715,-0.20714285714285716,-2.9000000000000004,1,0,1,1,0.29571003872301976
NFL-U004,2025,13,10,0.7692307692307693,0.8823076923076923,11.47,1,1,0,0,0.3038263544344289
NFL-U005,2006,6,4,0.6666666666666666,0.4716666666666667,2.83,1,1,0,0,0.47686767323627405
NFL-U005,2007,6,5,0.8333333333333334,1.0433333333333332,6.26,1,1,0,0,0.4161223110790598
NFL-U005,2008,2,1,0.5,0.16000000000000003,0.32000000000000006,0,0,0,0,1.1600000000000001
NFL-U005,2009,5,3,0.6,0.492,2.46,1,1,0,0,0.6127593328542618
NFL-U005,2010,8,5,0.625,0.6575,5.26,1,1,0,0,0.4871152327735193
NFL-U005,2011,8,5,0.625,0.48875,3.91,1,1,0,0,0.44209096308662216
NFL-U005,2012,6,5,0.8333333333333334,0.8833333333333333,5.3,1,1,0,0,0.3823930496811422
NFL-U005,2013,10,4,0.4,-0.01599999999999997,-0.1599999999999997,1,0,1,1,0.40223873508154334
NFL-U005,2014,6,3,0.5,0.10499999999999998,0.6299999999999999,1,1,0,0,0.49712339179188375
NFL-U005,2015,3,3,1.0,1.1266666666666667,3.38,1,1,0,0,0.03527668414752783
NFL-U005,2016,9,8,0.8888888888888888,1.278888888888889,11.51,1,1,0,0,0.2961298722428521
NFL-U005,2017,3,1,0.3333333333333333,-0.18666666666666668,-0.56,1,0,1,1,0.8133333333333335
NFL-U005,2018,2,1,0.5,0.37,0.74,0,0,0,0,1.37
NFL-U005,2019,4,4,1.0,1.2275,4.91,1,1,0,0,0.15536918398876054
NFL-U005,2020,10,6,0.6,0.42099999999999993,4.209999999999999,1,1,0,0,0.39268152207326706
NFL-U005,2021,6,3,0.5,0.05666666666666668,0.3400000000000001,1,1,0,0,0.4735867866024605
NFL-U005,2022,4,4,1.0,1.4525,5.81,1,1,0,0,0.16224338712769365
NFL-U005,2023,8,3,0.375,-0.19999999999999998,-1.5999999999999999,1,0,1,1,0.3913118960624632
NFL-U005,2024,5,2,0.4,-0.06000000000000001,-0.30000000000000004,1,0,1,1,0.577581163127746
NFL-U005,2025,8,4,0.5,0.27375,2.19,1,1,0,0,0.48496294961574127
NFL-U006,2006,23,17,0.7391304347826086,0.7808695652173914,17.96,1,1,0,0,0.229383874056709
NFL-U006,2007,13,6,0.46153846153846156,0.12461538461538463,1.62,1,1,0,0,0.351709406901995
NFL-U006,2008,14,7,0.5,0.21357142857142858,2.99,1,1,0,0,0.3379131287395746
NFL-U006,2009,8,5,0.625,0.5625,4.5,1,1,0,0,0.4624768333966269
NFL-U006,2010,13,9,0.6923076923076923,0.7230769230769231,9.4,1,1,0,0,0.335061005955679
NFL-U006,2011,8,5,0.625,0.42874999999999996,3.4299999999999997,1,1,0,0,0.4189205409655357
NFL-U006,2012,9,7,0.7777777777777778,0.8244444444444444,7.42,1,1,0,0,0.35161970899408695
NFL-U006,2013,10,3,0.3,-0.25000000000000006,-2.5000000000000004,1,0,1,1,0.38392128822918314
NFL-U006,2014,1,0,0.0,-1.0,-1.0,0,0,0,0,
NFL-U006,2015,8,5,0.625,0.51875,4.15,1,1,0,0,0.44761845000593337
NFL-U006,2016,17,9,0.5294117647058824,0.27235294117647063,4.630000000000001,1,1,0,0,0.30332171986843376
NFL-U006,2017,6,3,0.5,0.0733333333333334,0.4400000000000004,1,1,0,0,0.48195896551931106
NFL-U006,2018,7,4,0.5714285714285714,0.3442857142857143,2.41,1,1,0,0,0.4826211031976333
NFL-U006,2019,16,11,0.6875,0.5818749999999999,9.309999999999999,1,1,0,0,0.27940296280640975
NFL-U006,2020,4,3,0.75,0.7000000000000001,2.8000000000000003,1,1,0,0,0.5711829829397932
NFL-U006,2021,7,7,1.0,1.3557142857142856,9.49,1,1,0,0,0.06369036493092194
NFL-U006,2022,10,5,0.5,0.154,1.54,1,1,0,0,0.38637115144206435
NFL-U006,2023,10,1,0.1,-0.74,-7.4,1,0,1,1,0.25999999999999995
NFL-U006,2024,6,2,0.3333333333333333,-0.21666666666666667,-1.3,1,0,1,1,0.49693505052918585
NFL-U006,2025,11,9,0.8181818181818182,0.9927272727272729,10.920000000000002,1,1,0,0,0.30794359255933074
NFL-U007,2006,5,4,0.8,1.0539999999999998,5.27,1,1,0,0,0.5183396569817903
NFL-U007,2007,3,2,0.6666666666666666,0.5266666666666667,1.58,1,1,0,0,0.7650998482405926
NFL-U007,2008,6,3,0.5,0.20833333333333334,1.25,1,1,0,0,0.5415312651279806
NFL-U007,2009,6,4,0.6666666666666666,0.7166666666666667,4.3,1,1,0,0,0.5491731157942012
NFL-U007,2010,11,5,0.45454545454545453,0.17181818181818184,1.8900000000000001,1,1,0,0,0.4083755361335895
NFL-U007,2011,8,4,0.5,0.17750000000000002,1.4200000000000002,1,1,0,0,0.4470168980506857
NFL-U007,2012,3,2,0.6666666666666666,0.7000000000000001,2.1,1,1,0,0,0.8500784277543653
NFL-U007,2013,9,3,0.3333333333333333,-0.2644444444444444,-2.38,1,0,1,1,0.36857876857189614
NFL-U007,2014,7,4,0.5714285714285714,0.2,1.4000000000000001,1,1,0,0,0.4259163790050365
NFL-U007,2015,6,2,0.3333333333333333,-0.3,-1.8,1,0,1,1,0.4428393237582529
NFL-U007,2016,14,9,0.6428571428571429,0.6528571428571429,9.14,1,1,0,0,0.3440282197909917
NFL-U007,2017,6,3,0.5,0.16666666666666666,1.0,1,1,0,0,0.5226003359270937
NFL-U007,2018,9,6,0.6666666666666666,0.6311111111111112,5.680000000000001,1,1,0,0,0.41481068119633546
NFL-U007,2019,3,2,0.6666666666666666,0.48000000000000015,1.4400000000000004,1,1,0,0,0.74272022547749
NFL-U007,2020,7,6,0.8571428571428571,1.1814285714285713,8.27,1,1,0,0,0.37391384652864934
NFL-U007,2021,6,4,0.6666666666666666,0.5316666666666666,3.1899999999999995,1,1,0,0,0.485396172671813
NFL-U007,2022,11,6,0.5454545454545454,0.30000000000000004,3.3000000000000007,1,1,0,0,0.3790250651342204
NFL-U007,2023,4,1,0.25,-0.45,-1.8,1,0,1,1,0.55
NFL-U007,2024,8,5,0.625,0.41874999999999996,3.3499999999999996,1,1,0,0,0.4189120155661738
NFL-U007,2025,4,3,0.75,0.79,3.16,1,1,0,0,0.5991382700735004
NFL-U008,2006,5,2,0.4,0.08199999999999999,0.4099999999999999,1,1,0,0,0.6625888619649443
NFL-U008,2007,5,3,0.6,0.522,2.6100000000000003,1,1,0,0,0.6218713693361353
NFL-U008,2008,5,1,0.2,-0.5359999999999999,-2.6799999999999997,1,0,1,1,0.46399999999999997
NFL-U008,2009,9,4,0.4444444444444444,0.15333333333333327,1.3799999999999994,1,1,0,0,0.4579543888011362
NFL-U008,2010,7,4,0.5714285714285714,0.4057142857142857,2.84,1,1,0,0,0.5002183196834546
NFL-U008,2011,10,7,0.7,0.582,5.819999999999999,1,1,0,0,0.34792655674565703
NFL-U008,2012,6,5,0.8333333333333334,0.9266666666666667,5.5600000000000005,1,1,0,0,0.3965237837899653
NFL-U008,2013,8,2,0.25,-0.36375,-2.91,1,0,1,1,0.41653304405018604
NFL-U008,2014,6,3,0.5,0.09666666666666664,0.5799999999999998,1,1,0,0,0.49067074273669287
NFL-U008,2015,6,3,0.5,0.10000000000000009,0.6000000000000005,1,1,0,0,0.49347745642531643
NFL-U008,2016,15,10,0.6666666666666666,0.7253333333333333,10.879999999999999,1,1,0,0,0.3288795794478243
NFL-U008,2017,4,1,0.25,-0.4,-1.6,1,0,1,1,0.6
NFL-U008,2018,2,1,0.5,0.07999999999999996,0.15999999999999992,0,0,0,0,1.08
NFL-U008,2019,5,3,0.6,0.396,1.98,1,1,0,0,0.5736950409407423
NFL-U008,2020,11,6,0.5454545454545454,0.28272727272727277,3.1100000000000003,1,1,0,0,0.3760055389076818
NFL-U008,2021,5,3,0.6,0.42800000000000005,2.14,1,1,0,0,0.5942003029282297
NFL-U008,2022,9,9,1.0,1.432222222222222,12.889999999999999,1,1,0,0,0.0718365772233094
NFL-U008,2023,10,5,0.5,0.07400000000000002,0.7400000000000002,1,1,0,0,0.35869888331146066
NFL-U008,2024,4,2,0.5,0.175,0.7,1,1,0,0,0.6811448695639816
NFL-U008,2025,5,3,0.6,0.45999999999999996,2.3,1,1,0,0,0.6007994673765947
NFL-U009,2009,6,3,0.5,0.7133333333333334,4.28,1,1,0,0,0.7751372638299476
NFL-U009,2010,13,4,0.3076923076923077,-0.007692307692307699,-0.10000000000000009,1,0,1,1,0.43198728887720683
NFL-U009,2011,13,0,0.0,-1.0,-13.0,1,0,1,1,0.0
NFL-U009,2012,15,4,0.26666666666666666,-0.010666666666666677,-0.16000000000000014,1,0,1,1,0.44176536183887816
NFL-U009,2013,12,4,0.3333333333333333,0.29750000000000004,3.5700000000000003,1,1,0,0,0.5682497383646693
NFL-U009,2014,13,3,0.23076923076923078,-0.09153846153846158,-1.1900000000000006,1,0,1,1,0.49078801909217207
NFL-U009,2015,15,9,0.6,1.1520000000000001,17.28,1,1,0,0,0.4851285543912194
NFL-U009,2016,14,5,0.35714285714285715,0.21,2.94,1,1,0,0,0.4512485731005415
NFL-U009,2017,15,4,0.26666666666666666,-2.960594732333751e-17,-4.440892098500626e-16,1,0,1,1,0.4508753391222139
NFL-U009,2018,10,3,0.3,0.10000000000000005,1.0000000000000004,1,1,0,0,0.5665176274593953
NFL-U009,2019,15,5,0.3333333333333333,0.296,4.4399999999999995,1,1,0,0,0.49748299803443874
NFL-U009,2020,8,3,0.375,0.38125000000000003,3.0500000000000003,1,1,0,0,0.6772619178406112
NFL-U009,2021,14,5,0.35714285714285715,0.29999999999999993,4.199999999999999,1,1,0,0,0.4987038144084066
NFL-U009,2022,11,3,0.2727272727272727,-0.043636363636363674,-0.4800000000000004,1,0,1,1,0.5023983800047577
NFL-U009,2023,7,3,0.42857142857142855,0.4714285714285715,3.3000000000000003,1,1,0,0,0.7053247430774557
NFL-U009,2024,4,2,0.5,0.8375,3.35,1,1,0,0,1.082315226724636
NFL-U009,2025,27,11,0.4074074074074074,0.5425925925925926,14.65,1,1,0,0,0.3706341653157655
NFL-U010,2006,17,9,0.5294117647058824,0.3347058823529412,5.69,1,1,0,0,0.31711024902169604
NFL-U010,2007,12,6,0.5,0.1891666666666667,2.2700000000000005,1,1,0,0,0.3594407658313316
NFL-U010,2008,5,4,0.8,0.9280000000000002,4.640000000000001,1,1,0,0,0.48902351681693185
