method_id,registry_status,semantic_signature,price_band,venue,feature1,op1,threshold1,feature2,op2,threshold2,full_n,full_wins,full_win_rate,full_roi,train_roi,validation_roi,holdout_roi,full_active_seasons,full_positive_seasons,full_negative_seasons,positive_season_ratio,tier,validated_vetoes
NFL-H001,REVIEW_EXTREME_ROI,EFFICIENCY+OTHER,DOG20_34,AWAY,rank_edge_def_allowed_success_rate,<=,-9.0,recent_edge_penalty_yards,>=,14.666666666666664,117,49,0.4188034188034188,0.6143589743589745,0.8748888888888889,0.4754285714285714,0.4289189189189189,18,14,4,0.7777777777777778,A,
NFL-H002,FINAL_RESEARCH,EXPLOSIVENESS+SPECIAL_TEAMS,DOG35_49,AWAY,rank_edge_def_allowed_explosive_rate,<=,-6.0,recent_edge_punt_return_average,>=,2.495833333333334,143,81,0.5664335664335665,0.3551048951048952,0.2428070175438596,0.3507692307692308,0.4948936170212765,19,16,3,0.8421052631578947,A,VETO: dome_game >= 1.0 || VETO: qb_prior_starts <= 12.7
NFL-H003,FINAL_RESEARCH,PASS_PROTECTION_RUSH+THIRD_DOWN,DOG35_44,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_sack_or_hit_rate,>=,5.0,173,99,0.5722543352601156,0.4316184971098266,0.5616455696202532,0.2252941176470587,0.4374418604651162,20,18,2,0.9,A,VETO: recent_edge_def_allowed_pass_epa_per_dropback >= 0.2182382565949704
NFL-H005,FINAL_RESEARCH,EFFICIENCY+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,rank_edge_off_epa_per_play,>=,10.0,143,82,0.5734265734265734,0.4163636363636363,0.5084745762711863,0.3434883720930232,0.3602439024390244,18,15,3,0.8333333333333334,A,
NFL-H008,FINAL_RESEARCH,SPECIAL_TEAMS+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,recent_edge_kick_return_average,>=,2.1666666666666643,206,107,0.5194174757281553,0.2943689320388349,0.2380263157894737,0.4075757575757575,0.24453125,20,14,6,0.7,A,
NFL-H010,FINAL_RESEARCH,PASSING+THIRD_DOWN,DOG35_49,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_pass_epa_per_dropback,>=,10.0,162,90,0.5555555555555556,0.3194444444444444,0.36375,0.2689655172413793,0.3217499999999999,18,13,5,0.7222222222222222,A,
NFL-H015,FINAL_RESEARCH,EXPLOSIVENESS+THIRD_DOWN,DOG35_44,AWAY,rank_edge_def_allowed_explosive_rate,<=,-9.75,rank_edge_third_down_success,>=,0.0,118,64,0.5423728813559322,0.3677966101694915,0.4123636363636364,0.323030303030303,0.3353333333333333,18,13,5,0.7222222222222222,A,
NFL-H016,FINAL_RESEARCH,MARKET_MOVEMENT+PASS_PROTECTION_RUSH,DOG35_44,AWAY,rank_edge_sack_or_hit_rate,>=,5.0,base_vs_open_prob_move,<=,-0.0023582612356305,176,92,0.5227272727272727,0.307840909090909,0.3334117647058824,0.3060869565217391,0.2613333333333333,19,15,4,0.7894736842105263,A,VETO: rank_edge_giveaway_rate <= -4.0
NFL-H017,FINAL_RESEARCH,EXPLOSIVENESS+PASS_PROTECTION_RUSH,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_def_allowed_explosive_rate,<=,-6.0,327,162,0.4954128440366973,0.1912538226299694,0.1702272727272727,0.2308602150537634,0.1823529411764706,20,14,6,0.7,A,
NFL-H019,FINAL_RESEARCH,PASS_PROTECTION_RUSH+RED_ZONE,DOG35_44,AWAY,rank_edge_sack_or_hit_rate,>=,10.0,rank_edge_redzone_epa,>=,1.0,114,62,0.543859649122807,0.3684210526315789,0.4172916666666666,0.3721212121212122,0.2936363636363637,17,13,4,0.7647058823529411,A,
NFL-H022,FINAL_RESEARCH,RUSHING+SPECIAL_TEAMS,DOG35_44,ANY,rank_edge_rush_epa_per_carry,>=,14.0,rank_edge_punt_return_average,>=,-9.0,129,69,0.5348837209302325,0.3222480620155039,0.2773076923076923,0.5056756756756757,0.211,19,13,6,0.6842105263157895,A,
NFL-H027,FINAL_RESEARCH,EFFICIENCY+SPECIAL_TEAMS,DOG35_49,AWAY,recent_edge_punt_return_average,>=,4.415277777777777,recent_edge_success_rate,>=,0.0,147,82,0.5578231292517006,0.3314965986394558,0.461864406779661,0.2584444444444444,0.2290697674418605,20,16,4,0.8,A,
NFL-H028,FINAL_RESEARCH,PASSING+PASS_PROTECTION_RUSH,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_pass_epa_per_dropback,>=,10.0,175,92,0.5257142857142857,0.2466285714285714,0.2408333333333333,0.2629999999999999,0.2334883720930232,17,12,5,0.7058823529411765,A,
NFL-H029,FINAL_RESEARCH,PASS_PROTECTION_RUSH,DOG35_49,AWAY,rank_edge_def_allowed_sack_or_hit_rate,>=,14.0,,,,196,100,0.5102040816326531,0.2107142857142857,0.2083999999999999,0.2065573770491803,0.2178333333333333,20,14,6,0.7,A,VETO: rank_edge_punt_return_average <= -14.2
NFL-H031,FINAL_RESEARCH,MARKET_MOVEMENT+RED_ZONE,DOG35_44,AWAY,base_vs_open_prob_move,<=,-0.007362274976506,rank_edge_redzone_epa,>=,1.0,203,99,0.4876847290640394,0.2223645320197044,0.2530263157894737,0.2354901960784314,0.1828947368421053,19,13,6,0.6842105263157895,A,
NFL-H033,FINAL_RESEARCH,SPECIAL_TEAMS,DOG35_49,AWAY,recent_edge_punt_return_average,>=,4.415277777777777,,,,286,144,0.5034965034965035,0.1988461538461538,0.2480869565217391,0.1702409638554217,0.1614772727272727,20,15,5,0.75,A,
NFL-H035,FINAL_RESEARCH,PASSING+SPECIAL_TEAMS,DOG35_49,AWAY,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_punt_net_average,>=,2.046011904761898,145,78,0.5379310344827586,0.2969655172413792,0.3529166666666666,0.4022222222222222,0.1542307692307692,20,15,5,0.75,A,
NFL-H036,FINAL_RESEARCH,EXPLOSIVENESS+PASSING,DOG35_49,AWAY,rank_edge_def_allowed_explosive_rate,<=,-9.75,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,142,78,0.5492957746478874,0.3334507042253521,0.5073076923076923,0.2959090909090909,0.1728260869565217,20,15,5,0.75,A,
NFL-H039,FINAL_RESEARCH,OTHER+TURNOVERS,DOG35_44,ANY,rank_edge_giveaway_rate,>=,0.0,rank_edge_penalty_yards,>=,14.0,100,52,0.52,0.2844,0.28875,0.35,0.2222222222222222,15,11,4,0.7333333333333333,A,
NFL-H040,FINAL_RESEARCH,EXPLOSIVENESS,DOG35_44,HOME,rank_edge_def_allowed_explosive_rate,>=,9.0,,,,81,43,0.5308641975308642,0.3262962962962963,0.4132142857142857,0.4706666666666667,0.2052631578947368,13,11,2,0.8461538461538461,A,
NFL-H044,FINAL_RESEARCH,RED_ZONE+SPECIAL_TEAMS,DOG35_44,AWAY,rank_edge_redzone_epa,>=,1.0,recent_edge_kick_return_average,<=,-2.1666666666666643,127,64,0.5039370078740157,0.2597637795275591,0.2864444444444444,0.325952380952381,0.16025,19,13,6,0.6842105263157895,A,
NFL-H053,WATCHLIST,EFFICIENCY+QB_CONTEXT,DOG20_34,AWAY,qb_prior_starts,>=,38.0,rank_edge_def_allowed_success_rate,<=,-9.0,164,56,0.3414634146341463,0.2656707317073171,0.2909259259259259,0.2684905660377358,0.2391228070175439,17,11,6,0.6470588235294118,B,
NFL-H056,WATCHLIST,PASSING,DOG35_44,AWAY,rank_edge_pass_epa_per_dropback,>=,10.0,,,,131,68,0.5190839694656488,0.2969465648854962,0.3541509433962264,0.2357777777777777,0.2884848484848485,16,10,6,0.625,B,
NFL-H057,FINAL_RESEARCH,RED_ZONE+THIRD_DOWN,DOG35_44,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_redzone_epa,>=,1.0,224,117,0.5223214285714286,0.3105357142857143,0.4545882352941176,0.3105479452054794,0.125,20,16,4,0.8,B,
NFL-H062,FINAL_RESEARCH,EFFICIENCY+PASSING,DOG35_49,AWAY,recent_edge_success_rate,>=,0.0,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,256,136,0.53125,0.2616406249999999,0.4078723404255319,0.2413157894736842,0.119767441860465,20,15,5,0.75,B,
NFL-H065,FINAL_RESEARCH,MARKET_MOVEMENT+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,base_vs_open_prob_move,<=,-0.007362274976506,301,145,0.4817275747508305,0.2007641196013288,0.2584466019417476,0.2769230769230769,0.1017499999999999,20,16,4,0.8,B,
NFL-H066,FINAL_RESEARCH,OTHER+THIRD_DOWN,DOG20_34,AWAY,rank_edge_penalty_yards,>=,0.0,rank_edge_third_down_success,>=,6.0,124,46,0.3709677419354839,0.2820161290322581,0.3027659574468085,0.2795833333333333,0.2524137931034483,18,13,5,0.7222222222222222,B,
NFL-H069,FINAL_RESEARCH,PASS_PROTECTION_RUSH+SPECIAL_TEAMS,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_punt_return_average,>=,1.0,450,214,0.4755555555555555,0.1398222222222222,0.153756906077348,0.1427067669172932,0.1184558823529411,20,15,5,0.75,B,
NFL-H075,FINAL_RESEARCH,EFFICIENCY+RUSHING,DOG35_44,ANY,rank_edge_early_down_epa,>=,6.0,rank_edge_rush_epa_per_carry,>=,14.0,93,49,0.5268817204301075,0.3010752688172043,0.3246153846153846,0.307037037037037,0.2611111111111111,18,12,6,0.6666666666666666,B,
NFL-H079,FINAL_RESEARCH,PASSING+RED_ZONE,DOG35_44,ANY,recent_edge_redzone_epa,<=,-0.2021623351593018,recent_edge_pass_epa_per_dropback,<=,-0.1162112143325548,286,133,0.465034965034965,0.1779370629370629,0.2238053097345132,0.175625,0.1241935483870968,20,16,4,0.8,B,
NFL-H081,WATCHLIST,MARKET_MOVEMENT+TURNOVERS,DOG35_44,AWAY,base_vs_open_prob_move,<=,-0.007362274976506,recent_edge_giveaway_rate,>=,0.0073072061146031,130,65,0.5,0.2542307692307692,0.2448076923076922,0.35725,0.1586842105263158,17,11,6,0.6470588235294118,B,
NFL-H082,FINAL_RESEARCH,EFFICIENCY+PASS_PROTECTION_RUSH,DOG35_49,AWAY,recent_edge_success_rate,>=,0.0486071763110662,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,222,116,0.5225225225225225,0.2266666666666666,0.2723655913978495,0.2647826086956522,0.112,20,15,5,0.75,B,
NFL-H086,FINAL_RESEARCH,EFFICIENCY+EXPLOSIVENESS,DOG35_49,AWAY,rank_edge_def_allowed_early_down_epa,<=,-10.0,rank_edge_def_allowed_explosive_rate,<=,-6.0,174,91,0.5229885057471264,0.2651149425287356,0.3818309859154929,0.2523529411764705,0.1182692307692307,20,13,7,0.65,B,
NFL-H087,FINAL_RESEARCH,EXPLOSIVENESS+OTHER,DOG20_34,AWAY,recent_edge_def_allowed_explosive_rate,>=,-0.0134497070744366,recent_edge_penalty_yards,>=,14.666666666666664,168,58,0.3452380952380952,0.2791666666666666,0.4026229508196722,0.2723076923076922,0.1104761904761904,20,13,7,0.65,B,
NFL-H095,FINAL_RESEARCH,PASS_PROTECTION_RUSH+TURNOVERS,DOG35_44,AWAY,recent_edge_giveaway_rate,>=,0.0128509499380348,recent_edge_sack_or_hit_rate,>=,-0.0227905898528463,128,63,0.4921875,0.237421875,0.2611666666666667,0.326,0.1003030303030303,19,13,6,0.6842105263157895,B,
NFL-H096,FINAL_RESEARCH,RED_ZONE+RUSHING,DOG35_49,AWAY,rank_edge_rush_epa_per_carry,>=,14.0,rank_edge_redzone_epa,>=,6.0,91,49,0.5384615384615384,0.2676923076923077,0.4173333333333334,0.275,0.1158064516129032,15,12,3,0.8,B,
NFL-H006,FINAL_RESEARCH,EFFICIENCY+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,recent_edge_def_allowed_yards_per_play,<=,-0.3370739566793617,252,129,0.5119047619047619,0.2727380952380953,0.2568041237113401,0.2967088607594937,0.268157894736842,20,14,6,0.7,A,VETO: grass_surface <= 0.0 || VETO: recent_edge_sack_or_hit_rate <= -0.0241869882910562 || VETO: adv_skill_unavail_equiv <= -0.6387499999999999
