NFL FINAL RESEARCH METHOD REGISTRY

{
  "registry_methods": 37,
  "final_research": 33,
  "watchlist": 3,
  "review_extreme_roi": 1,
  "methods_with_validated_vetoes": 5
}

Methods are research-approved, not automatically deployed to the live email/Appwiza scanner.

NFL-H002 [FINAL_RESEARCH] EXPLOSIVENESS+SPECIAL_TEAMS | DOG35_49 AWAY | rank_edge_def_allowed_explosive_rate <= -6 AND recent_edge_punt_return_average >= 2.4958 | n=143 ROI=+35.5% holdout=+49.5% seasons=16/19 | VETO: dome_game >= 1.0 || VETO: qb_prior_starts <= 12.7
NFL-H003 [FINAL_RESEARCH] PASS_PROTECTION_RUSH+THIRD_DOWN | DOG35_44 AWAY | rank_edge_third_down_success >= 0 AND rank_edge_sack_or_hit_rate >= 5 | n=173 ROI=+43.2% holdout=+43.7% seasons=18/20 | VETO: recent_edge_def_allowed_pass_epa_per_dropback >= 0.2182382565949704
NFL-H005 [FINAL_RESEARCH] EFFICIENCY+THIRD_DOWN | DOG35_44 ANY | rank_edge_third_down_success >= 0 AND rank_edge_off_epa_per_play >= 10 | n=143 ROI=+41.6% holdout=+36.0% seasons=15/18
NFL-H006 [FINAL_RESEARCH] EFFICIENCY+THIRD_DOWN | DOG35_44 ANY | rank_edge_third_down_success >= 0 AND recent_edge_def_allowed_yards_per_play <= -0.33707 | n=252 ROI=+27.3% holdout=+26.8% seasons=14/20 | VETO: grass_surface <= 0.0 || VETO: recent_edge_sack_or_hit_rate <= -0.0241869882910562 || VETO: adv_skill_unavail_equiv <= -0.6387499999999999
NFL-H008 [FINAL_RESEARCH] SPECIAL_TEAMS+THIRD_DOWN | DOG35_44 ANY | rank_edge_third_down_success >= 0 AND recent_edge_kick_return_average >= 2.1667 | n=206 ROI=+29.4% holdout=+24.5% seasons=14/20
NFL-H010 [FINAL_RESEARCH] PASSING+THIRD_DOWN | DOG35_49 AWAY | rank_edge_third_down_success >= 0 AND rank_edge_pass_epa_per_dropback >= 10 | n=162 ROI=+31.9% holdout=+32.2% seasons=13/18
NFL-H015 [FINAL_RESEARCH] EXPLOSIVENESS+THIRD_DOWN | DOG35_44 AWAY | rank_edge_def_allowed_explosive_rate <= -9.75 AND rank_edge_third_down_success >= 0 | n=118 ROI=+36.8% holdout=+33.5% seasons=13/18
NFL-H016 [FINAL_RESEARCH] MARKET_MOVEMENT+PASS_PROTECTION_RUSH | DOG35_44 AWAY | rank_edge_sack_or_hit_rate >= 5 AND base_vs_open_prob_move <= -0.0023583 | n=176 ROI=+30.8% holdout=+26.1% seasons=15/19 | VETO: rank_edge_giveaway_rate <= -4.0
NFL-H017 [FINAL_RESEARCH] EXPLOSIVENESS+PASS_PROTECTION_RUSH | DOG35_49 AWAY | recent_edge_sack_or_hit_rate >= -0.043727 AND rank_edge_def_allowed_explosive_rate <= -6 | n=327 ROI=+19.1% holdout=+18.2% seasons=14/20
NFL-H019 [FINAL_RESEARCH] PASS_PROTECTION_RUSH+RED_ZONE | DOG35_44 AWAY | rank_edge_sack_or_hit_rate >= 10 AND rank_edge_redzone_epa >= 1 | n=114 ROI=+36.8% holdout=+29.4% seasons=13/17
NFL-H022 [FINAL_RESEARCH] RUSHING+SPECIAL_TEAMS | DOG35_44 ANY | rank_edge_rush_epa_per_carry >= 14 AND rank_edge_punt_return_average >= -9 | n=129 ROI=+32.2% holdout=+21.1% seasons=13/19
NFL-H027 [FINAL_RESEARCH] EFFICIENCY+SPECIAL_TEAMS | DOG35_49 AWAY | recent_edge_punt_return_average >= 4.4153 AND recent_edge_success_rate >= 0 | n=147 ROI=+33.1% holdout=+22.9% seasons=16/20
NFL-H028 [FINAL_RESEARCH] PASSING+PASS_PROTECTION_RUSH | DOG35_49 AWAY | recent_edge_sack_or_hit_rate >= -0.043727 AND rank_edge_pass_epa_per_dropback >= 10 | n=175 ROI=+24.7% holdout=+23.3% seasons=12/17
