method,condition,era,risk_n,risk_wins,risk_losses,risk_win_pct,risk_roi,safe_n,safe_win_pct,safe_roi,roi_gap_safe_minus_risk
original,team_hc_changed,train,0,0,0,,,25,0.88,0.1601090923818964,
original,team_hc_changed,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,team_hc_changed,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,team_hc_changed,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,team_oc_changed,train,0,0,0,,,25,0.88,0.1601090923818964,
original,team_oc_changed,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,team_oc_changed,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,team_oc_changed,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,team_dc_changed,train,0,0,0,,,25,0.88,0.1601090923818964,
original,team_dc_changed,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,team_dc_changed,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,team_dc_changed,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,team_both_coords_changed,train,0,0,0,,,25,0.88,0.1601090923818964,
original,team_both_coords_changed,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,team_both_coords_changed,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,team_both_coords_changed,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,team_full_staff_overhaul,train,0,0,0,,,25,0.88,0.1601090923818964,
original,team_full_staff_overhaul,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,team_full_staff_overhaul,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,team_full_staff_overhaul,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,team_2plus_staff_changes,train,0,0,0,,,25,0.88,0.1601090923818964,
original,team_2plus_staff_changes,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,team_2plus_staff_changes,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,team_2plus_staff_changes,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,opponent_full_staff_overhaul,train,0,0,0,,,25,0.88,0.1601090923818964,
original,opponent_full_staff_overhaul,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,opponent_full_staff_overhaul,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,opponent_full_staff_overhaul,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,opponent_2plus_staff_changes,train,0,0,0,,,25,0.88,0.1601090923818964,
original,opponent_2plus_staff_changes,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,opponent_2plus_staff_changes,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,opponent_2plus_staff_changes,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,prior_current_loss,train,7,4,3,0.5714285714285714,-0.21291894275634465,18,1.0,0.3051755504912124,0.5180944932475571
original,prior_current_loss,validation,6,5,1,0.8333333333333334,0.21189338439338443,28,0.7857142857142857,0.1682969367901713,-0.04359644760321313
original,prior_current_loss,holdout,6,5,1,0.8333333333333334,0.12378365819495867,26,0.8076923076923077,0.1456105353549016,0.02182687715994293
original,prior_current_loss,full,19,14,5,0.7368421052631579,0.027559455591349785,72,0.8472222222222222,0.19432427858602866,0.16676482299467887
original,prior_current_win,train,7,7,0,1.0,0.3134977140837947,18,0.8333333333333334,0.10045796172004715,-0.21303975236374753
original,prior_current_win,validation,4,4,0,1.0,0.4456535751894164,30,0.7666666666666667,0.14003534119091463,-0.30561823399850174
original,prior_current_win,holdout,12,8,4,0.6666666666666666,-0.04570028189893458,20,0.9,0.25384896255922035,0.29954924445815495
original,prior_current_win,full,23,19,4,0.8260869565217391,0.14907369202421794,68,0.8235294117647058,0.16303357055695136,0.013959878532733422
original,prior_current_negative_margin,train,9,6,3,0.6666666666666666,-0.11752448710816682,16,1.0,0.316277980845057,0.4338024679532238
original,prior_current_negative_margin,validation,7,6,1,0.8571428571428571,0.3047756102682211,27,0.7777777777777778,0.1426016764669465,-0.1621739338012746
original,prior_current_negative_margin,holdout,6,5,1,0.8333333333333334,0.12378365819495867,26,0.8076923076923077,0.1456105353549016,0.02182687715994293
original,prior_current_negative_margin,full,22,17,5,0.7727272727272727,0.082655038048809,69,0.8405797101449275,0.18400821561385375,0.10135317756504475
original,prior_current_positive_margin,train,7,7,0,1.0,0.3134977140837947,18,0.8333333333333334,0.10045796172004715,-0.21303975236374753
original,prior_current_positive_margin,validation,4,4,0,1.0,0.4456535751894164,30,0.7666666666666667,0.14003534119091463,-0.30561823399850174
original,prior_current_positive_margin,holdout,12,8,4,0.6666666666666666,-0.04570028189893458,20,0.9,0.25384896255922035,0.29954924445815495
original,prior_current_positive_margin,full,23,19,4,0.8260869565217391,0.14907369202421794,68,0.8235294117647058,0.16303357055695136,0.013959878532733422
original,prior_current_loss_and_2plus_staff_changes,train,0,0,0,,,25,0.88,0.1601090923818964,
original,prior_current_loss_and_2plus_staff_changes,validation,0,0,0,,,34,0.7941176470588235,0.17599042754367947,
original,prior_current_loss_and_2plus_staff_changes,holdout,0,0,0,,,32,0.8125,0.1415179958874123,
original,prior_current_loss_and_2plus_staff_changes,full,0,0,0,,,91,0.8241758241758241,0.15950524960911766,
original,prior_current_passing_epa_negative,train,6,4,2,0.6666666666666666,-0.22294574438970993,19,0.9473684210526315,0.2810737776781932,0.5040195220679031
original,prior_current_passing_epa_negative,validation,5,4,1,0.8,0.2208846153846154,29,0.7931034482758621,0.16825005032972504,-0.052634565054890364
original,prior_current_passing_epa_negative,holdout,7,4,3,0.5714285714285714,-0.19548702313447988,25,0.88,0.23587940121354203,0.4313664243480219
original,prior_current_passing_epa_negative,full,18,12,6,0.6666666666666666,-0.08898114174203012,73,0.863013698630137,0.22077586665460616,0.3097570083966363
original,prior_current_passing_epa_positive,train,10,9,1,0.9,0.24744380809513206,15,0.8666666666666667,0.10188594857307268,-0.14555785952205938
original,prior_current_passing_epa_positive,validation,6,6,0,1.0,0.46860341595202276,28,0.75,0.11328764431332025,-0.35531577163870254
original,prior_current_passing_epa_positive,holdout,11,9,2,0.8181818181818182,0.142064338938536,21,0.8095238095238095,0.1412318161939665,-0.0008325227445695194
original,prior_current_passing_epa_positive,full,27,24,3,0.8888888888888888,0.2536580112958279,64,0.796875,0.11978455327253679,-0.1338734580232911
original,prior_current_rushing_epa_negative,train,11,9,2,0.8181818181818182,0.08760437061811595,14,0.9285714285714286,0.21707708805343826,0.1294727174353223
original,prior_current_rushing_epa_negative,validation,6,5,1,0.8333333333333334,0.3912063934846736,28,0.7857142857142857,0.12987272055632365,-0.26133367292834997
original,prior_current_rushing_epa_negative,holdout,7,5,2,0.7142857142857143,-2.885565952507171e-05,25,0.84,0.18115111432055475,0.18117996998007982
original,prior_current_rushing_epa_negative,full,24,19,5,0.7916666666666666,0.13794518533711006,67,0.835820895522388,0.16722825770655322,0.029283072369443164
original,prior_current_rushing_epa_positive,train,5,4,1,0.8,0.034623107562757105,20,0.9,0.19148058858668127,0.15685748102392416
original,prior_current_rushing_epa_positive,validation,5,5,0,1.0,0.31376104234543434,29,0.7586206896551724,0.1522368732675149,-0.16152416907791944
original,prior_current_rushing_epa_positive,holdout,11,8,3,0.7272727272727273,0.0176818687272011,21,0.8571428571428571,0.20638453868561812,0.18870266995841703
original,prior_current_rushing_epa_positive,full,21,17,4,0.8095238095238095,0.09221053835905571,70,0.8285714285714286,0.17969366298413622,0.08748312462508051
original,prior_current_passing_cpoe_negative,train,7,5,2,0.7142857142857143,-0.1715672819177889,18,0.9444444444444444,0.2890943490539963,0.46066163097178514
original,prior_current_passing_cpoe_negative,validation,4,4,0,1.0,0.5523295454545455,30,0.7666666666666667,0.12581187848889738,-0.4265176669656481
original,prior_current_passing_cpoe_negative,holdout,10,7,3,0.7,0.05134696412976316,22,0.8636363636363636,0.18250482850452548,0.13115786437476232
original,prior_current_passing_cpoe_negative,full,21,16,5,0.7619047619047619,0.07246746903291866,70,0.8428571428571429,0.18561658378197735,0.11314911474905869
original,prior_current_passing_cpoe_positive,train,9,8,1,0.8888888888888888,0.25974828755973145,16,0.875,0.10406204509436424,-0.15568624246536722
original,prior_current_passing_cpoe_positive,validation,7,6,1,0.8571428571428571,0.24381791297386163,27,0.7777777777777778,0.15840552391363227,-0.08541238906022935
original,prior_current_passing_cpoe_positive,holdout,8,6,2,0.75,-0.03989638436438686,24,0.8333333333333334,0.20198945597134532,0.24188584033573218
original,prior_current_passing_cpoe_positive,full,24,20,4,0.8333333333333334,0.15522037099747998,67,0.8208955223880597,0.16104013149985352,0.005819760502373539
stricter,team_hc_changed,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,team_hc_changed,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,team_hc_changed,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,team_hc_changed,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,team_oc_changed,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,team_oc_changed,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,team_oc_changed,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,team_oc_changed,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,team_dc_changed,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,team_dc_changed,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,team_dc_changed,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,team_dc_changed,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,team_both_coords_changed,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,team_both_coords_changed,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,team_both_coords_changed,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,team_both_coords_changed,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,team_full_staff_overhaul,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,team_full_staff_overhaul,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
