season,n,wins,units,win_pct,roi,method
2007,3,3,0.5803098147528177,1.0,0.19343660491760592,original
2009,2,2,0.5064935064935063,1.0,0.25324675324675316,original
2010,4,2,-1.7078891257995736,0.5,-0.4269722814498934,original
2011,3,3,0.7244542555800833,1.0,0.24148475186002774,original
2012,7,7,2.6652236735489296,1.0,0.38074623907841854,original
2013,6,5,1.2341351849716478,0.8333333333333334,0.20568919749527462,original
2014,7,6,1.7861338924929138,0.8571428571428571,0.2551619846418448,original
2015,3,3,1.3006993006993006,1.0,0.43356643356643354,original
2016,5,4,0.4057690690438145,0.8,0.0811538138087629,original
2017,6,3,-1.9811046511627906,0.5,-0.33018410852713176,original
2018,6,5,2.9466751844075194,0.8333333333333334,0.49111253073458655,original
2019,7,6,1.525501741004346,0.8571428571428571,0.217928820143478,original
2020,6,6,2.2723774765087836,1.0,0.3787295794181306,original
2021,5,3,-0.7126571558856103,0.6,-0.14253143117712205,original
2022,3,2,-0.026927899099908226,0.6666666666666666,-0.008975966366636076,original
2023,6,6,1.9666223112319439,1.0,0.327770385205324,original
2024,6,5,1.362975687103594,0.8333333333333334,0.2271626145172657,original
2025,6,4,-0.3338145514616102,0.6666666666666666,-0.055635758576935035,original
2007,2,2,0.3861350574712643,1.0,0.19306752873563215,stricter
2009,2,2,0.5064935064935063,1.0,0.25324675324675316,stricter
2010,4,2,-1.7078891257995736,0.5,-0.4269722814498934,stricter
2011,3,3,0.7244542555800833,1.0,0.24148475186002774,stricter
2012,5,5,1.3338365539452495,1.0,0.2667673107890499,stricter
2013,4,3,-0.20641427537979262,0.75,-0.051603568844948156,stricter
2014,4,4,1.8736253484054224,1.0,0.4684063371013556,stricter
2015,2,2,0.8461538461538461,1.0,0.4230769230769231,stricter
2016,4,4,1.4057690690438145,1.0,0.3514422672609536,stricter
2017,3,2,-0.5625,0.6666666666666666,-0.1875,stricter
2018,3,3,2.9065305547733034,1.0,0.9688435182577678,stricter
2019,5,4,0.6347392776612376,0.8,0.12694785553224752,stricter
2020,4,4,1.6054479804840778,1.0,0.40136199512101944,stricter
2021,3,2,0.02894491129785237,0.6666666666666666,0.009648303765950791,stricter
2022,1,1,0.2638522427440633,1.0,0.2638522427440633,stricter
2023,6,6,1.9666223112319439,1.0,0.327770385205324,stricter
2024,4,3,0.4134807376086447,0.75,0.10337018440216117,stricter
2025,5,3,-1.4338145514616103,0.6,-0.28676291029232204,stricter
