method,season,week,game_id,team,opponent,moneyline,win,profit_units,pass_rank,hit_rank,offense_rank,defense_edge,ol_continuity,opp_protection_rank,rest_edge
pass_defense_offense24,2007,1,2007_01_PHI_GB,GB,PHI,164.0,1.0,1.64,6.0,2.0,24.0,,,,
pass_defense_offense24,2007,1,2007_01_CHI_SD,LAC,CHI,-310.0,1.0,0.3225806451612903,7.0,8.0,2.0,,,,
pass_defense_offense24,2008,1,2008_01_KC_NE,NE,KC,,1.0,,1.0,3.0,1.0,,,,
pass_defense_offense24,2008,1,2008_01_JAX_TEN,TEN,JAX,,1.0,,8.0,2.0,20.0,,,,
pass_defense_offense24,2008,1,2008_01_MIN_GB,GB,MIN,,1.0,,10.0,6.0,5.0,,,,
pass_defense_offense24,2009,1,2009_01_TEN_PIT,PIT,TEN,-260.0,1.0,0.38461538461538464,1.0,8.0,21.0,,,,
pass_defense_offense24,2009,1,2009_01_KC_BAL,BAL,KC,-700.0,1.0,0.14285714285714285,2.0,5.0,19.0,,,,
pass_defense_offense24,2009,1,2009_01_JAX_IND,IND,JAX,-270.0,1.0,0.37037037037037035,9.0,14.0,2.0,,,,
pass_defense_offense24,2009,1,2009_01_DAL_TB,TB,DAL,204.0,0.0,-1.0,6.0,4.0,17.0,,,,
pass_defense_offense24,2009,1,2009_01_WAS_NYG,NYG,WAS,,1.0,,8.0,13.0,8.0,,,,
pass_defense_offense24,2009,1,2009_01_CHI_GB,GB,CHI,,1.0,,5.0,11.0,11.0,,,,
pass_defense_offense24,2010,1,2010_01_MIN_NO,NO,MIN,-220.0,1.0,0.45454545454545453,3.0,16.0,1.0,,,,
pass_defense_offense24,2011,1,2011_01_NO_GB,GB,NO,-250.0,1.0,0.4,1.0,4.0,6.0,,,,
pass_defense_offense24,2011,1,2011_01_DAL_NYJ,NYJ,DAL,-270.0,1.0,0.37037037037037035,6.0,7.0,18.0,,,,
pass_defense_offense24,2012,1,2012_01_MIA_HOU,HOU,MIA,-720.0,1.0,0.1388888888888889,1.0,1.0,13.0,,,,
pass_defense_offense24,2012,1,2012_01_SEA_ARI,ARI,SEA,122.0,1.0,1.22,8.0,15.0,23.0,,,,
pass_defense_offense24,2012,1,2012_01_CIN_BAL,BAL,CIN,-320.0,1.0,0.3125,2.0,4.0,14.0,,,,
pass_defense_offense24,2013,1,2013_01_BAL_DEN,DEN,BAL,-319.0,1.0,0.31347962382445144,2.0,3.0,6.0,,,,
