season,n,wins,units,win_pct,roi,method
2013,11,9.0,1.309915504882291,0.8181818181818182,0.11908322771657191,late_road_protection_rest_v1
2014,11,6.0,-2.875018081938908,0.5454545454545454,-0.26136528017626437,late_road_protection_rest_v1
2015,10,8.0,1.1628341129152697,0.8,0.11628341129152697,late_road_protection_rest_v1
2016,3,3.0,0.9754090281884487,1.0,0.3251363427294829,late_road_protection_rest_v1
2017,16,11.0,-1.112989166865169,0.6875,-0.06956182292907306,late_road_protection_rest_v1
2018,5,3.0,-0.957676449187485,0.6,-0.19153528983749699,late_road_protection_rest_v1
2019,10,10.0,3.731858624566054,1.0,0.3731858624566054,late_road_protection_rest_v1
2020,7,6.0,0.9008246303672993,0.8571428571428571,0.12868923290961418,late_road_protection_rest_v1
2021,9,8.0,1.7421314029243575,0.8888888888888888,0.19357015588048418,late_road_protection_rest_v1
2022,6,5.0,0.550841333475671,0.8333333333333334,0.09180688891261184,late_road_protection_rest_v1
2023,2,2.0,0.7261345852895149,1.0,0.36306729264475746,late_road_protection_rest_v1
2024,11,9.0,0.8245199348870704,0.8181818181818182,0.0749563577170064,late_road_protection_rest_v1
2025,4,4.0,1.1667719493191742,1.0,0.29169298732979354,late_road_protection_rest_v1
2007,2,2.0,1.9625806451612902,1.0,0.9812903225806451,pass_defense_offense24
2008,3,3.0,0.0,1.0,0.0,pass_defense_offense24
2009,6,5.0,-0.10215710215710216,0.8333333333333334,-0.01702618369285036,pass_defense_offense24
2010,1,1.0,0.45454545454545453,1.0,0.45454545454545453,pass_defense_offense24
2011,2,2.0,0.7703703703703704,1.0,0.3851851851851852,pass_defense_offense24
2012,3,3.0,1.6713888888888888,1.0,0.5571296296296296,pass_defense_offense24
2013,2,1.0,-0.6865203761755485,0.5,-0.34326018808777425,pass_defense_offense24
2014,3,3.0,2.6941332580463015,1.0,0.8980444193487672,pass_defense_offense24
2015,2,1.0,-0.00990099009900991,0.5,-0.004950495049504955,pass_defense_offense24
2016,4,2.0,-1.374468085106383,0.5,-0.34361702127659577,pass_defense_offense24
2017,1,1.0,0.6896551724137931,1.0,0.6896551724137931,pass_defense_offense24
2018,2,2.0,1.2250863672601648,1.0,0.6125431836300824,pass_defense_offense24
2019,2,2.0,0.6898527726351054,1.0,0.3449263863175527,pass_defense_offense24
2020,6,4.0,-0.7682342161784704,0.6666666666666666,-0.12803903602974506,pass_defense_offense24
2021,3,3.0,2.1136920504635963,1.0,0.7045640168211987,pass_defense_offense24
2022,3,2.0,0.4451612903225808,0.6666666666666666,0.1483870967741936,pass_defense_offense24
2024,3,3.0,1.5538118763925215,1.0,0.5179372921308405,pass_defense_offense24
2025,2,2.0,0.5553506895788776,1.0,0.2776753447894388,pass_defense_offense24
