season,status,error,qualifiers
2006,error,HTTPError: 404 Client Error: Not Found for url: https://github.com/nflverse/nflverse-data/releases/download/snap_counts/snap_counts_2006.parquet,
2007,error,HTTPError: 404 Client Error: Not Found for url: https://github.com/nflverse/nflverse-data/releases/download/snap_counts/snap_counts_2007.parquet,
2008,error,HTTPError: 404 Client Error: Not Found for url: https://github.com/nflverse/nflverse-data/releases/download/snap_counts/snap_counts_2008.parquet,
2009,error,HTTPError: 404 Client Error: Not Found for url: https://github.com/nflverse/nflverse-data/releases/download/snap_counts/snap_counts_2009.parquet,
2010,error,HTTPError: 404 Client Error: Not Found for url: https://github.com/nflverse/nflverse-data/releases/download/snap_counts/snap_counts_2010.parquet,
2011,error,HTTPError: 404 Client Error: Not Found for url: https://github.com/nflverse/nflverse-data/releases/download/snap_counts/snap_counts_2011.parquet,
2012,ok,,0.0
2013,ok,,11.0
2014,ok,,11.0
2015,ok,,10.0
2016,ok,,3.0
2017,ok,,16.0
2018,ok,,5.0
2019,ok,,10.0
2020,ok,,7.0
2021,ok,,9.0
2022,ok,,6.0
2023,ok,,2.0
2024,ok,,11.0
2025,ok,,4.0
