season,team,pre_games,pre_wins,pre_losses,pre_pf,pre_pa,pre_win_pct,pre_margin_pg
2007,ARI,4,0,4,77.0,114.0,0.0,-9.25
2007,ATL,4,3,1,66.0,70.0,0.75,-1.0
2007,BAL,4,1,3,58.0,42.0,0.25,4.0
2007,BUF,4,2,2,56.0,64.0,0.5,-2.0
2007,CAR,4,1,3,44.0,91.0,0.25,-11.75
2007,CHI,4,3,1,87.0,90.0,0.75,-0.75
2007,CIN,4,1,3,78.0,84.0,0.25,-1.5
2007,CLE,4,3,1,72.0,60.0,0.75,3.0
2007,DAL,4,2,2,84.0,81.0,0.5,0.75
2007,DEN,4,2,2,74.0,64.0,0.5,2.5
2007,DET,4,2,2,73.0,99.0,0.5,-6.5
2007,GB,4,2,2,88.0,73.0,0.5,3.75
2007,HOU,4,2,2,104.0,87.0,0.5,4.25
2007,IND,4,1,3,77.0,74.0,0.25,0.75
2007,JAX,4,3,1,100.0,64.0,0.75,9.0
2007,KC,4,0,4,32.0,67.0,0.0,-8.75
2007,LA,4,2,2,46.0,63.0,0.5,-4.25
2007,LAC,4,3,1,95.0,81.0,0.75,3.5
2007,LV,4,2,2,82.0,78.0,0.5,1.0
2007,MIA,4,2,2,57.0,65.0,0.5,-2.0
2007,MIN,4,2,2,83.0,77.0,0.5,1.5
2007,NE,4,2,2,85.0,67.0,0.5,4.5
2007,NO,4,3,1,74.0,39.0,0.75,8.75
2007,NYG,4,1,3,66.0,83.0,0.25,-4.25
2007,NYJ,4,3,1,84.0,76.0,0.75,2.0
2007,PHI,4,1,3,54.0,79.0,0.25,-6.25
2007,PIT,4,3,1,67.0,39.0,0.75,7.0
2007,SEA,4,3,1,86.0,91.0,0.75,-1.25
2007,SF,4,1,3,80.0,85.0,0.25,-1.25
2007,TB,4,3,1,94.0,93.0,0.75,0.25
2007,TEN,4,3,1,91.0,69.0,0.75,5.5
2007,WAS,4,2,2,51.0,56.0,0.5,-1.25
2008,ARI,4,2,2,75.0,69.0,0.5,1.5
2008,ATL,4,2,2,53.0,48.0,0.5,1.25
2008,BAL,4,1,3,50.0,72.0,0.25,-5.5
2008,BUF,4,2,2,64.0,59.0,0.5,1.25
2008,CAR,4,2,2,99.0,66.0,0.5,8.25
2008,CHI,4,1,3,92.0,100.0,0.25,-2.0
2008,CIN,4,2,2,57.0,64.0,0.5,-1.75
2008,CLE,4,0,4,70.0,103.0,0.0,-8.25
2008,DAL,4,2,2,69.0,86.0,0.5,-4.25
2008,DEN,4,2,2,91.0,73.0,0.5,4.5
2008,DET,4,4,0,80.0,32.0,1.0,12.0
2008,GB,4,1,3,71.0,101.0,0.25,-7.5
2008,HOU,4,2,2,78.0,82.0,0.5,-1.0
2008,IND,5,1,4,66.0,109.0,0.2,-8.6
2008,JAX,4,3,1,81.0,56.0,0.75,6.25
2008,KC,4,2,2,62.0,88.0,0.5,-6.5
2008,LA,4,2,2,61.0,71.0,0.5,-2.5
2008,LAC,4,3,1,75.0,58.0,0.75,4.25
2008,LV,4,1,3,50.0,70.0,0.25,-5.0
2008,MIA,4,3,1,63.0,41.0,0.75,5.5
2008,MIN,4,1,3,60.0,77.0,0.25,-4.25
2008,NE,4,0,4,56.0,89.0,0.0,-8.25
2008,NO,4,2,2,74.0,55.0,0.5,4.75
2008,NYG,4,2,2,73.0,71.0,0.5,0.5
2008,NYJ,4,3,1,71.0,60.0,0.75,2.75
2008,PHI,4,2,2,81.0,73.0,0.5,2.0
2008,PIT,4,3,1,68.0,60.0,0.75,2.0
2008,SEA,4,3,1,103.0,77.0,0.75,6.5
2008,SF,4,2,2,94.0,74.0,0.5,5.0
2008,TB,4,3,1,77.0,45.0,0.75,8.0
2008,TEN,4,3,1,77.0,67.0,0.75,2.5
2008,WAS,5,3,2,66.0,111.0,0.6,-9.0
2009,ARI,4,0,4,53.0,100.0,0.0,-11.75
2009,ATL,4,2,2,76.0,84.0,0.5,-2.0
2009,BAL,4,4,0,84.0,39.0,1.0,11.25
2009,BUF,5,1,4,72.0,106.0,0.2,-6.8
2009,CAR,4,0,4,57.0,89.0,0.0,-8.0
2009,CHI,4,3,1,90.0,70.0,0.75,5.0
2009,CIN,4,2,2,73.0,54.0,0.5,4.75
2009,CLE,4,2,2,73.0,70.0,0.5,0.75
2009,DAL,4,2,2,88.0,92.0,0.5,-1.0
2009,DEN,4,1,3,65.0,71.0,0.25,-1.5
2009,DET,4,3,1,72.0,76.0,0.75,-1.0
2009,GB,4,3,1,105.0,85.0,0.75,5.0
2009,HOU,4,2,2,67.0,85.0,0.5,-4.5
2009,IND,4,1,3,50.0,84.0,0.25,-8.5
2009,JAX,4,1,3,88.0,86.0,0.25,0.5
2009,KC,4,0,4,42.0,64.0,0.0,-5.5
2009,LA,4,3,1,77.0,70.0,0.75,1.75
2009,LAC,4,2,2,81.0,60.0,0.5,5.25
2009,LV,4,1,3,79.0,107.0,0.25,-7.0
2009,MIA,4,4,0,59.0,39.0,1.0,5.0
2009,MIN,4,3,1,78.0,61.0,0.75,4.25
2009,NE,4,3,1,98.0,83.0,0.75,3.75
2009,NO,4,3,1,107.0,38.0,0.75,17.25
2009,NYG,4,1,3,79.0,99.0,0.25,-5.0
2009,NYJ,4,2,2,108.0,99.0,0.5,2.25
2009,PHI,4,1,3,100.0,120.0,0.25,-5.0
2009,PIT,4,3,1,71.0,37.0,0.75,8.5
2009,SEA,4,4,0,92.0,58.0,1.0,8.5
2009,SF,4,3,1,65.0,75.0,0.75,-2.5
2009,TB,4,1,3,70.0,87.0,0.25,-4.25
2009,TEN,5,3,2,102.0,104.0,0.6,-0.4
2009,WAS,4,1,3,58.0,87.0,0.25,-7.25
2010,ARI,4,3,1,63.0,59.0,0.75,1.0
2010,ATL,4,2,2,55.0,57.0,0.5,-0.5
2010,BAL,4,3,1,85.0,52.0,0.75,8.25
2010,BUF,4,2,2,109.0,111.0,0.5,-0.5
2010,CAR,4,1,3,33.0,52.0,0.25,-4.75
2010,CHI,4,0,4,46.0,84.0,0.0,-9.5
2010,CIN,5,3,2,112.0,112.0,0.6,0.0
2010,CLE,4,2,2,84.0,88.0,0.5,-1.0
2010,DAL,5,3,2,75.0,86.0,0.6,-2.2
2010,DEN,4,1,3,102.0,106.0,0.25,-1.0
2010,DET,4,3,1,95.0,93.0,0.75,0.5
2010,GB,4,2,2,123.0,92.0,0.5,7.75
2010,HOU,4,1,3,76.0,88.0,0.25,-3.0
2010,IND,4,0,4,90.0,160.0,0.0,-17.5
2010,JAX,4,2,2,85.0,77.0,0.5,2.0
2010,KC,4,1,3,59.0,73.0,0.25,-3.5
2010,LA,4,3,1,89.0,101.0,0.75,-3.0
2010,LAC,4,1,3,74.0,79.0,0.25,-1.25
2010,LV,4,3,1,100.0,78.0,0.75,5.5
2010,MIA,4,2,2,68.0,76.0,0.5,-2.0
2010,MIN,4,3,1,93.0,59.0,0.75,8.5
2010,NE,4,2,2,107.0,90.0,0.5,4.25
2010,NO,4,2,2,122.0,95.0,0.5,6.75
2010,NYG,4,2,2,78.0,81.0,0.5,-0.75
2010,NYJ,4,2,2,57.0,67.0,0.5,-2.5
2010,PHI,4,2,2,74.0,87.0,0.5,-3.25
2010,PIT,4,3,1,83.0,61.0,0.75,5.5
2010,SEA,4,1,3,81.0,96.0,0.25,-3.75
2010,SF,4,4,0,97.0,65.0,1.0,8.0
2010,TB,4,2,2,64.0,61.0,0.5,0.75
2010,TEN,4,2,2,76.0,69.0,0.5,1.75
2010,WAS,4,2,2,71.0,71.0,0.5,0.0
2011,ARI,4,2,2,101.0,87.0,0.5,3.5
2011,ATL,4,0,4,59.0,98.0,0.0,-9.75
2011,BAL,4,3,1,92.0,64.0,0.75,7.0
2011,BUF,4,1,3,54.0,82.0,0.25,-7.0
2011,CAR,4,1,3,60.0,87.0,0.25,-6.75
2011,CHI,4,2,2,60.0,72.0,0.5,-3.0
2011,CIN,4,1,3,47.0,91.0,0.25,-11.0
2011,CLE,4,1,3,83.0,95.0,0.25,-3.0
2011,DAL,4,2,2,57.0,77.0,0.5,-5.0
2011,DEN,4,2,2,77.0,80.0,0.5,-0.75
2011,DET,4,4,0,114.0,47.0,1.0,16.75
2011,GB,4,3,1,89.0,87.0,0.75,0.5
2011,HOU,4,3,1,77.0,65.0,0.75,3.0
2011,IND,4,1,3,51.0,86.0,0.25,-8.75
2011,JAX,4,1,3,76.0,119.0,0.25,-10.75
2011,KC,4,0,4,42.0,90.0,0.0,-12.0
2011,LA,4,4,0,88.0,53.0,1.0,8.75
2011,LAC,4,2,2,88.0,82.0,0.5,1.5
2011,LV,4,0,4,44.0,101.0,0.0,-14.25
2011,MIA,4,3,1,78.0,53.0,0.75,6.25
2011,MIN,4,2,2,68.0,44.0,0.5,6.0
2011,NE,4,2,2,105.0,78.0,0.5,6.75
2011,NO,4,2,2,87.0,82.0,0.5,1.25
2011,NYG,4,2,2,72.0,67.0,0.5,1.25
2011,NYJ,4,2,2,74.0,54.0,0.5,5.0
2011,PHI,4,3,1,75.0,58.0,0.75,4.25
2011,PIT,4,3,1,98.0,63.0,0.75,8.75
2011,SEA,4,2,2,71.0,63.0,0.5,2.0
2011,SF,4,2,2,47.0,74.0,0.5,-6.75
2011,TB,4,2,2,80.0,73.0,0.5,1.75
2011,TEN,4,3,1,76.0,42.0,0.75,8.5
2011,WAS,4,3,1,92.0,68.0,0.75,6.0
2012,ARI,5,1,4,98.0,119.0,0.2,-4.2
2012,ATL,4,1,3,73.0,85.0,0.25,-3.0
