game_id,week,team,opponent,points_for,points_against,point_margin,won,is_home,passing_yards,rushing_yards,receiving_yards,passing_epa,rushing_epa,passing_cpoe,completions,attempts,carries,passing_tds,rushing_tds,sacks_suffered,passing_first_downs,rushing_first_downs
2026_01_NE_SEA,1,SEA,NE,13.0,10.0,3.0,1,1,200,97,200,4.368448903068794,-1.2850988117279485,2.3635162661472955,17,24,22,1,0,2,9,4
2026_01_NE_SEA,1,NE,SEA,10.0,13.0,-3.0,0,0,178,109,178,-4.621354154985982,-2.723739971232135,5.9704506589520365,23,33,31,1,0,3,9,7
2026_01_SF_LA,1,LA,SF,7.0,27.0,-20.0,0,1,168,122,168,-5.42227216711035,-3.7919185115024447,-4.742071032524109,17,28,29,0,1,0,6,7
2026_01_SF_LA,1,SF,LA,27.0,7.0,20.0,1,0,205,174,205,4.825627535880926,6.615496395970695,0.7715561810661765,25,34,30,3,0,0,12,10
2026_01_CHI_CAR,1,CAR,CHI,37.0,59.0,-22.0,0,1,361,125,361,15.13862835448766,1.2128796904580668,4.170120901921216,23,38,22,3,2,2,17,5
2026_01_CHI_CAR,1,CHI,CAR,59.0,37.0,22.0,1,0,269,291,269,18.565287171866746,14.731454032182228,16.58033785911707,21,29,39,2,6,2,13,11
2026_01_TB_CIN,1,CIN,TB,33.0,27.0,6.0,1,1,254,106,254,-2.6269530624217747,-0.6561809138220269,6.35173276943319,25,35,27,1,1,1,14,10
2026_01_TB_CIN,1,TB,CIN,27.0,33.0,-6.0,0,0,216,89,216,-5.410519445537091,-1.5336444844142534,14.020461947829634,23,28,20,0,2,4,12,5
2026_01_NO_DET,1,DET,NO,31.0,30.0,1.0,1,1,206,165,206,5.854510969133761,-0.7072072079754435,-2.90968670294835,26,39,33,2,2,1,10,14
2026_01_NO_DET,1,NO,DET,30.0,31.0,-1.0,0,0,410,91,410,-1.007320272566536,-1.6562374110799283,-1.2056044661081755,35,56,25,3,1,5,19,7
2026_01_BUF_HOU,1,HOU,BUF,31.0,36.0,-5.0,0,1,274,124,274,1.4964428132799918,3.533818865485955,3.161677476522085,26,38,32,2,2,3,11,10
2026_01_BUF_HOU,1,BUF,HOU,36.0,31.0,5.0,1,0,334,86,334,14.535023926041614,-2.6135950712196063,8.141485282352992,20,29,21,2,2,2,13,5
2026_01_BAL_IND,1,IND,BAL,23.0,41.0,-18.0,0,1,166,102,166,-9.612229877368634,2.4474834225839004,-5.060457874988687,19,31,20,1,2,2,8,8
2026_01_BAL_IND,1,BAL,IND,41.0,23.0,18.0,1,0,324,202,324,10.343673247451648,6.658931777352398,4.801740248998006,17,25,37,1,4,2,11,12
2026_01_CLE_JAX,1,JAX,CLE,34.0,10.0,24.0,1,1,245,126,245,19.021475746762007,-1.0985837582445042,22.325369857606432,18,23,32,4,0,1,13,8
2026_01_CLE_JAX,1,CLE,JAX,10.0,34.0,-24.0,0,0,205,87,205,-5.560122194518736,0.8057772548054345,10.32099574804306,16,22,22,1,0,5,9,5
2026_01_ATL_PIT,1,PIT,ATL,20.0,13.0,7.0,1,1,221,58,221,-9.682691143611503,-5.979382678924594,1.234482873130489,24,41,21,1,0,2,10,3
2026_01_ATL_PIT,1,ATL,PIT,13.0,20.0,-7.0,0,0,143,120,143,-15.764547433458114,-2.532778510663044,-10.418013365645157,12,22,31,1,0,4,4,9
2026_01_NYJ_TEN,1,TEN,NYJ,10.0,23.0,-13.0,0,1,140,68,140,-7.351253745532043,1.5386887996282894,0.389746470110757,19,32,14,1,0,3,6,4
2026_01_NYJ_TEN,1,NYJ,TEN,23.0,10.0,13.0,1,0,215,152,215,9.754852104458761,-2.234039743933286,12.836020925770635,19,24,39,0,2,0,7,11
2026_01_ARI_LAC,1,LAC,ARI,14.0,26.0,-12.0,0,1,209,81,209,-5.607666317024268,-6.834242858982179,-6.209376123216417,17,27,21,1,1,3,9,6
2026_01_ARI_LAC,1,ARI,LAC,26.0,14.0,12.0,1,0,277,116,277,9.012864685153245,-0.5958587992174398,4.605903093879287,27,37,34,1,1,1,15,7
