candidate_id,source,source_status,track,price_band,venue,feature1,op1,threshold1,feature2,op2,threshold2,feature3,op3,threshold3,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_roi,positive_season_ratio,live_p_lo,live_p_hi,live_odds_range,price_decision,rule_reproducible,top_team_share,top3_team_share,top_team,robust_score,duplicate_of,max_jaccard_overlap,hard_veto_source,hard_veto_feature,hard_veto_op,hard_veto_threshold,deployment_status,deployment_reason
NFL-H005,H_SERIES,FINAL_RESEARCH,LONG,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,rank_edge_off_epa_per_play,>=,10.0,,,,59,0.5084745762711863,43,0.3434883720930232,41,0.3602439024390244,143,0.4163636363636363,0.8333333333333334,0.3657675657675657,0.4264566814577726,+134 to +173,TIGHTEN_LIVE_PRICE,True,0.08235294117647059,0.21176470588235294,WAS,0.4640384396963164,,0.18181818181818182,COACHING,oc_prior_role_seasons,>=,3.0,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H010,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_pass_epa_per_dropback,>=,10.0,,,,64,0.36375,58,0.2689655172413793,40,0.3217499999999999,162,0.3194444444444444,0.7222222222222222,0.35,0.4526943644590703,+121 to +186,TIGHTEN_LIVE_PRICE,True,0.12149532710280374,0.2616822429906542,NO,0.38198117038272283,,0.7289719626168224,COACHING,adv_dc_prior_win_pct,<=,-0.1042471042471042,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H002,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,rank_edge_def_allowed_explosive_rate,<=,-6.0,recent_edge_punt_return_average,>=,2.495833333333334,,,,57,0.2428070175438596,39,0.3507692307692308,47,0.4948936170212765,143,0.3551048951048952,0.8421052631578947,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.055944055944055944,0.15384615384615385,WAS,0.36405883953311774,,0.35795454545454547,BASE,dome_game,>=,1.0,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H003,H_SERIES,FINAL_RESEARCH,LONG,DOG35_44,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_sack_or_hit_rate,>=,5.0,,,,79,0.5616455696202532,51,0.2252941176470587,43,0.4374418604651162,173,0.4316184971098266,0.9,0.35,0.4499,+122 to +186,KEEP_ORIGINAL_BAND,True,0.057803468208092484,0.16184971098265896,GB,0.3532452702252786,,0.5491329479768786,BASE,recent_edge_def_allowed_pass_epa_per_dropback,>=,0.2182382565949704,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H008,H_SERIES,FINAL_RESEARCH,LONG,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,recent_edge_kick_return_average,>=,2.1666666666666643,,,,76,0.2380263157894737,66,0.4075757575757575,64,0.24453125,206,0.2943689320388349,0.7,0.35,0.4228348709146821,+136 to +186,TIGHTEN_LIVE_PRICE,True,0.05755395683453238,0.15827338129496402,LAC,0.35187299629870256,,0.17735849056603772,,,,,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H027,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,recent_edge_punt_return_average,>=,4.415277777777777,recent_edge_success_rate,>=,0.0,,,,59,0.461864406779661,45,0.2584444444444444,43,0.2290697674418605,147,0.3314965986394558,0.8,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.06802721088435375,0.17006802721088435,LAC,0.3472527008105649,,0.31351351351351353,COACHING,dc_tenure_seasons,>=,3.0,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H028,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_pass_epa_per_dropback,>=,10.0,,,,72,0.2408333333333333,60,0.2629999999999999,43,0.2334883720930232,175,0.2466285714285714,0.7058823529411765,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.10857142857142857,0.24,NO,0.34603491154547467,,0.6132596685082873,TRAVEL,adv_abs_tz_shift_hours,>=,0.0,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H029,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,rank_edge_def_allowed_sack_or_hit_rate,>=,14.0,,,,,,,75,0.2083999999999999,61,0.2065573770491803,60,0.2178333333333333,196,0.2107142857142857,0.7,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.061224489795918366,0.1683673469387755,BAL,0.3198637788330922,,0.11174785100286533,BASE,rank_edge_punt_return_average,<=,-14.2,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H017,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_def_allowed_explosive_rate,<=,-6.0,,,,132,0.1702272727272727,93,0.2308602150537634,102,0.1823529411764706,327,0.1912538226299694,0.7,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.06116207951070336,0.17737003058103976,NO,0.28909096654377986,,0.336283185840708,TRAVEL,adv_prior_road_miles_last5,<=,-315.24304298251786,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H036,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,rank_edge_def_allowed_explosive_rate,<=,-9.75,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,,,,52,0.5073076923076923,44,0.2959090909090909,46,0.1728260869565217,142,0.3334507042253521,0.75,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.07746478873239436,0.20422535211267606,NYG,0.2866332955660981,,0.64375,TRAVEL,adv_prior_road_miles_last5,<=,-449.2804356656068,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H033,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,recent_edge_punt_return_average,>=,4.415277777777777,,,,,,,115,0.2480869565217391,83,0.1702409638554217,88,0.1614772727272727,286,0.1988461538461538,0.75,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.055944055944055944,0.16433566433566432,BAL,0.28288642355549876,,0.513986013986014,,,,,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
NFL-H035,H_SERIES,FINAL_RESEARCH,LONG,DOG35_49,AWAY,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_punt_net_average,>=,2.046011904761898,,,,48,0.3529166666666666,45,0.4022222222222222,52,0.1542307692307692,145,0.2969655172413792,0.75,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,True,0.0896551724137931,0.2206896551724138,IND,0.26826496928664356,,0.1908713692946058,COACHING,oc_tenure_seasons,>=,3.0,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS
