candidate_id,source,source_status,track,price_band,venue,feature1,op1,threshold1,feature2,op2,threshold2,feature3,op3,threshold3,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_roi,positive_season_ratio,live_p_lo,live_p_hi,live_odds_range,price_decision,rule_reproducible,top_team_share,top3_team_share,top_team,robust_score,duplicate_of,max_jaccard_overlap,hard_veto_source,hard_veto_feature,hard_veto_op,hard_veto_threshold,deployment_status,deployment_reason
NFL-NW017,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,AWAY,recent_edge_sack_or_hit_rate,>=,0.0053062448112699,recent_edge_rush_epa_per_carry,>=,-0.0754872988005108,rank_edge_kick_return_average,<=,-9.0,32,0.474375,26,1.1219230769230768,21,0.5109523809523809,79,0.6972151898734178,0.6666666666666666,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,True,0.0759493670886076,0.22784810126582278,CAR,0.5751490106155944,NFL-NW016,1.0,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW016_1.00
NFL-NW009,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,recent_edge_def_allowed_early_down_epa,<=,-0.0940072839275117,adv_prior_road_miles_last4,>=,801.0648497063887,,,,35,0.5842857142857144,21,0.4314285714285714,23,0.5847826086956521,79,0.5437974683544304,0.6666666666666666,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.0759493670886076,0.20253164556962025,CIN,0.5322025820441657,NFL-NW008,0.9367088607594937,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW008_0.94
NFL-NW033,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,,,,48,0.3954166666666667,36,0.5547222222222222,35,0.4231428571428571,119,0.4517647058823529,0.9,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.06722689075630252,0.18487394957983194,WAS,0.51930534070148,NFL-NW015,0.907563025210084,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW015_0.91
NFL-NW041,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,defensive_coordinator_changed,>=,0.0,31,0.4438709677419354,30,0.5870000000000001,22,0.3686363636363636,83,0.4756626506024097,0.75,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.07865168539325842,0.19101123595505617,WAS,0.47661331594576545,NFL-NW015,0.8240740740740741,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW015_0.82
NFL-NW042,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,defensive_coordinator_changed,<=,1.0,31,0.4438709677419354,30,0.5870000000000001,22,0.3686363636363636,83,0.4756626506024097,0.75,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.07865168539325842,0.19101123595505617,WAS,0.47661331594576545,NFL-NW015,0.8240740740740741,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW015_0.82
NFL-NW046,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,AWAY,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,rank_edge_def_allowed_explosive_rate,<=,-9.0,adv_prior_road_miles_last4,>=,-22.615351354006503,29,0.7913793103448276,26,0.3438461538461539,24,0.3583333333333333,79,0.5125316455696204,0.7142857142857143,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.08860759493670886,0.24050632911392406,NYG,0.4484296882712721,NFL-NW045,1.0,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW045_1.00
NFL-NW019,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,defensive_coordinator_changed,>=,0.0,32,0.3071875,25,1.1236000000000002,17,0.4894117647058824,74,0.6248648648648649,0.9230769230769231,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.07142857142857142,0.20238095238095238,JAX,0.42776444683942827,NFL-NW052,0.865979381443299,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW052_0.87
NFL-NW020,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,defensive_coordinator_changed,<=,1.0,32,0.3071875,25,1.1236000000000002,17,0.4894117647058824,74,0.6248648648648649,0.9230769230769231,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.07142857142857142,0.20238095238095238,JAX,0.42776444683942827,NFL-NW052,0.865979381443299,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW052_0.87
NFL-NW028,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_pass_epa_per_dropback,>=,10.0,recent_edge_sack_or_hit_rate,>=,-0.0147564808411956,,,,40,0.4359999999999999,31,0.3148387096774193,26,0.4492307692307692,97,0.4008247422680412,0.7857142857142857,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.09278350515463918,0.23711340206185566,NO,0.4273651458912182,NFL-NW047,0.8290598290598291,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW047_0.83
NFL-NW054,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,AWAY,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,rank_edge_def_allowed_rush_epa_per_carry,<=,-9.25,adv_prior_road_miles_last4,>=,-22.615351354006503,34,0.8894117647058825,23,0.2956521739130435,21,0.3309523809523809,78,0.5639743589743591,0.8,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.10256410256410256,0.2948717948717949,IND,0.4069545389803055,NFL-NW053,1.0,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW053_1.00
NFL-NW064,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,AWAY,recent_edge_def_allowed_early_down_epa,<=,-0.0897030464878997,rank_edge_third_down_success,>=,5.0,recent_edge_giveaway_rate,>=,-0.0052251865973571,34,0.6847058823529412,32,0.3203125,23,0.2952173913043479,89,0.4530337078651685,0.7647058823529411,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.11235955056179775,0.2247191011235955,IND,0.405128612058706,NFL-NW063,1.0,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW063_1.00
NFL-NW071,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_third_down_success,>=,5.0,adv_prior_road_miles_last4,>=,801.0648497063887,recent_edge_sack_or_hit_rate,>=,-0.0147564808411956,35,0.5205714285714287,21,0.810952380952381,19,0.2915789473684211,75,0.5438666666666666,0.7692307692307693,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.08,0.22666666666666666,ATL,0.39999394049167514,NFL-NW070,1.0,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW070_1.00
NFL-NW038,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,ANY,recent_edge_punt_return_average,>=,2.347777777777778,adv_prior_long_trips_last3,>=,1.0,adv_prior_road_miles_last3,>=,374.5215340745484,51,0.2698039215686275,38,0.4836842105263159,38,0.3823684210526316,127,0.3674803149606299,0.7894736842105263,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.06299212598425197,0.1889763779527559,ARI,0.3855569093293685,NFL-NW031,0.8661417322834646,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW031_0.87
NFL-NW004,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_pass_epa_per_dropback,>=,10.0,rank_edge_third_down_success,>=,5.0,,,,37,0.3586486486486486,30,0.2676666666666666,23,0.6204347826086958,90,0.3952222222222223,0.7692307692307693,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.13333333333333333,0.2777777777777778,NO,0.3780611909411113,NFL-NW001,0.8666666666666667,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW001_0.87
NFL-NW078,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_def_allowed_early_down_epa,<=,-0.0724433265090011,rank_edge_giveaway_rate,>=,3.0,adv_prior_road_miles_last3,>=,422.8974840393614,32,0.533125,22,0.6272727272727271,29,0.2717241379310344,83,0.4667469879518072,0.6875,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.07228915662650602,0.20481927710843373,IND,0.37470109024043624,NFL-NW077,1.0,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW077_1.00
NFL-NW090,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,AWAY,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,adv_prior_road_miles_last4,>=,-22.615351354006503,,,,51,0.7743137254901962,45,0.2671111111111111,51,0.234313725490196,147,0.4317006802721088,0.8421052631578947,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.08163265306122448,0.22448979591836735,ATL,0.355865079911532,NFL-NW085,0.8979591836734694,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW085_0.90
NFL-NW094,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_third_down_success,>=,5.0,adv_prior_road_miles_last4,>=,801.0648497063887,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,40,0.4527500000000001,31,0.6006451612903226,28,0.2271428571428571,99,0.4352525252525252,0.8125,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.0707070707070707,0.20202020202020202,ATL,0.3420337370077958,NFL-NW070,0.7575757575757576,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW070_0.76
NFL-H056,H_SERIES,WATCHLIST,LONG,DOG35_44,AWAY,rank_edge_pass_epa_per_dropback,>=,10.0,,,,,,,53,0.3541509433962264,45,0.2357777777777777,33,0.2884848484848485,131,0.2969465648854962,0.625,0.35,0.4499,+122 to +186,WATCH_NARROW_WINDOW,True,0.09923664122137404,0.22900763358778625,NO,0.3387095601691718,NFL-NW047,0.8931297709923665,,,,,RESEARCH_ONLY,OVERLAPS_NFL-NW047_0.89
