candidate_id,source,source_status,track,price_band,venue,feature1,op1,threshold1,feature2,op2,threshold2,feature3,op3,threshold3,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_roi,positive_season_ratio,live_p_lo,live_p_hi,live_odds_range,price_decision,rule_reproducible,top_team_share,top3_team_share,top_team,robust_score,duplicate_of,max_jaccard_overlap,hard_veto_source,hard_veto_feature,hard_veto_op,hard_veto_threshold,deployment_status,deployment_reason
NFL-NW003,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,AWAY,recent_edge_sack_or_hit_rate,>=,0.0053062448112699,rank_edge_kick_return_average,<=,-9.0,rank_edge_penalty_yards,>=,-5.5,28,0.7046428571428572,30,0.9706666666666668,18,0.7072222222222222,76,0.8102631578947369,0.8666666666666667,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,True,0.09210526315789473,0.2631578947368421,CAR,0.8209965302832104,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW012,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,ANY,adv_prior_road_miles_last4,>=,1044.6112121956917,rank_edge_def_allowed_giveaway_rate,<=,-10.0,rank_edge_punt_return_average,>=,-5.300000000000011,25,0.5348,32,0.554375,24,0.53,81,0.5411111111111112,0.7333333333333333,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.08641975308641975,0.24691358024691357,GB,0.6363787921386329,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW008,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,recent_edge_def_allowed_early_down_epa,<=,-0.0940072839275117,adv_prior_road_miles_last4,>=,801.0648497063887,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,34,0.5555882352941177,20,0.503,20,0.5854999999999999,74,0.5494594594594595,0.6666666666666666,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.08108108108108109,0.21621621621621623,CIN,0.6030641263266078,,0.10714285714285714,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW014,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,dc_team_tenure_seasons,>=,1.0,39,0.4692307692307692,34,0.6461764705882354,25,0.5147999999999999,98,0.5422448979591837,0.7777777777777778,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,False,,,,0.5812336433453037,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW015,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,dc_prior_role_seasons,>=,0.0,39,0.4692307692307692,34,0.6461764705882354,25,0.5147999999999999,98,0.5422448979591837,0.7777777777777778,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.07407407407407407,0.19444444444444445,WAS,0.5812336433453037,,0.12345679012345678,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW026,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,AWAY,dc_team_tenure_seasons,<=,1.0,rank_edge_penalty_yards,>=,-5.5,recent_edge_off_epa_per_play,>=,-0.0112371729515855,52,0.5442307692307692,32,0.6825,22,0.4509090909090909,106,0.5666037735849057,0.9473684210526315,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,False,,,,0.5773312112249207,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW016,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,AWAY,recent_edge_sack_or_hit_rate,>=,0.0053062448112699,rank_edge_kick_return_average,<=,-9.0,recent_edge_rush_epa_per_carry,>=,-0.0754872988005108,32,0.474375,26,1.1219230769230768,21,0.5109523809523809,79,0.6972151898734178,0.6666666666666666,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,True,0.0759493670886076,0.22784810126582278,CAR,0.5751490106155944,,0.5346534653465347,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW027,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,AWAY,dc_team_tenure_seasons,<=,1.0,rank_edge_penalty_yards,>=,-5.5,recent_edge_off_epa,>=,-0.5320208749928329,52,0.5388461538461539,31,0.6393548387096775,22,0.4509090909090909,105,0.5500952380952382,0.8888888888888888,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,False,,,,0.5725499344969505,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW005,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,ANY,recent_edge_punt_return_average,>=,2.347777777777778,recent_edge_third_down_success,>=,0.073765106582444,dc_prior_role_seasons,<=,2.0,39,0.4233333333333333,18,0.8288888888888889,28,0.6117857142857143,85,0.571294117647059,1.0,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.07692307692307693,0.2087912087912088,NYJ,0.5515688064761906,,0.06989247311827956,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW030,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,dc_team_tenure_seasons,<=,2.0,31,0.4438709677419355,20,0.693,19,0.4421052631578946,70,0.5145714285714286,0.6428571428571429,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,False,,,,0.5396612855868225,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW035,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,AWAY,rank_edge_punt_return_average,>=,6.0,rank_edge_def_allowed_explosive_rate,<=,-9.0,adv_prior_road_miles_last4,>=,-22.615351354006503,33,0.466060606060606,20,0.6220000000000001,34,0.4117647058823528,87,0.4806896551724139,0.875,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.05747126436781609,0.1724137931034483,ARI,0.5302526871978183,,0.11805555555555555,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW036,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,dc_team_tenure_seasons,<=,3.0,36,0.5147222222222223,20,1.1570000000000005,18,0.4066666666666667,74,0.662027027027027,0.8461538461538461,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,False,,,,0.5210897673522488,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW034,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0147564808411956,rank_edge_third_down_success,>=,5.0,recent_edge_def_allowed_explosive_rate,<=,-0.0088190417631774,31,0.4590322580645162,24,0.47625,16,0.4199999999999999,71,0.456056338028169,0.625,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.08450704225352113,0.23943661971830985,LAC,0.5162814587179768,,0.11267605633802817,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW007,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,ANY,rank_edge_def_allowed_success_rate,<=,-13.0,rank_edge_third_down_success,>=,7.0,,,,39,0.4064102564102564,36,0.385,21,0.6066666666666667,96,0.4421875,0.7777777777777778,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,True,0.08333333333333333,0.22916666666666666,TB,0.4967790030482115,,0.06707317073170732,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW032,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,ANY,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,rank_edge_punt_return_average,>=,-6.0,36,0.3855555555555556,29,0.6637931034482759,24,0.4275,89,0.4875280898876404,0.7647058823529411,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.07865168539325842,0.20224719101123595,CHI,0.4954667763099137,,0.6694915254237288,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW010,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,AWAY,dc_team_tenure_seasons,<=,1.0,recent_edge_off_epa_per_play,>=,-0.0112371729515855,,,,71,0.3959154929577465,46,0.383695652173913,34,0.5841176470588235,151,0.4345695364238411,0.65,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,False,,,,0.4901700758562422,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW006,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_third_down_success,>=,5.0,rank_edge_sack_or_hit_rate,>=,10.0,,,,44,0.6606818181818184,26,0.365,25,0.6075999999999999,95,0.5657894736842105,0.8235294117647058,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.08421052631578947,0.23157894736842105,GB,0.48032544307339764,,0.27692307692307694,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW031,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,ANY,recent_edge_punt_return_average,>=,2.347777777777778,adv_prior_long_trips_last3,>=,1.0,adv_prior_road_miles_last4,>=,1044.6112121956917,45,0.3380000000000001,30,0.386,35,0.4359999999999999,110,0.3822727272727272,0.8333333333333334,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.06363636363636363,0.19090909090909092,MIA,0.45570148379562236,,0.12352941176470589,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW047,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_pass_epa_per_dropback,>=,10.0,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,,,,47,0.3702127659574468,40,0.39025,30,0.3426666666666667,117,0.37,0.7333333333333333,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.1111111111111111,0.23931623931623933,NO,0.45303797987698735,,0.27848101265822783,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW048,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,ANY,adv_prior_road_miles_last4,>=,1044.6112121956917,rank_edge_def_allowed_giveaway_rate,<=,-10.0,,,,43,0.4562790697674418,42,0.4211904761904763,39,0.3405128205128205,124,0.4079838709677419,0.7368421052631579,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.0967741935483871,0.25806451612903225,MIA,0.45179573106292903,,0.6532258064516129,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW045,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_49,AWAY,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,adv_prior_road_miles_last4,>=,-22.615351354006503,rank_edge_def_allowed_explosive_rate,<=,-9.0,29,0.7913793103448276,26,0.3438461538461539,24,0.3583333333333333,79,0.5125316455696204,0.7142857142857143,0.35,0.4999,PENDING_AUDIT,PENDING_AUDIT,True,0.08860759493670886,0.24050632911392406,NYG,0.4484296882712721,,0.26717557251908397,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW011,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_def_allowed_explosive_rate,<=,-9.0,adv_prior_road_miles_last4,>=,801.0648497063887,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,29,0.56,21,0.3328571428571428,25,0.5736,75,0.5009333333333335,0.8571428571428571,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.10666666666666667,0.24,CHI,0.44830510301336385,,0.2627118644067797,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW001,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG35_44,AWAY,rank_edge_pass_epa_per_dropback,>=,10.0,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,rank_edge_third_down_success,>=,5.0,32,0.340625,26,0.4626923076923076,20,0.7515000000000001,78,0.4866666666666667,0.7272727272727273,0.35,0.4499,PENDING_AUDIT,PENDING_AUDIT,True,0.15384615384615385,0.2948717948717949,NO,0.44610918324908017,,0.6666666666666666,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
NFL-NW049,NEXT_WAVE,RESEARCH_SURVIVOR,LONG,DOG20_34,AWAY,dc_team_tenure_seasons,<=,1.0,recent_edge_off_epa,>=,-0.5320208749928329,,,,72,0.3726388888888888,44,0.3779545454545454,31,0.3387096774193548,147,0.3670748299319727,0.65,0.2,0.3499,PENDING_AUDIT,PENDING_AUDIT,False,,,,0.4448926107880592,,0.0,,,,,WATCHLIST,NEEDS_FINAL_PRICE_OR_ADDITIONAL_DEPLOYMENT_AUDIT
