game_id,season,week,gameday,team,opponent,is_home,coachq_head_coach,coachq_offensive_coordinator,coachq_defensive_coordinator,coachq_hc_prior_role_seasons,coachq_hc_prior_role_games,coachq_hc_prior_quality,coachq_hc_recent_quality,coachq_hc_prior_win_pct,coachq_oc_prior_role_seasons,coachq_oc_prior_role_games,coachq_oc_prior_quality,coachq_oc_recent_quality,coachq_oc_prior_win_pct,coachq_dc_prior_role_seasons,coachq_dc_prior_role_games,coachq_dc_prior_quality,coachq_dc_recent_quality,coachq_dc_prior_win_pct,coachq_hc_current_team_tenure_seasons,coachq_oc_current_team_tenure_seasons,coachq_dc_current_team_tenure_seasons,coachq_prev_head_coach,coachq_prev_offensive_coordinator,coachq_prev_defensive_coordinator,coachq_hc_changed_quality,coachq_hc_quality_delta_vs_departed,coachq_oc_changed_quality,coachq_oc_quality_delta_vs_departed,coachq_dc_changed_quality,coachq_dc_quality_delta_vs_departed,coachq_staff_change_count,coachq_full_staff_stable,coachq_full_staff_overhaul,coachq_staff_quality_mean,coachq_staff_quality_min,coachq_staff_upgrade_count,coachq_staff_downgrade_count,opp_coachq_head_coach,opp_coachq_offensive_coordinator,opp_coachq_defensive_coordinator,opp_coachq_hc_prior_role_seasons,opp_coachq_hc_prior_role_games,opp_coachq_hc_prior_quality,opp_coachq_hc_recent_quality,opp_coachq_hc_prior_win_pct,opp_coachq_oc_prior_role_seasons,opp_coachq_oc_prior_role_games,opp_coachq_oc_prior_quality,opp_coachq_oc_recent_quality,opp_coachq_oc_prior_win_pct,opp_coachq_dc_prior_role_seasons,opp_coachq_dc_prior_role_games,opp_coachq_dc_prior_quality,opp_coachq_dc_recent_quality,opp_coachq_dc_prior_win_pct,opp_coachq_hc_current_team_tenure_seasons,opp_coachq_oc_current_team_tenure_seasons,opp_coachq_dc_current_team_tenure_seasons,opp_coachq_prev_head_coach,opp_coachq_prev_offensive_coordinator,opp_coachq_prev_defensive_coordinator,opp_coachq_hc_changed_quality,opp_coachq_hc_quality_delta_vs_departed,opp_coachq_oc_changed_quality,opp_coachq_oc_quality_delta_vs_departed,opp_coachq_dc_changed_quality,opp_coachq_dc_quality_delta_vs_departed,opp_coachq_staff_change_count,opp_coachq_full_staff_stable,opp_coachq_full_staff_overhaul,opp_coachq_staff_quality_mean,opp_coachq_staff_quality_min,opp_coachq_staff_upgrade_count,opp_coachq_staff_downgrade_count,adv_hc_prior_role_seasons,adv_hc_prior_role_games,adv_hc_prior_quality,adv_hc_recent_quality,adv_hc_prior_win_pct,adv_oc_prior_role_seasons,adv_oc_prior_role_games,adv_oc_prior_quality,adv_oc_recent_quality,adv_oc_prior_win_pct,adv_dc_prior_role_seasons,adv_dc_prior_role_games,adv_dc_prior_quality,adv_dc_recent_quality,adv_dc_prior_win_pct,adv_hc_current_team_tenure_seasons,adv_oc_current_team_tenure_seasons,adv_dc_current_team_tenure_seasons,adv_hc_changed_quality,adv_hc_quality_delta_vs_departed,adv_oc_changed_quality,adv_oc_quality_delta_vs_departed,adv_dc_changed_quality,adv_dc_quality_delta_vs_departed,adv_staff_change_count,adv_full_staff_stable,adv_full_staff_overhaul,adv_staff_quality_mean,adv_staff_quality_min,adv_staff_upgrade_count,adv_staff_downgrade_count
2026_01_NE_SEA,2026,1,2026-09-09,SEA,NE,1,Mike Macdonald,Brian Fleury,Aden Durde,2,31.0,0.6911764705882353,0.8823529411764706,0.6911764705882353,0.0,0.0,,,,2.0,31.0,0.828125,1.0,0.6911764705882353,2,0,2,Mike Macdonald,Klint Kubiak,Aden Durde,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,0.7596507352941176,0.6911764705882353,0,0,Mike Vrabel,Josh McDaniels,Zak Kuhr,5,74.0,0.5759462759462759,0.8888888888888888,0.5759462759462759,12.0,187.0,0.828125,1.0,0.7313390313390312,0.0,0.0,,,,1,1,0,Mike Vrabel,Josh McDaniels,Terrell Williams,0.0,0.0,0.0,0.0,1.0,,1.0,0,0,0.702035637973138,0.5759462759462759,0,0,-3,-43.0,0.11523019464195938,-0.006535947712418277,0.11523019464195938,-12.0,-187.0,,,,2.0,31.0,,,,1,-1,2,0.0,0.0,1.0,,-1.0,,0.0,0,0,0.05761509732097969,0.11523019464195938,0,0
2026_01_SF_LA,2026,1,2026-09-10,LA,SF,1,Sean McVay,Nate Scheelhasse,Chris Shula,7,110.0,0.6086067760437509,0.7058823529411765,0.6086067760437509,0.0,0.0,,,,2.0,33.0,0.453125,0.6875,0.6654411764705883,5,0,2,Sean McVay,Mike LaFleur,Chris Shula,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,0.5308658880218755,0.453125,0,0,Kyle Shanahan,Klay Kubiak,Raheem Morris,7,107.0,0.5333248684089019,0.625,0.5333248684089019,1.0,16.0,0.78125,0.78125,0.625,3.0,47.0,0.4895833333333333,0.375,0.5121693121693122,5,1,0,Kyle Shanahan,Klay Kubiak,Robert Saleh,0.0,0.0,0.0,0.0,1.0,0.19791666666666663,1.0,0,0,0.6013860672474117,0.4895833333333333,1,0,0,3.0,0.07528190763484899,0.08088235294117652,0.07528190763484899,-1.0,-16.0,,,,-1.0,-14.0,-0.036458333333333315,0.3125,0.15327186430127615,0,-1,2,0.0,0.0,1.0,,-1.0,-0.19791666666666663,0.0,0,0,-0.07052017922553622,-0.036458333333333315,-1,0
2026_01_CHI_CAR,2026,1,2026-09-13,CAR,CHI,1,Dave Canales,Brad Idzik,Ejiro Evero,2,29.0,0.3761904761904762,0.4666666666666667,0.3761904761904762,2.0,29.0,0.1875,0.21875,0.3761904761904762,4.0,57.0,0.375,0.28125,0.2773809523809524,2,2,3,Dave Canales,Brad Idzik,Ejiro Evero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.3128968253968254,0.1875,0,0,Ben Johnson,Press Taylor,Dennis Allen,1,16.0,0.6875,0.6875,0.6875,3.0,44.0,0.53125,0.46875,0.4523809523809524,6.0,88.0,0.5520833333333334,0.5,0.6321047008547008,1,0,1,Ben Johnson,Declan Doyle,Dennis Allen,0.0,0.0,1.0,-0.28125,0.0,0.0,1.0,0,0,0.5902777777777778,0.53125,0,1,1,13.0,-0.3113095238095238,-0.22083333333333333,-0.3113095238095238,-1.0,-15.0,-0.34375,-0.25,-0.0761904761904762,-2.0,-31.0,-0.17708333333333337,-0.21875,-0.35472374847374843,1,2,2,0.0,0.0,-1.0,0.28125,0.0,0.0,-1.0,1,0,-0.2773809523809524,-0.34375,0,-1
2026_01_TB_CIN,2026,1,2026-09-13,CIN,TB,1,Zac Taylor,Dan Pitcher,Al Golden,5,76.0,0.5847222222222223,0.2857142857142857,0.5847222222222223,2.0,28.0,0.640625,0.46875,0.4642857142857143,1.0,14.0,0.09375,0.09375,0.2857142857142857,5,2,1,Zac Taylor,Dan Pitcher,Al Golden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.43969907407407405,0.09375,0,0,Todd Bowles,Zac Robinson,Todd Bowles,8,112.0,0.4065018315018315,0.35714285714285715,0.4065018315018315,2.0,28.0,0.4375,0.34375,0.5,3.0,43.0,0.8645833333333334,0.84375,0.6712454212454212,4,0,0,Todd Bowles,Josh Grizzard,Larry Foote & Charlie Strong,0.0,0.0,1.0,0.0625,1.0,0.48958333333333337,2.0,0,0,0.5695283882783883,0.4065018315018315,2,0,-3,-36.0,0.17822039072039075,-0.07142857142857145,0.17822039072039075,0.0,0.0,0.203125,0.125,-0.0357142857142857,-2.0,-29.0,-0.7708333333333334,-0.75,-0.3855311355311355,1,2,1,0.0,0.0,-1.0,-0.0625,-1.0,-0.48958333333333337,-2.0,1,0,-0.1298293142043142,-0.3127518315018315,-2,0
2026_01_NO_DET,2026,1,2026-09-13,DET,NO,1,Dan Campbell,Drew Petzing,Kelvin Sheppard,5,74.0,0.5716526610644258,0.5,0.5716526610644258,3.0,42.0,0.4270833333333333,0.3125,0.2619047619047619,1.0,14.0,0.5625,0.5625,0.5,5,0,1,Dan Campbell,John Morton,Kelvin Sheppard,0.0,0.0,1.0,-0.11979166666666669,0.0,0.0,1.0,0,0,0.5204119981325864,0.4270833333333333,0,1,Kellen Moore,Doug Nussmeier,Brandon Staley,1,14.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,14.0,0.1875,0.1875,0.42857142857142855,1.0,14.0,0.75,0.75,0.42857142857142855,1,1,1,Kellen Moore,Doug Nussmeier,Brandon Staley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.45535714285714285,0.1875,0,0,4,60.0,0.14308123249299726,0.07142857142857145,0.14308123249299726,2.0,28.0,0.23958333333333331,0.125,-0.16666666666666663,0.0,0.0,-0.1875,-0.1875,0.07142857142857145,4,-1,0,0.0,0.0,1.0,-0.11979166666666669,0.0,0.0,1.0,-1,0,0.06505485527544358,0.23958333333333331,0,1
2026_01_BUF_HOU,2026,1,2026-09-13,HOU,BUF,1,DeMeco Ryans,Nick Caley,Matt Burke,3,48.0,0.6666666666666666,0.8125,0.6666666666666666,1.0,16.0,0.28125,0.28125,0.8125,5.0,74.0,0.6,0.96875,0.5384615384615385,3,1,3,DeMeco Ryans,Nick Caley,Matt Burke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.5159722222222222,0.28125,0,0,Joe Brady,Pete Carmichael Jr.,Jim Leonhard,0,0.0,,,,13.0,184.0,0.7596153846153846,0.4375,0.6072449985911524,0.0,0.0,,,,0,0,0,Sean McDermott,Joe Brady,Bobby Babich,1.0,,1.0,0.08253205128205121,1.0,,3.0,0,1,0.7596153846153846,0.7596153846153846,1,0,3,48.0,,,,-12.0,-168.0,-0.4783653846153846,-0.15625,0.20525500140884756,5.0,74.0,,,,3,1,3,-1.0,,-1.0,-0.08253205128205121,-1.0,,-3.0,1,-1,-0.24364316239316242,-0.4783653846153846,-1,0
2026_01_BAL_IND,2026,1,2026-09-13,IND,BAL,1,Shane Steichen,Jim Bob Cooter,Lou Anarumo,3,42.0,0.4523809523809524,0.35714285714285715,0.4523809523809524,6.0,82.0,0.515625,0.84375,0.4752747252747253,5.0,76.0,0.425,0.53125,0.5990079365079366,3,3,1,Shane Steichen,Jim Bob Cooter,Lou Anarumo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.4643353174603175,0.425,0,0,Jesse Minter,Declan Doyle,Anthony Weaver,0,0.0,,,,1.0,16.0,0.8125,0.8125,0.6875,2.0,28.0,0.484375,0.25,0.5,0,0,0,John Harbaugh,Todd Monken,Zach Orr,1.0,,1.0,0.015625,1.0,-0.15625,3.0,0,1,0.6484375,0.484375,1,1,3,42.0,,,,5.0,66.0,-0.296875,0.03125,-0.2122252747252747,3.0,48.0,-0.05937500000000001,0.28125,0.0990079365079366,3,3,1,-1.0,,-1.0,-0.015625,-1.0,0.15625,-3.0,1,-1,-0.18410218253968252,-0.05937500000000001,-1,-1
2026_01_CLE_JAX,2026,1,2026-09-13,JAX,CLE,1,Liam Coen,Grant Udinski,Anthony Campanile,1,15.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.0,15.0,0.59375,0.59375,0.7333333333333333,1.0,15.0,0.9375,0.9375,0.7333333333333333,1,1,1,Liam Coen,Grant Udinski,Anthony Campanile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.7548611111111111,0.59375,0,0,Todd Monken,Travis Switzer,Mike Rutenberg,0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0,0,0,Kevin Stefanski,Tommy Rees,Jim Schwartz,1.0,,1.0,,1.0,,3.0,0,1,,,0,0,1,15.0,,,,1.0,15.0,,,,1.0,15.0,,,,1,1,1,-1.0,,-1.0,,-1.0,,-3.0,1,-1,,,0,0
2026_01_ATL_PIT,2026,1,2026-09-13,PIT,ATL,1,Mike McCarthy,Brian Angelichio,Patrick Graham,17,242.0,0.5998962254585092,0.42857142857142855,0.5998962254585092,0.0,0.0,,,,5.0,70.0,0.425,0.34375,0.3142857142857142,0,0,0,Mike Tomlin,Arthur Smith,Teryl Austin,1.0,-0.013414483440435054,1.0,,1.0,-0.08671875000000001,3.0,0,1,0.5124481127292546,0.425,0,2,Kevin Stefanski,Tommy Rees,Jeff Ulbrich,5,71.0,0.3628571428571428,0.2857142857142857,0.3628571428571428,1.0,14.0,0.0625,0.0625,0.2857142857142857,5.0,70.0,0.5375,0.59375,0.3714285714285714,0,0,1,Raheem Morris,Zac Robinson,Jeff Ulbrich,1.0,-0.0371428571428572,1.0,-0.375,0.0,0.0,2.0,0,0,0.32095238095238093,0.0625,0,2,12,171.0,0.23703908260136636,0.14285714285714285,0.23703908260136636,-1.0,-14.0,,,,0.0,0.0,-0.11249999999999999,-0.25,-0.05714285714285716,0,0,-1,0.0,0.023728373702422145,0.0,,1.0,-0.08671875000000001,1.0,0,1,0.19149573177687368,0.3625,0,0
2026_01_NYJ_TEN,2026,1,2026-09-13,TEN,NYJ,1,Robert Saleh,Brian Daboll,Gus Bradley,4,56.0,0.33928571428571425,0.21428571428571427,0.33928571428571425,6.0,81.0,0.296875,0.875,0.38621794871794873,10.0,141.0,0.55625,0.5,0.5009157509157509,0,0,0,Brian Callahan,Nick Holz,Dennard Wilson,1.0,0.12499999999999997,1.0,0.1875,1.0,0.24375000000000002,3.0,0,1,0.3974702380952381,0.296875,3,0,Aaron Glenn,Frank Reich,Brian Duker,1,14.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,4.0,55.0,0.6171875,0.78125,0.4879807692307692,0.0,0.0,,,,1,0,0,Aaron Glenn,Tanner Engstrand,Steve Wilks,0.0,0.0,1.0,0.4609375,1.0,,2.0,0,0,0.41573660714285715,0.21428571428571427,1,0,3,42.0,0.12499999999999997,0.0,0.12499999999999997,2.0,26.0,-0.3203125,0.09375,-0.10176282051282048,10.0,141.0,,,,-1,0,0,1.0,0.12499999999999997,0.0,-0.2734375,0.0,,1.0,0,1,-0.018266369047619024,0.08258928571428573,2,0
