method,season,week,team,opponent,moneyline,record_gap,run_def_rank,preseason_wins,preseason_win_pct
original,2010,2,DAL,CHI,-315.0,0.25,5.0,,
original,2010,2,MIN,MIA,-222.0,0.3125,1.0,,
original,2013,3,MIN,CLE,-290.0,0.3125,5.0,,
original,2014,1,LA,MIN,-155.0,0.09375,4.0,,
original,2016,1,ARI,NE,-380.0,0.0625,2.0,,
original,2017,1,NE,KC,-441.0,0.125,10.0,,
original,2017,1,HOU,JAX,-225.0,0.375,3.0,,
original,2017,2,NYG,DET,-167.0,0.125,4.0,,
original,2018,1,ARI,WAS,-129.0,0.0625,4.0,,
original,2019,1,CHI,GB,-178.0,0.34375,2.0,,
original,2021,2,SEA,TEN,-286.0,0.0625,8.0,,
original,2021,4,NO,NYG,-337.0,0.375,5.0,,
original,2022,1,LA,BUF,106.0,0.05882352941176472,7.0,,
original,2024,2,DAL,NO,-290.0,0.17647058823529416,7.0,,
original,2025,2,MIN,ATL,-180.0,0.35294117647058826,1.0,,
original,2025,2,MIA,NE,-125.0,0.2352941176470588,10.0,,
stricter,2010,2,DAL,CHI,-315.0,0.25,5.0,,
stricter,2010,2,MIN,MIA,-222.0,0.3125,1.0,,
stricter,2013,3,MIN,CLE,-290.0,0.3125,5.0,,
stricter,2017,1,HOU,JAX,-225.0,0.375,3.0,,
stricter,2019,1,CHI,GB,-178.0,0.34375,2.0,,
stricter,2021,4,NO,NYG,-337.0,0.375,5.0,,
stricter,2024,2,DAL,NO,-290.0,0.17647058823529416,7.0,,
stricter,2025,2,MIN,ATL,-180.0,0.35294117647058826,1.0,,
stricter,2025,2,MIA,NE,-125.0,0.2352941176470588,10.0,,
