method,bucket,n,wins,losses,win_pct,roi,units,recent_n,recent_roi
original,<= -400,23,22,1,0.9565217391304348,0.12259017526708746,2.8195740311430115,6,0.19806590900598595
original,-399 to -300,19,16,3,0.8421052631578947,0.08965704382876835,1.7034838327465986,8,0.11992798957169587
original,-299 to -200,22,17,5,0.7727272727272727,0.08027106518538098,1.7659634340783814,7,-0.0005704742609784168
original,-199 to -150,12,8,4,0.6666666666666666,0.03975074304965911,0.47700891659590927,5,0.20822768501339936
original,-149 to -110,10,8,2,0.8,0.41254522635497226,4.125452263549723,4,0.31090284813689073
original,-109 to -100,2,2,0,1.0,0.9667476181580421,1.9334952363160842,0,
original,underdog,3,2,1,0.6666666666666666,0.5633333333333334,1.6900000000000002,2,0.050000000000000044
stricter,<= -400,21,21,0,1.0,0.17263806066006943,3.6253992738614578,6,0.19806590900598595
stricter,-399 to -300,14,12,2,0.8571428571428571,0.11192497851522971,1.566949699213216,6,0.06810472048971934
stricter,-299 to -200,16,12,4,0.75,0.042061722462196215,0.6729875593951394,4,0.04425760013067859
stricter,-199 to -150,5,3,2,0.6,-0.0927824159967017,-0.4639120799835085,4,0.1340219800041229
stricter,-149 to -110,6,5,1,0.8333333333333334,0.5084411702253223,3.050647021351934,3,0.17813051146384482
stricter,-109 to -100,1,1,0,1.0,0.9433962264150944,0.9433962264150944,0,
stricter,underdog,1,1,0,1.0,1.59,1.59,0,
