method,feature,op,threshold,score,train_risk_n,train_risk_roi,validation_risk_n,validation_risk_roi,train_safe_roi,validation_safe_roi
original,ats_margin,<=,-4.199999999999999,0.329788545947618,5,-0.5369458128078818,12,-0.47795172311109485,0.334372818679341,0.5326861460826473
original,last_pre_def_allowed_rush_epa_per_carry,<=,-0.1507945989343572,0.24006086140663246,13,-0.0551888523256054,19,0.00721608808054936,0.39334853248169005,0.38977125753031105
original,last_rank_sack_rate_allowed,<=,16.0,0.18880809348829564,13,0.0007799578431711888,19,0.0402734497809434,0.3327156547988488,0.3478985993764786
original,opp_last_rank_def_allowed_giveaway_rate,<=,14.799999999999997,0.09719017759867662,9,0.01158851236244344,5,-0.2090515540129935,0.24365191864283875,0.24237697608793352
original,over_odds,>=,-103.0,0.09638661357064857,6,-0.028463436621439964,7,-0.08560349317208751,0.21965831206716055,0.24381107365517465
original,opp_last_pre_def_allowed_rush_epa_per_carry,<=,-0.0626388625400308,0.08915889831164435,9,-0.037584826511458704,14,0.11912350754871286,0.27131192175940866,0.2157972715401562
original,opp_last_pre_rush_epa_per_carry,>=,-0.05263849383042517,0.08582698953435537,5,-0.12434111227214677,10,0.06937335351237621,0.23122164354540722,0.22041420839005588
original,last_rank_points_against,<=,2.8000000000000007,0.08193785890786885,5,0.03680784232508366,8,-0.13497853674513108,0.19093440489609964,0.27167318578639044
original,under_odds,<=,-107.0,0.08047918158429015,6,-0.028463436621439964,8,0.03285556416407859,0.21965831206716055,0.22003192396817212
original,opp_last_rank_def_allowed_rush_epa_per_carry,<=,13.8,0.07754025696131643,5,0.008501962227127758,8,-0.08339559651295114,0.1980108749205886,0.2558015118687966
original,last_pre_pass_epa_per_dropback,>=,0.210529376578337,0.07589343383681857,5,-0.028820459970487433,5,-0.19194320111128263,0.2073414804699924,0.2394272600703971
original,opp_last_pre_def_allowed_giveaway_rate,>=,0.025968492441944727,0.07419420562869328,9,0.01158851236244344,3,-0.13808715336728922,0.24365191864283875,0.20638503214796683
original,last_pre_point_margin,>=,9.575000000000001,0.06280159661316045,5,-0.041720570345763354,6,-0.029474181389038272,0.21056650806381136,0.2200185580292619
original,last_pre_off_epa_per_play,>=,0.09408319170148617,0.0611180522694361,5,-0.0014262946452876291,7,-0.04725123422560109,0.20049293913869243,0.23386789540978928
original,away_spread_odds,<=,-112.4,0.05675490312084114,5,0.0710357331046986,6,-0.10458739615293015,0.1823774322011959,0.23611424690723873
original,opp_last_rank_def_allowed_sack_or_hit_rate,>=,26.200000000000003,0.04619886856286039,5,0.086164601681843,8,0.057222533520056906,0.1785952150569098,0.21253439493556334
stricter,ats_margin,<=,-5.499999999999999,0.2601514779343433,4,-0.7068965517241379,5,-0.28540100250626566,0.24151263620045554,0.5332076942855595
stricter,last_pre_def_allowed_success_rate,>=,0.39368514540585964,0.12205310541525519,4,-0.3844327836081959,11,0.2750705869092008,0.16089669417147004,0.40785416400364155
stricter,opp_last_pre_rush_epa_per_carry,>=,-0.0571947277027467,0.10971611402027805,4,-0.3290375014512946,4,0.13217217565043654,0.1470478736322447,0.38680172902563986
stricter,opp_last_rank_def_allowed_rush_epa_per_carry,<=,12.8,0.10914961521944375,4,-0.0445601851851852,5,-0.0888581743620708,0.07592854456571736,0.4717880604904986
stricter,last_pre_success_rate,>=,0.43572730191536363,0.10596529744895558,7,-0.12351600997758058,5,0.0776875688933201,0.14624831093490778,0.419742515723189
stricter,home_spread_odds,>=,101.7,0.10060264106921267,7,-0.07170917023133774,4,-0.04892654877484974,0.11835232030231548,0.4294131935962955
stricter,opp_last_pre_def_allowed_rush_epa_per_carry,<=,-0.07519935307548177,0.09690784399599424,7,-0.1177366936472897,8,0.2425254958876407,0.14313637137244345,0.39723954837973063
stricter,total,<=,29.200000000000003,0.09274287462497766,4,-0.10109945027486258,4,-0.12511446886446886,0.09006336083813671,0.4473397630291471
stricter,last_rank_points_against,<=,2.8000000000000003,0.06464912603928427,4,-0.06660280970625802,6,0.1533619510064919,0.08143920069598556,0.41227642599991143
stricter,opp_last_rank_def_allowed_explosive_rate,<=,9.4,0.05365736282910366,4,-0.002596003134796271,3,0.08033842467804732,0.06543749905312013,0.38129460122241565
stricter,last_rank_points_against,>=,10.600000000000003,0.03562630731347988,4,-0.031071585419411518,4,0.28597174687434523,0.07255639462427393,0.3506135946200143
