method_id,source,track,price_band,venue,full_n_reg,full_roi_reg,train_n_reg,train_roi_reg,validation_n_reg,validation_roi_reg,holdout_n_reg,holdout_roi_reg,min_week,median_week,max_week,recommended_start_week,timing_decision,reg_only_survives,W4_6_n,W4_6_roi,W7_10_n,W7_10_roi,W11_14_n,W11_14_roi,W15_18_n,W15_18_roi
NFL-NW018,NEXT_WAVE,LONG,DOG20_34,AWAY,62,0.5535483870967742,19,0.7357894736842105,22,0.2936363636363637,21,0.660952380952381,4,10.5,17,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,False,15,0.7166666666666667,16,0.22562500000000002,10,0.9219999999999999,21,0.5114285714285715
NFL-NW024,NEXT_WAVE,LONG,DOG35_49,ANY,163,0.41331288343558287,59,0.3766101694915254,55,0.392909090909091,49,0.4804081632653061,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,28,0.5557142857142858,52,0.49538461538461537,47,0.18808510638297873,36,0.47805555555555557
NFL-NW031,NEXT_WAVE,LONG,DOG35_49,ANY,71,0.42014084507042254,33,0.37303030303030305,16,0.423125,22,0.48863636363636365,5,10.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,11,0.38000000000000006,30,0.6969999999999998,12,0.031666666666666676,18,0.2422222222222222
NFL-NW050,NEXT_WAVE,MODERN,PK_55,AWAY,106,0.2277797819161287,38,0.21502913700439355,18,0.23921214370353006,25,0.3018436351455573,4,9.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,23,0.26813882532418004,37,0.5226206980002974,31,0.03130638950459649,15,-0.15533333333333335
NFL-NW073,NEXT_WAVE,LONG,DOG35_49,ANY,155,0.2929677419354839,59,0.2094915254237288,46,0.4034782608695652,50,0.28979999999999995,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,31,0.5329032258064517,43,0.3513953488372093,46,0.07065217391304346,35,0.3008571428571428
NFL-NW075,NEXT_WAVE,LONG,DOG35_49,ANY,293,0.2710921501706484,113,0.22557522123893803,91,0.31813186813186817,89,0.28078651685393263,4,12.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,53,0.3983018867924528,71,0.2861971830985916,88,0.2736363636363636,81,0.17185185185185184
NFL-NW076,NEXT_WAVE,LONG,DOG35_49,AWAY,99,0.4522222222222222,36,0.6511111111111111,26,0.43076923076923074,37,0.2737837837837838,4,10.0,17,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,28,0.4028571428571429,24,0.7383333333333333,28,0.17035714285714287,19,0.5789473684210527
NFL-NW079,NEXT_WAVE,LONG,DOG35_44,AWAY,137,0.34430656934306564,53,0.390943396226415,42,0.33071428571428574,42,0.299047619047619,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,8,0.2325,48,0.3914583333333333,46,0.24652173913043474,35,0.4337142857142857
NFL-NW084,NEXT_WAVE,LONG,DOG35_44,AWAY,181,0.33331491712707184,76,0.35697368421052633,56,0.35446428571428573,49,0.2724489795918368,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,25,0.524,48,0.31895833333333334,63,0.3014285714285714,45,0.28733333333333333
NFL-NW093,NEXT_WAVE,LONG,DOG35_49,ANY,166,0.35259036144578315,64,0.33562500000000006,47,0.4704255319148936,55,0.2716363636363637,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,22,0.6095454545454545,58,0.5537931034482758,51,0.060196078431372556,35,0.2837142857142858
NFL-NW112,NEXT_WAVE,LONG,DOG35_49,AWAY,129,0.4314728682170542,49,0.5626530612244898,31,0.5993548387096774,49,0.19408163265306122,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,35,0.27085714285714285,38,0.4526315789473685,37,0.41432432432432426,19,0.718421052631579
NFL-NW115,NEXT_WAVE,LONG,DOG35_49,AWAY,110,0.43063636363636365,42,0.42619047619047623,35,0.6322857142857143,33,0.2224242424242424,4,10.5,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,30,0.451,25,0.6260000000000001,33,0.26181818181818184,22,0.434090909090909
NFL-NW116,NEXT_WAVE,LONG,DOG35_49,ANY,212,0.3260377358490566,72,0.4716666666666667,66,0.2328787878787879,74,0.2674324324324325,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,21,0.42952380952380953,80,0.42750000000000005,61,0.2019672131147541,50,0.27159999999999995
NFL-NW123,NEXT_WAVE,MODERN,DOG35_44,AWAY,130,0.34492307692307694,32,0.3121875,21,0.44476190476190475,32,0.148125,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,19,0.32,41,0.4078048780487806,36,0.37333333333333335,34,0.2529411764705883
NFL-NW127,NEXT_WAVE,LONG,DOG35_49,ANY,166,0.3547590361445783,59,0.45474576271186434,48,0.32749999999999996,59,0.2769491525423729,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,18,0.10111111111111114,58,0.4898275862068966,56,0.22767857142857142,34,0.46794117647058825
NFL-NW131,NEXT_WAVE,MODERN,FAV65_75,AWAY,98,0.2045452481804447,25,0.32906038669488347,19,0.20223668547125281,24,0.1524749376081541,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,22,0.17347160047922328,25,0.16304006417790956,19,0.2948987950002017,32,0.20468688755278427
NFL-NW138,NEXT_WAVE,LONG,DOG35_49,ANY,237,0.24383966244725738,86,0.28593023255813954,63,0.3379365079365079,88,0.13534090909090912,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,40,0.531,64,0.506875,69,-0.05376811594202899,64,0.1221875
NFL-NW150,NEXT_WAVE,MODERN,DOG35_44,ANY,107,0.2302803738317757,27,0.28592592592592597,19,0.3052631578947368,26,0.16461538461538466,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,23,0.27173913043478265,26,0.6565384615384617,30,0.05099999999999998,28,-0.007499999999999999
NFL-NW157,NEXT_WAVE,LONG,DOG35_49,ANY,101,0.22960396039603959,30,0.3333333333333333,31,0.26,40,0.12824999999999998,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,18,0.22444444444444445,28,0.3735714285714286,33,0.2660606060606061,22,-0.004090909090909054
NFL-C001,COACHING,LONG,DOG35_49,AWAY,140,0.3293571428571428,69,0.3349275362318841,32,0.333125,39,0.3164102564102564,4,9.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,44,0.1911363636363637,35,0.56,37,0.2716216216216216,24,0.3354166666666667
NFL-C002,COACHING,LONG,DOG35_49,AWAY,175,0.30948571428571425,68,0.2925,62,0.28548387096774197,45,0.36822222222222223,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,41,0.3275609756097561,59,0.3952542372881356,42,0.17214285714285715,33,0.30848484848484853
NFL-C003,COACHING,LONG,DOG35_44,AWAY,122,0.37377049180327865,59,0.4149152542372882,30,0.41833333333333333,33,0.2596969696969697,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,37,0.4359459459459458,31,0.2961290322580646,28,0.23035714285714284,26,0.5323076923076923
NFL-C004,COACHING,LONG,DOG35_44,ANY,123,0.44926829268292673,53,0.6813207547169812,25,0.3724,45,0.21866666666666668,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,25,0.9056000000000001,34,0.5429411764705883,36,0.18611111111111112,28,0.2664285714285714
NFL-C005,COACHING,LONG,DOG35_49,AWAY,176,0.22670454545454544,66,0.28106060606060607,65,0.2098461538461538,45,0.17133333333333337,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,37,0.2291891891891892,52,0.3807692307692307,55,0.09799999999999998,32,0.19468749999999996
NFL-C006,COACHING,LONG,DOG35_49,AWAY,167,0.3032335329341317,64,0.38484375,54,0.25648148148148153,49,0.24816326530612248,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,37,0.62,54,0.41574074074074074,46,-0.18434782608695657,30,0.45766666666666667
NFL-C007,COACHING,LONG,DOG35_49,AWAY,205,0.2716585365853658,110,0.3093636363636363,38,0.3078947368421052,57,0.17473684210526313,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,60,0.1733333333333333,48,0.35958333333333337,50,0.314,47,0.26234042553191483
NFL-C008,COACHING,MODERN,DOG35_44,HOME,191,0.16445026178010475,55,0.30454545454545456,31,0.22580645161290322,59,0.09966101694915254,4,10.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,False,42,0.3976190476190476,58,0.12827586206896555,58,0.05913793103448276,33,0.11636363636363636
NFL-C009,COACHING,LONG,DOG35_49,AWAY,140,0.31321428571428567,70,0.365,27,0.4281481481481481,43,0.15674418604651158,4,10.5,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,35,0.29571428571428576,35,0.2988571428571429,39,0.45435897435897443,31,0.17161290322580647
NFL-C010,COACHING,MODERN,DOG35_44,HOME,190,0.15552631578947368,49,0.41551020408163264,30,0.199,58,0.11827586206896552,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,37,0.33108108108108103,55,0.19472727272727275,62,0.09758064516129031,36,0.015000000000000006
NFL-C011,COACHING,LONG,DOG35_49,ANY,197,0.24959390862944164,90,0.30833333333333335,44,0.31318181818181823,63,0.12126984126984126,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,47,0.2734042553191489,55,0.5458181818181819,56,0.0375,39,0.1076923076923077
NFL-C012,COACHING,LONG,DOG35_44,ANY,325,0.24541538461538462,130,0.32446153846153847,81,0.28061728395061725,114,0.13026315789473683,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,70,0.16728571428571426,95,0.2990526315789474,88,0.24227272727272728,72,0.2544444444444445
NFL-C013,COACHING,LONG,DOG35_49,AWAY,211,0.26132701421800947,76,0.39368421052631575,76,0.20184210526315785,59,0.1674576271186441,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,46,0.6217391304347826,65,0.3650769230769231,62,-0.20032258064516126,38,0.4007894736842106
NFL-C014,COACHING,MODERN,DOG35_44,HOME,232,0.15426724137931033,60,0.2905,39,0.2753846153846154,67,0.12328358208955226,4,12.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,41,0.025121951219512238,55,0.15618181818181825,84,0.1595238095238095,52,0.24557692307692308
NFL-T001,TRAVEL,MODERN,DOG35_44,AWAY,321,0.17389408099688475,96,0.12677083333333336,38,0.12710526315789475,93,0.2295698924731183,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,46,0.25347826086956526,98,0.058469387755102034,94,0.1595744680851064,83,0.28228915662650605
NFL-T002,TRAVEL,LONG,DOG35_44,AWAY,128,0.338984375,47,0.5559574468085106,39,0.1794871794871795,42,0.24428571428571433,4,11.5,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,34,0.2529411764705883,22,0.3909090909090909,36,0.5319444444444444,36,0.1955555555555555
NFL-T003,TRAVEL,MODERN,DOG35_44,ANY,189,0.13428571428571429,53,0.08037735849056603,30,0.146,56,0.16982142857142857,4,6.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,106,0.11547169811320757,28,0.05464285714285715,34,0.1897058823529412,21,0.2457142857142857
NFL-T004,TRAVEL,MODERN,DOG35_44,AWAY,267,0.13794007490636706,77,0.07545454545454545,30,0.259,84,0.1286904761904762,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,37,0.14081081081081082,84,-0.007261904761904763,76,0.2130263157894737,70,0.22914285714285712
NFL-T005,TRAVEL,LONG,DOG35_49,AWAY,188,0.11329787234042556,63,0.1088888888888889,62,0.07483870967741936,63,0.15555555555555556,4,5.0,16,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,170,0.11376470588235293,15,0.010666666666666677,2,1.4,1,-1.0
NFL-T006,TRAVEL,LONG,FAV55_65,AWAY,256,0.11064354845924795,94,0.12295665085098094,73,0.084593250112967,89,0.11900579738571541,5,12.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,37,0.09115668312886975,56,0.12396964971422451,93,0.0986947841759281,70,0.12615765453487726
NFL-T007,TRAVEL,LONG,DOG35_44,ANY,276,0.19637681159420292,95,0.31894736842105265,76,0.15763157894736846,105,0.11352380952380951,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,31,-0.03677419354838708,93,0.11182795698924733,91,0.28362637362637366,61,0.31360655737704923
NFL-T008,TRAVEL,LONG,DOG35_49,ANY,439,0.098246013667426,147,0.1378231292517007,130,0.06815384615384619,162,0.0864814814814815,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,False,43,-0.11186046511627908,141,0.11141843971631206,154,0.11220779220779219,101,0.14801980198019798
NFL-T009,TRAVEL,LONG,DOG35_44,AWAY,367,0.14348773841961857,134,0.19858208955223886,112,0.10241071428571431,121,0.12049586776859506,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,52,0.25557692307692303,108,0.14537037037037037,121,0.15702479338842976,86,0.05430232558139535
NFL-T010,TRAVEL,LONG,FAV55_65,AWAY,222,0.12120433009504736,84,0.1587411145512295,67,0.08281229163466475,71,0.11302371998978444,4,12.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,33,0.02375385431787112,53,0.06282485536099053,76,0.20580795878481245,60,0.11920603144720861
NFL-T011,TRAVEL,LONG,DOG35_49,AWAY,375,0.12357333333333334,133,0.18270676691729323,115,0.07826086956521741,127,0.10267716535433073,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,49,0.09020408163265306,113,0.021769911504424793,125,0.21783999999999998,88,0.13897727272727273
NFL-T012,TRAVEL,MODERN,DOG35_44,AWAY,418,0.12672248803827751,118,0.05872881355932202,55,0.23836363636363633,121,0.08512396694214876,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,False,58,0.25775862068965516,129,0.08728682170542638,129,0.13054263565891472,102,0.09725490196078432
NFL-T013,TRAVEL,LONG,DOG20_34,AWAY,204,0.17563725490196078,87,-0.04436781609195402,67,0.38985074626865673,50,0.27140000000000003,4,5.0,17,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,False,148,0.18337837837837836,15,0.16200000000000003,18,0.33666666666666667,23,0.00869565217391305
