next_method_id,track,type,price_band,venue,semantic_signature,pre_score,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_roi,full_positive_seasons,full_active_seasons,feature1,op1,threshold1,feature2,op2,threshold2,feature3,op3,threshold3,season_ratio
NFL-NW001,LONG,TRIPLE,DOG35_44,AWAY,PASSING+PRESSURE+THIRD_DOWN,0.8501173076923076,32,0.34062500000000007,26,0.4626923076923076,20,0.7515000000000001,78,0.4866666666666667,8,11,rank_edge_pass_epa_per_dropback,>=,10.0,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,rank_edge_third_down_success,>=,5.0,0.7272727272727273
NFL-NW002,LONG,PAIR,DOG20_34,AWAY,PRESSURE+SPECIAL_TEAMS,1.1738043478260871,46,0.32630434782608697,40,0.7675000000000001,29,0.7220689655172413,115,0.5795652173913043,12,17,recent_edge_sack_or_hit_rate,>=,0.005306244811269951,rank_edge_kick_return_average,<=,-9.0,,,,0.7058823529411765
NFL-NW003,LONG,TRIPLE,DOG20_34,AWAY,PENALTY+PRESSURE+SPECIAL_TEAMS,1.725709523809524,28,0.7046428571428572,30,0.9706666666666667,18,0.7072222222222222,76,0.8102631578947369,13,15,recent_edge_sack_or_hit_rate,>=,0.005306244811269951,rank_edge_kick_return_average,<=,-9.0,rank_edge_penalty_yards,>=,-5.5,0.8666666666666667
NFL-NW004,LONG,PAIR,DOG35_44,AWAY,PASSING+THIRD_DOWN,0.6863153153153154,37,0.35864864864864865,30,0.26766666666666666,23,0.6204347826086958,90,0.3952222222222223,10,13,rank_edge_pass_epa_per_dropback,>=,10.0,rank_edge_third_down_success,>=,5.0,,,,0.7692307692307693
NFL-NW005,LONG,TRIPLE,DOG35_49,ANY,OTHER+SPECIAL_TEAMS+THIRD_DOWN,1.284622222222222,39,0.4233333333333333,18,0.8288888888888889,28,0.6117857142857143,85,0.571294117647059,15,15,recent_edge_punt_return_average,>=,2.347777777777778,recent_edge_third_down_success,>=,0.073765106582444,dc_prior_role_seasons,<=,2.0,1.0
NFL-NW006,LONG,PAIR,DOG35_44,AWAY,PRESSURE+THIRD_DOWN,1.0776818181818184,44,0.6606818181818184,26,0.365,25,0.6075999999999999,95,0.5657894736842105,14,17,rank_edge_third_down_success,>=,5.0,rank_edge_sack_or_hit_rate,>=,10.0,,,,0.8235294117647058
NFL-NW007,LONG,PAIR,DOG20_34,ANY,EFFICIENCY+THIRD_DOWN,0.8634102564102564,39,0.4064102564102564,36,0.385,21,0.6066666666666667,96,0.4421875,14,18,rank_edge_def_allowed_success_rate,<=,-13.0,rank_edge_third_down_success,>=,7.0,,,,0.7777777777777778
NFL-NW008,LONG,TRIPLE,DOG35_44,AWAY,EFFICIENCY+PRESSURE+TRAVEL_FATIGUE,1.0945882352941179,34,0.5555882352941177,20,0.503,20,0.5854999999999999,74,0.5494594594594595,12,18,recent_edge_def_allowed_early_down_epa,<=,-0.09400728392751176,adv_prior_road_miles_last4,>=,801.0648497063887,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,0.6666666666666666
NFL-NW009,LONG,PAIR,DOG35_44,AWAY,EFFICIENCY+TRAVEL_FATIGUE,1.0577142857142858,35,0.5842857142857144,21,0.43142857142857144,23,0.5847826086956521,79,0.5437974683544304,12,18,recent_edge_def_allowed_early_down_epa,<=,-0.09400728392751176,adv_prior_road_miles_last4,>=,801.0648497063887,,,,0.6666666666666666
NFL-NW010,LONG,PAIR,DOG20_34,AWAY,EFFICIENCY+OTHER,0.8716111451316594,71,0.3959154929577465,46,0.383695652173913,34,0.5841176470588235,151,0.4345695364238411,13,20,dc_team_tenure_seasons,<=,1.0,recent_edge_off_epa_per_play,>=,-0.011237172951585512,,,,0.65
