next_method_id,track,type,price_band,venue,semantic_signature,pre_score,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_roi,full_positive_seasons,full_active_seasons,feature1,op1,threshold1,feature2,op2,threshold2,feature3,op3,threshold3,season_ratio,top_team,top_team_share,top3_team_share,positive_season_ratio,live_p_lo,live_p_hi,live_odds_range,price_decision,price_holdout_gain,pre_status,robust_score,duplicate_of,max_jaccard_overlap,deployment_status
NFL-NW018,LONG,PAIR,DOG20_34,AWAY,EXPLOSIVE+SPECIAL_TEAMS,0.8573015873015875,36,0.4744444444444445,35,0.3128571428571428,36,0.4938888888888888,107,0.4281308411214953,14,19,recent_edge_def_allowed_explosive_rate,>=,0.0034262319005425,rank_edge_kick_return_average,<=,-9.0,,,,0.7368421052631579,JAX,0.07476635514018691,0.22429906542056074,0.7368421052631579,0.2,0.2967463567120151,+237 to +400,TIGHTEN_LIVE_PRICE,0.022632850241545932,READY,1.1597302563261735,,0.1746031746031746,READY
NFL-NW024,LONG,PAIR,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN,0.7831607142857142,64,0.3031249999999999,56,0.3680357142857143,51,0.4654901960784314,171,0.3728070175438596,17,20,recent_edge_punt_return_average,>=,2.347777777777778,recent_edge_third_down_success,>=,0.073765106582444,,,,0.85,GB,0.05847953216374269,0.1695906432748538,0.85,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,0.0,READY,1.1362972136222909,,0.5321637426900585,READY
NFL-NW031,LONG,TRIPLE,DOG35_49,ANY,OTHER+SPECIAL_TEAMS+TRAVEL_FATIGUE,0.778,45,0.3380000000000001,30,0.386,35,0.4359999999999999,110,0.3822727272727272,15,18,recent_edge_punt_return_average,>=,2.347777777777778,adv_prior_long_trips_last3,>=,1.0,adv_prior_road_miles_last4,>=,1044.6112121956917,0.8333333333333334,MIA,0.06363636363636363,0.19090909090909092,0.8333333333333334,0.35,0.4405286343612334,+127 to +186,TIGHTEN_LIVE_PRICE,0.09834782608695647,READY,1.0816060606060602,,0.1469387755102041,READY
NFL-NW050,MODERN,PAIR,PK_55,AWAY,EFFICIENCY+TRAVEL_FATIGUE,0.5531020987900643,41,0.2778899550865343,18,0.23921214370353,26,0.3363881107168819,110,0.2597003439590053,14,17,recent_edge_early_down_epa,<=,-0.0264922351642454,adv_prior_road_miles_last2,<=,417.76118356084817,,,,0.8235294117647058,PIT,0.08181818181818182,0.20909090909090908,0.8235294117647058,0.45,0.55,-122 to +122,KEEP_ORIGINAL_BAND,0.0,READY,0.8569708076170638,,0.09289617486338798,READY
NFL-NW073,LONG,PAIR,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN,0.6763219954648526,63,0.1673015873015873,49,0.4110204081632653,52,0.2825,164,0.2766463414634146,16,20,rank_edge_punt_return_average,>=,5.300000000000011,recent_edge_third_down_success,>=,0.073765106582444,,,,0.8,NO,0.06097560975609756,0.17073170731707318,0.8,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,0.0,READY,0.8411463414634145,,0.5342019543973942,READY
NFL-NW075,LONG,PAIR,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN,0.6862140060896043,121,0.1853719008264462,95,0.3108421052631579,91,0.2768131868131868,307,0.2513029315960912,14,20,rank_edge_punt_return_average,>=,-5.300000000000011,recent_edge_third_down_success,>=,0.073765106582444,,,,0.7,NO,0.05537459283387622,0.15309446254071662,0.7,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,0.0,READY,0.856616118409278,,0.484472049689441,READY
NFL-NW076,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+TRAVEL_FATIGUE+TURNOVERS,1.1586503118503118,37,0.6810810810810811,26,0.4307692307692307,37,0.2737837837837838,100,0.4653,12,16,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,adv_prior_road_miles_last4,>=,-22.615351354006503,recent_edge_giveaway_rate,>=,-0.0052251865973571,0.75,IND,0.09,0.24,0.75,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,0.0,READY,0.9765837837837839,,0.4957983193277311,READY
NFL-NW079,LONG,PAIR,DOG35_44,AWAY,PRESSURE+TRAVEL_FATIGUE,0.8885456810631229,56,0.4469642857142857,43,0.3555813953488372,43,0.2688372093023256,142,0.3653521126760563,14,20,recent_edge_sack_or_hit_rate,>=,-0.0147564808411956,opp_prior_road_miles_last3,>=,2020.0745414333333,,,,0.7,ARI,0.07042253521126761,0.16901408450704225,0.7,0.35,0.4499,+122 to +186,KEEP_ORIGINAL_BAND,0.0,READY,0.8801893219783818,,0.2994011976047904,READY
NFL-NW084,LONG,PAIR,DOG35_44,AWAY,PRESSURE+TRAVEL_FATIGUE,0.8102108884841125,81,0.3634567901234568,61,0.3247540983606556,52,0.2509615384615384,194,0.3211340206185566,16,20,recent_edge_sack_or_hit_rate,>=,-0.0147564808411956,adv_prior_road_miles_last4,>=,801.0648497063887,,,,0.8,CHI,0.061855670103092786,0.16494845360824742,0.8,0.35,0.4499,+122 to +186,KEEP_ORIGINAL_BAND,0.0,READY,0.8690955590800951,,0.4672489082969432,READY
NFL-NW093,LONG,PAIR,DOG35_49,ANY,SPECIAL_TEAMS+TRAVEL_FATIGUE,0.7063850698174007,98,0.2203061224489796,76,0.3340789473684211,85,0.2278823529411764,259,0.2561776061776062,14,20,rank_edge_punt_return_average,>=,5.300000000000011,adv_prior_road_miles_last3,>=,374.5215340745484,,,,0.7,CIN,0.0694980694980695,0.1891891891891892,0.7,0.35,0.441405793146466,+127 to +186,TIGHTEN_LIVE_PRICE,0.04375401069518714,READY,0.7885599591187826,,0.24662162162162163,READY
