next_method_id,track,type,price_band,venue,semantic_signature,pre_score,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_roi,full_positive_seasons,full_active_seasons,feature1,op1,threshold1,feature2,op2,threshold2,feature3,op3,threshold3,season_ratio,top_team,top_team_share,top3_team_share,positive_season_ratio,live_p_lo,live_p_hi,live_odds_range,price_decision,price_holdout_gain,pre_status,robust_score,duplicate_of,max_jaccard_overlap,deployment_status
NFL-NW002,LONG,PAIR,DOG20_34,AWAY,PRESSURE+SPECIAL_TEAMS,1.1738043478260871,46,0.3263043478260869,40,0.7675000000000001,29,0.7220689655172413,115,0.5795652173913043,12,17,recent_edge_sack_or_hit_rate,>=,0.0053062448112699,rank_edge_kick_return_average,<=,-9.0,,,,0.7058823529411765,CAR,0.06956521739130435,0.2,0.7058823529411765,0.2,0.3499,+186 to +400,KEEP_ORIGINAL_BAND,0.0,READY,1.5356047711438399,,0.6608695652173913,WATCH
NFL-NW005,LONG,TRIPLE,DOG35_49,ANY,OTHER+SPECIAL_TEAMS+THIRD_DOWN,1.284622222222222,39,0.4233333333333333,18,0.8288888888888889,28,0.6117857142857143,85,0.571294117647059,15,15,recent_edge_punt_return_average,>=,2.347777777777778,recent_edge_third_down_success,>=,0.073765106582444,dc_prior_role_seasons,<=,2.0,1.0,NYJ,0.07692307692307693,0.2087912087912088,1.0,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,0.0,WATCH,1.475579831932773,,0.0,WATCH
NFL-NW006,LONG,PAIR,DOG35_44,AWAY,PRESSURE+THIRD_DOWN,1.0776818181818184,44,0.6606818181818184,26,0.365,25,0.6075999999999999,95,0.5657894736842105,14,17,rank_edge_third_down_success,>=,5.0,rank_edge_sack_or_hit_rate,>=,10.0,,,,0.8235294117647058,GB,0.08421052631578947,0.23157894736842105,0.8235294117647058,0.35,0.4499,+122 to +186,KEEP_ORIGINAL_BAND,0.0,WATCH,1.4267718266253868,,0.2814814814814815,WATCH
NFL-NW007,LONG,PAIR,DOG20_34,ANY,EFFICIENCY+THIRD_DOWN,0.8634102564102564,39,0.4064102564102564,36,0.385,21,0.6066666666666667,96,0.4421875,14,18,rank_edge_def_allowed_success_rate,<=,-13.0,rank_edge_third_down_success,>=,7.0,,,,0.7777777777777778,TB,0.08333333333333333,0.22916666666666666,0.7777777777777778,0.2,0.3499,+186 to +400,KEEP_ORIGINAL_BAND,0.0,WATCH,1.291298611111111,,0.14507772020725387,WATCH
NFL-NW010,LONG,PAIR,DOG20_34,AWAY,EFFICIENCY+OTHER,0.8716111451316594,71,0.3959154929577465,46,0.383695652173913,34,0.5841176470588235,151,0.4345695364238411,13,20,dc_team_tenure_seasons,<=,1.0,recent_edge_off_epa_per_play,>=,-0.0112371729515855,,,,0.65,NO,0.060109289617486336,0.16393442622950818,0.65,0.2,0.3499,+186 to +400,KEEP_ORIGINAL_BAND,0.0,WATCH,1.2566871834826645,,0.6830601092896175,WATCH
NFL-NW012,LONG,TRIPLE,DOG35_49,ANY,SPECIAL_TEAMS+TRAVEL_FATIGUE+TURNOVERS,1.134175,25,0.5348,32,0.554375,24,0.53,81,0.5411111111111112,11,15,adv_prior_road_miles_last4,>=,1044.6112121956917,rank_edge_def_allowed_giveaway_rate,<=,-10.0,rank_edge_punt_return_average,>=,-5.300000000000011,0.7333333333333333,GB,0.08641975308641975,0.24691358024691357,0.7333333333333333,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,0.0,WATCH,1.2949444444444445,,0.10714285714285714,WATCH
NFL-NW015,LONG,TRIPLE,DOG35_44,ANY,OTHER+TRAVEL_FATIGUE+TURNOVERS,1.1766072398190044,39,0.4692307692307692,34,0.6461764705882354,25,0.5147999999999999,98,0.5422448979591837,14,18,recent_edge_giveaway_rate,>=,0.0123464340709925,adv_prior_road_miles_last3,>=,422.8974840393614,dc_prior_role_seasons,>=,0.0,0.7777777777777778,WAS,0.07407407407407407,0.19444444444444445,0.7777777777777778,0.35,0.4499,+122 to +186,KEEP_ORIGINAL_BAND,0.0,WATCH,1.3004893424036281,,0.12962962962962962,WATCH
NFL-NW021,LONG,PAIR,PK_55,AWAY,EFFICIENCY+SPECIAL_TEAMS,0.8467784282086919,35,0.32268160082757,29,0.4660968273811218,26,0.4840616295984639,90,0.4155140710286394,17,19,recent_edge_punt_return_average,>=,4.583333333333332,recent_edge_def_allowed_off_epa_per_play,<=,0.0777860982723738,,,,0.8947368421052632,LAC,0.07777777777777778,0.2111111111111111,0.8947368421052632,0.45,0.55,-122 to +122,KEEP_ORIGINAL_BAND,0.0,WATCH,1.1682599111534189,,0.07738095238095238,WATCH
NFL-NW023,LONG,TRIPLE,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN+TRAVEL_FATIGUE,0.7556270531400966,36,0.2894444444444444,23,0.4247826086956521,23,0.468695652173913,82,0.3776829268292683,11,15,recent_edge_punt_return_average,>=,2.347777777777778,recent_edge_third_down_success,>=,0.073765106582444,adv_prior_road_miles_last3,>=,374.5215340745484,0.7333333333333333,GB,0.08536585365853659,0.23170731707317074,0.7333333333333333,0.35,0.4999,+100 to +186,KEEP_ORIGINAL_BAND,0.0,WATCH,1.0707119123365145,,0.47953216374269003,WATCH
NFL-NW026,LONG,TRIPLE,DOG20_34,AWAY,EFFICIENCY+OTHER+PENALTY,1.2843307692307693,52,0.5442307692307692,32,0.6825,22,0.4509090909090909,106,0.5666037735849057,18,19,dc_team_tenure_seasons,<=,1.0,rank_edge_penalty_yards,>=,-5.5,recent_edge_off_epa_per_play,>=,-0.0112371729515855,0.9473684210526316,WAS,0.072,0.2,0.9473684210526315,0.2,0.3225806451612903,+210 to +400,TIGHTEN_LIVE_PRICE,0.2042,WATCH,1.3073549697571545,,0.14857142857142858,WATCH
