method,rule,season,n,wins,win_pct,roi,units
original,baseline,2007,3,3,1.0,0.19343660491760592,0.5803098147528177
original,baseline,2009,2,2,1.0,0.25324675324675316,0.5064935064935063
original,baseline,2010,4,2,0.5,-0.4269722814498934,-1.7078891257995736
original,baseline,2011,3,3,1.0,0.24148475186002774,0.7244542555800833
original,baseline,2012,7,7,1.0,0.38074623907841854,2.6652236735489296
original,baseline,2013,6,5,0.8333333333333334,0.20568919749527462,1.2341351849716478
original,baseline,2014,7,6,0.8571428571428571,0.2551619846418448,1.7861338924929138
original,baseline,2015,3,3,1.0,0.43356643356643354,1.3006993006993006
original,baseline,2016,5,4,0.8,0.0811538138087629,0.4057690690438145
original,baseline,2017,6,3,0.5,-0.33018410852713176,-1.9811046511627906
original,baseline,2018,6,5,0.8333333333333334,0.49111253073458655,2.9466751844075194
original,baseline,2019,7,6,0.8571428571428571,0.217928820143478,1.525501741004346
original,baseline,2020,6,6,1.0,0.3787295794181306,2.2723774765087836
original,baseline,2021,5,3,0.6,-0.14253143117712205,-0.7126571558856103
original,baseline,2022,3,2,0.6666666666666666,-0.008975966366636076,-0.026927899099908226
original,baseline,2023,6,6,1.0,0.327770385205324,1.9666223112319439
original,baseline,2024,6,5,0.8333333333333334,0.2271626145172657,1.362975687103594
original,baseline,2025,6,4,0.6666666666666666,-0.055635758576935035,-0.3338145514616102
original,preseason_wins_ge2_fail_closed,2007,2,2,1.0,0.1752123786407767,0.3504247572815534
original,preseason_wins_ge2_fail_closed,2009,2,2,1.0,0.25324675324675316,0.5064935064935063
original,preseason_wins_ge2_fail_closed,2010,4,2,0.5,-0.4269722814498934,-1.7078891257995736
original,preseason_wins_ge2_fail_closed,2011,3,3,1.0,0.24148475186002774,0.7244542555800833
original,preseason_wins_ge2_fail_closed,2012,5,5,1.0,0.2667673107890499,1.3338365539452495
original,preseason_wins_ge2_fail_closed,2013,5,5,1.0,0.4468270369943296,2.234135184971648
original,preseason_wins_ge2_fail_closed,2014,5,5,1.0,0.4273566486284529,2.1367832431422644
original,preseason_wins_ge2_fail_closed,2015,3,3,1.0,0.43356643356643354,1.3006993006993006
original,preseason_wins_ge2_fail_closed,2016,4,4,1.0,0.3514422672609536,1.4057690690438145
original,preseason_wins_ge2_fail_closed,2017,4,3,0.75,0.004723837209302362,0.018895348837209447
original,preseason_wins_ge2_fail_closed,2018,4,3,0.75,0.10331973949810619,0.41327895799242476
original,preseason_wins_ge2_fail_closed,2019,4,4,1.0,0.3414534319670143,1.365813727868057
original,preseason_wins_ge2_fail_closed,2021,1,1,1.0,0.7936507936507936,0.7936507936507936
original,preseason_wins_ge2_fail_closed,2022,1,1,1.0,0.2638522427440633,0.2638522427440633
original,preseason_wins_ge2_fail_closed,2023,3,3,1.0,0.4388495095482115,1.3165485286446346
original,preseason_wins_ge2_fail_closed,2024,4,4,1.0,0.4605355884425652,1.8421423537702608
original,preseason_wins_ge2_fail_closed,2025,4,3,0.75,-0.1084536378654026,-0.4338145514616104
original,preseason_wins_ge2_or_no_preseason,2007,2,2,1.0,0.1752123786407767,0.3504247572815534
original,preseason_wins_ge2_or_no_preseason,2009,2,2,1.0,0.25324675324675316,0.5064935064935063
original,preseason_wins_ge2_or_no_preseason,2010,4,2,0.5,-0.4269722814498934,-1.7078891257995736
