method,rule,odds_lo,odds_hi,n,wins,losses,win_pct,roi,units
original,baseline,-1000,-400,22,21,1,0.9545454545454546,0.12466595246454246,2.742650954219934
original,baseline,-399,-300,19,16,3,0.8421052631578947,0.08965704382876835,1.7034838327465986
original,baseline,-299,-200,22,17,5,0.7727272727272727,0.08027106518538098,1.7659634340783814
original,baseline,-199,-150,12,8,4,0.6666666666666666,0.03975074304965911,0.47700891659590927
original,baseline,-149,-110,10,8,2,0.8,0.41254522635497226,4.125452263549723
original,baseline,100,999,3,2,1,0.6666666666666666,0.5633333333333334,1.6900000000000002
original,preseason_wins_ge2,-1000,-400,17,17,0,1.0,0.17003269948536137,2.8905558912511435
original,preseason_wins_ge2,-399,-300,12,11,1,0.9166666666666666,0.19050840826682847,2.2861008992019416
original,preseason_wins_ge2,-299,-200,15,14,1,0.9333333333333333,0.30679987317163204,4.601998097574481
original,preseason_wins_ge2,-199,-150,5,4,1,0.8,0.23193563542400755,1.1596781771200377
original,preseason_wins_ge2,-149,-110,7,5,2,0.7142857142857143,0.2656741422045726,1.859718995432008
original,preseason_wins_ge2,100,999,0,0,0,,,0.0
original,preseason_nonlosing,-1000,-400,17,17,0,1.0,0.17003269948536137,2.8905558912511435
original,preseason_nonlosing,-399,-300,13,11,2,0.8461538461538461,0.09893083840014935,1.2861008992019416
original,preseason_nonlosing,-299,-200,15,14,1,0.9333333333333333,0.30679987317163204,4.601998097574481
original,preseason_nonlosing,-199,-150,5,4,1,0.8,0.23193563542400755,1.1596781771200377
original,preseason_nonlosing,-149,-110,7,5,2,0.7142857142857143,0.2656741422045726,1.859718995432008
original,preseason_nonlosing,100,999,0,0,0,,,0.0
original,preseason_positive_margin,-1000,-400,15,15,0,1.0,0.1713036622264492,2.569554933396738
original,preseason_positive_margin,-399,-300,10,10,0,1.0,0.2954089029269262,2.954089029269262
original,preseason_positive_margin,-299,-200,14,12,2,0.8571428571428571,0.19984581592244352,2.7978414229142095
original,preseason_positive_margin,-199,-150,5,4,1,0.8,0.24552669552669554,1.2276334776334776
original,preseason_positive_margin,-149,-110,4,2,2,0.5,-0.14702957991548596,-0.5881183196619438
original,preseason_positive_margin,100,999,0,0,0,,,0.0
stricter,baseline,-1000,-400,20,20,0,1.0,0.17742380984691905,3.548476196938381
stricter,baseline,-399,-300,14,12,2,0.8571428571428571,0.11192497851522971,1.566949699213216
stricter,baseline,-299,-200,16,12,4,0.75,0.042061722462196215,0.6729875593951394
stricter,baseline,-199,-150,5,3,2,0.6,-0.0927824159967017,-0.4639120799835085
stricter,baseline,-149,-110,6,5,1,0.8333333333333334,0.5084411702253223,3.050647021351934
stricter,baseline,100,999,1,1,0,1.0,1.59,1.59
stricter,preseason_wins_ge2,-1000,-400,16,16,0,1.0,0.1685238208730994,2.6963811339695902
stricter,preseason_wins_ge2,-399,-300,10,9,1,0.9,0.17003623593038092,1.700362359303809
stricter,preseason_wins_ge2,-299,-200,11,10,1,0.9090909090909091,0.2621412780088393,2.883554058097232
stricter,preseason_wins_ge2,-199,-150,1,1,0,1.0,0.5050505050505051,0.5050505050505051
stricter,preseason_wins_ge2,-149,-110,5,4,1,0.8,0.4377156111669386,2.188578055834693
stricter,preseason_wins_ge2,100,999,0,0,0,,,0.0
stricter,preseason_nonlosing,-1000,-400,16,16,0,1.0,0.1685238208730994,2.6963811339695902
stricter,preseason_nonlosing,-399,-300,11,9,2,0.8181818181818182,0.06366930539125537,0.7003623593038091
stricter,preseason_nonlosing,-299,-200,11,10,1,0.9090909090909091,0.2621412780088393,2.883554058097232
stricter,preseason_nonlosing,-199,-150,1,1,0,1.0,0.5050505050505051,0.5050505050505051
stricter,preseason_nonlosing,-149,-110,5,4,1,0.8,0.4377156111669386,2.188578055834693
stricter,preseason_nonlosing,100,999,0,0,0,,,0.0
stricter,preseason_positive_margin,-1000,-400,14,14,0,1.0,0.16967001257965603,2.3753801761151845
stricter,preseason_positive_margin,-399,-300,8,8,0,1.0,0.29604381117139117,2.3683504893711294
stricter,preseason_positive_margin,-299,-200,11,9,2,0.8181818181818182,0.13853107526194586,1.5238418278814043
stricter,preseason_positive_margin,-199,-150,1,1,0,1.0,0.5050505050505051,0.5050505050505051
stricter,preseason_positive_margin,-149,-110,2,1,1,0.5,-0.12962962962962965,-0.2592592592592593
stricter,preseason_positive_margin,100,999,0,0,0,,,0.0
