method,rule,n,wins,losses,win_pct,roi,units,2007_2013_n,2007_2013_win_pct,2007_2013_roi,2014_2019_n,2014_2019_win_pct,2014_2019_roi,2020_2025_n,2020_2025_win_pct,2020_2025_roi,2023_2025_n,2023_2025_win_pct,2023_2025_roi,active_seasons,positive_seasons,positive_season_ratio
original,baseline,91,75,16,0.8241758241758241,0.15950524960911766,14.514977714429708,25,0.88,0.1601090923818964,34,0.7941176470588235,0.17599042754367947,32,0.8125,0.1415179958874123,18,0.8333333333333334,0.16643241371521822,18,13,0.7222222222222222
original,preseason_wins_ge2_fail_closed,58,53,5,0.9137931034482759,0.23905300254144274,13.865074147403678,21,0.9047619047619048,0.1638788158320222,24,0.9166666666666666,0.2767183186492946,13,0.9230769230769231,0.2909522590267801,11,0.9090909090909091,0.2477160300866623,15,13,0.8666666666666667
original,preseason_wins_ge2_or_no_preseason,64,59,5,0.921875,0.2521476816236322,16.13745162391246,21,0.9047619047619048,0.1638788158320222,24,0.9166666666666666,0.2767183186492946,19,0.9473684210526315,0.31867141283457506,11,0.9090909090909091,0.2477160300866623,16,14,0.875
original,preseason_nonlosing_or_no_preseason,65,59,6,0.9076923076923077,0.23288387113711478,15.137451623912462,21,0.9047619047619048,0.1638788158320222,24,0.9166666666666666,0.2767183186492946,20,0.9,0.25273784219284623,11,0.9090909090909091,0.2477160300866623,17,14,0.8235294117647058
original,preseason_positive_margin_or_no_preseason,56,51,5,0.9107142857142857,0.21965000190865344,12.300400106884593,17,0.9411764705882353,0.22393967945844756,21,0.9047619047619048,0.2235855331636917,18,0.8888888888888888,0.21100718664741436,11,0.8181818181818182,0.11471814912732842,16,14,0.875
stricter,baseline,64,55,9,0.859375,0.17164793281645835,10.985467700253334,20,0.85,0.051830798615536855,21,0.9047619047619048,0.3383008617160773,23,0.8260869565217391,0.1236753753002162,15,0.8,0.06308589982526523,17,13,0.7647058823529411
stricter,preseason_wins_ge2_fail_closed,44,41,3,0.9318181818181818,0.2284283906631569,10.050849189178903,18,0.8888888888888888,0.10037393971330405,15,1.0,0.3607489237657494,11,0.9090909090909091,0.25753494707756297,9,0.8888888888888888,0.19726459793981505,13,11,0.8461538461538461
stricter,preseason_wins_ge2_or_no_preseason,48,45,3,0.9375,0.24283952436797884,11.656297169662984,18,0.8888888888888888,0.10037393971330405,15,1.0,0.3607489237657494,15,0.9333333333333333,0.295888826555818,9,0.8888888888888888,0.19726459793981505,14,12,0.8571428571428571
stricter,preseason_nonlosing_or_no_preseason,49,45,4,0.9183673469387755,0.21747545244210173,10.656297169662984,18,0.8888888888888888,0.10037393971330405,15,1.0,0.3607489237657494,16,0.875,0.2148957748960794,9,0.8888888888888888,0.19726459793981505,15,12,0.8
stricter,preseason_positive_margin_or_no_preseason,41,38,3,0.926829268292683,0.19989597064795414,8.19573479656612,14,0.9285714285714286,0.15516073808290107,12,1.0,0.2831112587356045,15,0.8666666666666667,0.17507662390521656,10,0.8,0.07568491353501075,12,9,0.75
