method_id,rank_preholdout,feature_or_combo,op,threshold,semantic,pre_score,train_base_n,train_base_roi,train_risk_n,train_risk_loss_rate,train_safe_n,train_safe_roi,train_safe_loss_rate,validation_base_n,validation_base_roi,validation_risk_n,validation_risk_loss_rate,validation_safe_n,validation_safe_roi,validation_safe_loss_rate,holdout_base_n,holdout_base_wins,holdout_base_losses,holdout_base_roi,holdout_risk_n,holdout_removed_wins,holdout_removed_losses,holdout_risk_loss_rate,holdout_safe_n,holdout_safe_wins,holdout_safe_losses,holdout_safe_roi,holdout_safe_loss_rate,holdout_roi_change,holdout_loss_rate_change,confirmed_veto
NFL-H002,1,adv_front7_unavail_equiv,<=,-0.13498333333333334,INJURY_AVAILABILITY,1.0761404095523086,57,0.24280701754385967,12,0.75,45,0.4053333333333332,0.4222222222222223,39,0.3507692307692308,16,0.5625,23,0.51,0.34782608695652173,47,30,17,0.49489361702127654,12,10,2,0.16666666666666663,35,20,15,0.3394285714285714,0.4285714285714286,-0.15546504559270513,0.06686930091185417,False
NFL-H002,2,dome_game,>=,1.0,OTHER,1.0477100969206232,57,0.24280701754385967,13,0.6153846153846154,44,0.3449999999999999,0.4545454545454546,39,0.3507692307692308,5,0.8,34,0.47882352941176476,0.38235294117647056,47,30,17,0.49489361702127654,19,9,10,0.5263157894736843,28,21,7,0.75,0.25,0.25510638297872346,-0.11170212765957444,True
NFL-H002,3,recent_edge_success_rate,>=,0.09188618516522194,EFFICIENCY,0.9778351988568708,57,0.24280701754385967,6,0.8333333333333334,51,0.34627450980392155,0.4509803921568627,39,0.3507692307692308,5,0.6,34,0.4079411764705882,0.4117647058823529,47,30,17,0.49489361702127654,1,1,0,0.0,46,29,17,0.478695652173913,0.3695652173913043,-0.016197964847363522,0.007863089731729889,False
NFL-H002,4,rest_edge,<=,-1.0,REST_SCHEDULING,0.8955312246132572,57,0.24280701754385967,7,0.5714285714285714,50,0.2668,0.48,39,0.3507692307692308,10,0.7,29,0.5648275862068967,0.3448275862068966,47,30,17,0.49489361702127654,7,4,3,0.4285714285714286,40,26,14,0.49750000000000005,0.35,0.0026063829787235093,-0.011702127659574457,False
NFL-H002,5,qb_prior_starts,<=,12.7,QB_CONTEXT,0.8909946018893387,57,0.24280701754385967,15,0.6,42,0.32142857142857145,0.45238095238095233,39,0.3507692307692308,4,0.75,35,0.44342857142857145,0.4,47,30,17,0.49489361702127654,11,5,6,0.5454545454545454,36,25,11,0.6208333333333332,0.3055555555555556,0.1259397163120567,-0.056146572104018855,True
NFL-H002,6,rank_edge_sack_or_hit_rate,<=,-4.0,PASS_PROTECTION_RUSH,0.8758444187391556,57,0.24280701754385967,15,0.6,42,0.32047619047619047,0.45238095238095233,39,0.3507692307692308,13,0.6153846153846154,26,0.5434615384615384,0.34615384615384615,47,30,17,0.49489361702127654,22,11,11,0.5,25,19,6,0.8299999999999998,0.24,0.3351063829787233,-0.12170212765957444,False
NFL-H002,7,adv_front7_unavail_equiv <= -0.134983 OR recent_edge_success_rate >= 0.0918862,COMBO,,INJURY_AVAILABILITY+EFFICIENCY,1.3688076526157018,57,0.24280701754385967,17,0.7647058823529411,40,0.5265,0.375,39,0.3507692307692308,19,0.5789473684210527,20,0.6335,0.30000000000000004,47,30,17,0.49489361702127654,13,11,2,0.15384615384615385,34,19,15,0.3129411764705882,0.4411764705882353,-0.18195244055068832,0.07947434292866085,False
NFL-H003,1,adv_questionable_players,>=,0.0,OTHER,1.2199405577091664,79,0.5616455696202532,21,0.5714285714285714,58,0.7418965517241379,0.31034482758620685,51,0.22529411764705878,25,0.64,26,0.551923076923077,0.3846153846153846,43,25,18,0.43744186046511624,28,16,12,0.4285714285714286,15,9,6,0.514,0.4,0.07655813953488377,-0.018604651162790642,False
NFL-H003,2,rank_edge_rush_epa_per_carry,<=,-4.600000000000001,RUSHING,1.0987781764028972,79,0.5616455696202532,24,0.45833333333333337,55,0.6436363636363636,0.34545454545454546,51,0.22529411764705878,17,0.7647058823529411,34,0.5455882352941177,0.38235294117647056,43,25,18,0.43744186046511624,13,8,5,0.3846153846153846,30,17,13,0.3636666666666667,0.43333333333333335,-0.07377519379844955,0.014728682170542684,False
NFL-H003,3,qb_prior_starts,>=,78.40000000000003,QB_CONTEXT,1.0453474248807946,79,0.5616455696202532,7,0.7142857142857143,72,0.6479166666666667,0.3472222222222222,51,0.22529411764705878,23,0.6086956521739131,28,0.41821428571428576,0.4285714285714286,43,25,18,0.43744186046511624,16,10,6,0.375,27,15,12,0.33740740740740743,0.4444444444444444,-0.1000344530577088,0.025839793281653756,False
