method_id,registry_status,semantic_signature,price_band,venue,feature1,op1,threshold1,feature2,op2,threshold2,full_n,full_wins,full_win_rate,full_roi,train_roi,validation_roi,holdout_roi,full_active_seasons,full_positive_seasons,full_negative_seasons,positive_season_ratio,tier,validated_vetoes,candidate_id,deployment_status,deployment_reason,duplicate_of,max_jaccard_overlap,live_odds_range,hard_veto_source,hard_veto_feature,hard_veto_op,hard_veto_threshold,candidate_id_timing,full_n_reg,full_roi_reg,trainval_n_reg,trainval_roi_reg,holdout_n_reg,holdout_roi_reg,recommended_start_week,timing_decision,min_week,median_week,max_week,recent_delta,cleanup_status,cleanup_score
NFL-H056,WATCHLIST,PASSING,DOG35_44,AWAY,rank_edge_pass_epa_per_dropback,>=,10.0,,,,131,68,0.5190839694656488,0.2969465648854962,0.3541509433962264,0.2357777777777777,0.2884848484848485,16,10,6,0.625,B,,NFL-H056,RESEARCH_ONLY,OVERLAPS_NFL-NW047_0.89,NFL-NW047,0.8931297709923665,+122 to +186,,,,,NFL-H056,128.0,0.30859375,95.0,0.315578947368421,33.0,0.2884848484848485,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,10.0,17.0,-0.027094098883572504,ARCHIVE_DUPLICATE,0.33490851130260024
NFL-H001,REVIEW_EXTREME_ROI,EFFICIENCY+OTHER,DOG20_34,AWAY,rank_edge_def_allowed_success_rate,<=,-9.0,recent_edge_penalty_yards,>=,14.666666666666664,117,49,0.4188034188034188,0.6143589743589745,0.8748888888888889,0.4754285714285714,0.4289189189189189,18,14,4,0.7777777777777778,A,,,,,,,,,,,,,,,,,,,,,,,,,ARCHIVE_WEAK,-0.6833333333333333
NFL-H010,FINAL_RESEARCH,PASSING+THIRD_DOWN,DOG35_49,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_pass_epa_per_dropback,>=,10.0,162,90,0.5555555555555556,0.3194444444444444,0.36375,0.2689655172413793,0.3217499999999999,18,13,5,0.7222222222222222,A,,NFL-H010,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.7289719626168224,+121 to +186,COACHING,adv_dc_prior_win_pct,<=,-0.1042471042471042,NFL-H010,106.0,0.4832075471698113,81.0,0.4460493827160493,25.0,0.6036,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,10.0,17.0,0.1575506172839507,CORE_LIVE,0.544840459349998
NFL-H002,FINAL_RESEARCH,EXPLOSIVENESS+SPECIAL_TEAMS,DOG35_49,AWAY,rank_edge_def_allowed_explosive_rate,<=,-6.0,recent_edge_punt_return_average,>=,2.495833333333334,143,81,0.5664335664335665,0.3551048951048952,0.2428070175438596,0.3507692307692308,0.4948936170212765,19,16,3,0.8421052631578947,A,VETO: dome_game >= 1.0 || VETO: qb_prior_starts <= 12.7,NFL-H002,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.3579545454545454,+100 to +186,BASE,dome_game,>=,1.0,NFL-H002,137.0,0.3467883211678833,93.0,0.2755913978494623,44.0,0.4972727272727273,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,10.0,18.0,0.22168132942326502,CORE_LIVE,0.4985921742671459
NFL-H003,FINAL_RESEARCH,PASS_PROTECTION_RUSH+THIRD_DOWN,DOG35_44,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_sack_or_hit_rate,>=,5.0,173,99,0.5722543352601156,0.4316184971098266,0.5616455696202532,0.2252941176470587,0.4374418604651162,20,18,2,0.9,A,VETO: recent_edge_def_allowed_pass_epa_per_dropback >= 0.2182382565949704,NFL-H003,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.5491329479768786,+122 to +186,BASE,recent_edge_def_allowed_pass_epa_per_dropback,>=,0.2182382565949704,NFL-H003,167.0,0.4078443113772455,125.0,0.4067199999999999,42.0,0.4111904761904761,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,17.0,0.004470476190476191,CORE_LIVE,0.45767575152776285
NFL-H005,FINAL_RESEARCH,EFFICIENCY+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,rank_edge_off_epa_per_play,>=,10.0,143,82,0.5734265734265734,0.4163636363636363,0.5084745762711863,0.3434883720930232,0.3602439024390244,18,15,3,0.8333333333333334,A,,NFL-H005,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.1818181818181818,+134 to +173,COACHING,oc_prior_role_seasons,>=,3.0,NFL-H005,85.0,0.4681176470588235,64.0,0.485625,21.0,0.4147619047619048,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,11.0,18.0,-0.0708630952380952,CORE_LIVE,0.4455401825266109
NFL-H027,FINAL_RESEARCH,EFFICIENCY+SPECIAL_TEAMS,DOG35_49,AWAY,recent_edge_punt_return_average,>=,4.415277777777777,recent_edge_success_rate,>=,0.0,147,82,0.5578231292517006,0.3314965986394558,0.461864406779661,0.2584444444444444,0.2290697674418605,20,16,4,0.8,A,,NFL-H027,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.3135135135135135,+100 to +186,COACHING,dc_tenure_seasons,>=,3.0,NFL-H027,140.0,0.3680714285714286,99.0,0.4212121212121211,41.0,0.2397560975609755,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.1814560236511456,CORE_LIVE,0.3343550935115315
NFL-H008,FINAL_RESEARCH,SPECIAL_TEAMS+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,recent_edge_kick_return_average,>=,2.1666666666666643,206,107,0.5194174757281553,0.2943689320388349,0.2380263157894737,0.4075757575757575,0.24453125,20,14,6,0.7,A,,NFL-H008,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.1773584905660377,+136 to +186,,,,,NFL-H008,136.0,0.3633088235294117,93.0,0.4105376344086021,43.0,0.2611627906976743,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.1493748437109278,CORE_LIVE,0.33122456831403896
NFL-H028,FINAL_RESEARCH,PASSING+PASS_PROTECTION_RUSH,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_pass_epa_per_dropback,>=,10.0,175,92,0.5257142857142857,0.2466285714285714,0.2408333333333333,0.2629999999999999,0.2334883720930232,17,12,5,0.7058823529411765,A,,NFL-H028,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.6132596685082873,+100 to +186,TRAVEL,adv_abs_tz_shift_hours,>=,0.0,NFL-H028,172.0,0.2544186046511628,129.0,0.2613953488372093,43.0,0.2334883720930232,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,10.0,17.0,-0.027906976744186074,CORE_LIVE,0.31458451760223727
NFL-H017,FINAL_RESEARCH,EXPLOSIVENESS+PASS_PROTECTION_RUSH,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_def_allowed_explosive_rate,<=,-6.0,327,162,0.4954128440366973,0.1912538226299694,0.1702272727272727,0.2308602150537634,0.1823529411764706,20,14,6,0.7,A,,NFL-H017,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.336283185840708,+100 to +186,TRAVEL,adv_prior_road_miles_last5,<=,-315.24304298251786,NFL-H017,307.0,0.1834201954397394,213.0,0.1723943661971831,94.0,0.2084042553191489,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,0.036009889121965816,CORE_LIVE,0.301796693742819
