method_id,source,track,price_band,venue,full_n_reg,full_roi_reg,train_n_reg,train_roi_reg,validation_n_reg,validation_roi_reg,holdout_n_reg,holdout_roi_reg,min_week,median_week,max_week,recommended_start_week,timing_decision,reg_only_survives,W4_6_n,W4_6_roi,W7_10_n,W7_10_roi,W11_14_n,W11_14_roi,W15_18_n,W15_18_roi,candidate_id,positive_season_ratio,duplicate_of,max_jaccard_overlap,rule_reproducible,older_avg_roi,recent_delta,era_floor,preference_status,preference_score
NFL-C013,COACHING,LONG,DOG35_49,AWAY,211,0.2613270142180094,76,0.3936842105263157,76,0.2018421052631578,59,0.1674576271186441,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,46,0.6217391304347826,65,0.3650769230769231,62,-0.2003225806451612,38,0.4007894736842106,NFL-C013,0.7368421052631579,NFL-C006,0.7894736842105263,True,0.29776315789473673,-0.13030553077609264,0.1674576271186441,DUPLICATE,0.2852607754107512
NFL-NW131,NEXT_WAVE,MODERN,FAV65_75,AWAY,98,0.2045452481804447,25,0.3290603866948834,19,0.2022366854712528,24,0.1524749376081541,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,22,0.1734716004792232,25,0.1630400641779095,19,0.2948987950002017,32,0.2046868875527842,NFL-NW131,0.8823529411764706,NFL-NW117,0.9444444444444444,True,0.2656485360830681,-0.11317359847491401,0.1524749376081541,DUPLICATE,0.2805950600972179
NFL-NW024,NEXT_WAVE,LONG,DOG35_49,ANY,163,0.4133128834355828,59,0.3766101694915254,55,0.392909090909091,49,0.4804081632653061,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,28,0.5557142857142858,52,0.4953846153846153,47,0.1880851063829787,36,0.4780555555555555,NFL-NW024,0.85,,0.5321637426900585,True,0.38475963020030823,0.09564853306499788,0.3766101694915254,ELITE_RECENT_STRENGTH,0.4935233445923084
NFL-C002,COACHING,LONG,DOG35_49,AWAY,175,0.3094857142857142,68,0.2925,62,0.2854838709677419,45,0.3682222222222222,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,41,0.3275609756097561,59,0.3952542372881356,42,0.1721428571428571,33,0.3084848484848485,NFL-C002,0.8421052631578947,,0.0803571428571428,True,0.2889919354838709,0.07923028673835125,0.2854838709677419,ELITE_RECENT_STRENGTH,0.41402876970523206
NFL-NW050,NEXT_WAVE,MODERN,PK_55,AWAY,106,0.2277797819161287,38,0.2150291370043935,18,0.23921214370353,25,0.3018436351455573,4,9.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,23,0.26813882532418,37,0.5226206980002974,31,0.0313063895045964,15,-0.1553333333333333,NFL-NW050,0.8235294117647058,,0.0928961748633879,True,0.22712064035396173,0.07472299479159555,0.2150291370043935,ELITE_RECENT_STRENGTH,0.35205840712089387
NFL-T001,TRAVEL,MODERN,DOG35_44,AWAY,321,0.1738940809968847,96,0.1267708333333333,38,0.1271052631578947,93,0.2295698924731183,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,46,0.2534782608695652,98,0.058469387755102,94,0.1595744680851064,83,0.282289156626506,NFL-T001,0.7142857142857143,,0.3468634686346863,True,0.126938048245614,0.10263184422750429,0.1267708333333333,ELITE_RECENT_STRENGTH,0.2928948676114812
NFL-NW031,NEXT_WAVE,LONG,DOG35_49,ANY,71,0.4201408450704225,33,0.373030303030303,16,0.423125,22,0.4886363636363636,5,10.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,11,0.38,30,0.6969999999999998,12,0.0316666666666666,18,0.2422222222222222,NFL-NW031,0.8333333333333334,,0.1235294117647058,True,0.3980776515151515,0.09055871212121208,0.373030303030303,RESEARCH,0.4862313662914963
NFL-NW075,NEXT_WAVE,LONG,DOG35_49,ANY,293,0.2710921501706484,113,0.225575221238938,91,0.3181318681318681,89,0.2807865168539326,4,12.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,53,0.3983018867924528,71,0.2861971830985916,88,0.2736363636363636,81,0.1718518518518518,NFL-NW075,0.7,,0.484472049689441,True,0.27185354468540307,0.008932972168529507,0.225575221238938,STRONG_RECENT_STABLE,0.344051706880698
NFL-T003,TRAVEL,MODERN,DOG35_44,ANY,189,0.1342857142857142,53,0.080377358490566,30,0.146,56,0.1698214285714285,4,6.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,106,0.1154716981132075,28,0.0546428571428571,34,0.1897058823529412,21,0.2457142857142857,NFL-T003,0.7142857142857143,,0.1748466257668711,True,0.113188679245283,0.05663274932614551,0.080377358490566,STRONG_RECENT_STABLE,0.24697265926405787
NFL-T010,TRAVEL,LONG,FAV55_65,AWAY,222,0.1212043300950473,84,0.1587411145512295,67,0.0828122916346647,71,0.1130237199897844,4,12.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,33,0.0237538543178711,53,0.0628248553609905,76,0.2058079587848124,60,0.1192060314472086,NFL-T010,0.8,,0.0,True,0.12077670309294711,-0.0077529831031627056,0.0828122916346647,STRONG_RECENT_STABLE,0.23738177011461495
