kind,a,b,independent,holdout_start,n,wins,losses,win_pct,roi,units,holdout_n,holdout_wins,holdout_win_pct,holdout_roi,pos_seasons,active_seasons,pos_ratio,max_season_share,loo_min_roi,loo_all_profitable
RS+CO,RS001,CO001,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS001,CO005,True,2020,6,6,0,1.0,1.5250000000000001,9.15,4,4,1.0,1.5300000000000002,4,4,1.0,0.5,1.4400000000000002,True
RS+CO,RS001,CO026,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS001,CO009,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS001,CO048,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS001,CO043,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS001,CO061,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS001,CO017,True,2020,3,2,1,0.6666666666666666,0.5666666666666667,1.7,1,1,1.0,1.29,2,3,0.6666666666666666,0.3333333333333333,0.14500000000000002,True
RS+CO,RS001,CO016,True,2021,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS001,CO018,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+H,RS001,NFL-H005,False,2020,7,5,2,0.7142857142857143,0.7885714285714286,5.5200000000000005,1,1,1.0,1.36,5,6,0.8333333333333334,0.2857142857142857,0.6350000000000001,True
RS+H,RS001,NFL-H010,False,2020,15,11,4,0.7333333333333333,0.7966666666666669,11.950000000000003,6,5,0.8333333333333334,0.9483333333333334,8,9,0.8888888888888888,0.2,0.6491666666666669,True
RS+H,RS001,NFL-H002,True,2020,14,10,4,0.7142857142857143,0.7471428571428572,10.46,3,3,1.0,1.28,8,11,0.7272727272727273,0.21428571428571427,0.6308333333333334,True
RS+H,RS001,NFL-H003,True,2020,24,19,5,0.7916666666666666,0.9766666666666666,23.439999999999998,7,6,0.8571428571428571,1.0000000000000002,13,14,0.9285714285714286,0.16666666666666666,0.8942857142857144,True
RS+H,RS001,NFL-H008,True,2020,6,3,3,0.5,0.30833333333333335,1.85,2,1,0.5,0.31000000000000005,3,5,0.6,0.3333333333333333,0.046,True
RS+H,RS001,NFL-H027,False,2020,10,7,3,0.7,0.7540000000000001,7.540000000000001,3,3,1.0,1.5033333333333332,6,8,0.75,0.3,0.6455555555555557,True
RS+H,RS001,NFL-H028,True,2020,11,7,4,0.6363636363636364,0.5663636363636364,6.23,4,3,0.75,0.805,6,8,0.75,0.18181818181818182,0.3666666666666667,True
RS+H,RS001,NFL-H029,True,2020,8,4,4,0.5,0.22,1.76,0,0,,,3,4,0.75,0.375,0.02999999999999998,True
RS+H,RS001,NFL-H017,True,2020,12,10,2,0.8333333333333334,1.0291666666666666,12.35,3,3,1.0,1.28,8,9,0.8888888888888888,0.25,0.931,True
RS+H,RS001,NFL-H036,True,2020,5,4,1,0.8,1.06,5.300000000000001,1,1,1.0,1.31,4,4,1.0,0.4,0.8725,True
RS+H,RS001,NFL-H033,True,2020,17,11,6,0.6470588235294118,0.6205882352941177,10.55,3,3,1.0,1.5033333333333332,9,13,0.6923076923076923,0.17647058823529413,0.5106666666666667,True
RS+H,RS001,NFL-H035,False,2020,10,7,3,0.7,0.7220000000000001,7.220000000000001,5,5,1.0,1.35,5,7,0.7142857142857143,0.3,0.4642857142857143,True
RS+CO,RS002,CO001,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS002,CO005,True,2020,5,3,2,0.6,0.484,2.42,1,1,1.0,1.29,2,2,1.0,0.8,0.2825,True
RS+CO,RS002,CO026,True,2020,3,1,2,0.3333333333333333,-0.13666666666666663,-0.4099999999999999,0,0,,,1,3,0.3333333333333333,0.3333333333333333,-1.0,False
RS+CO,RS002,CO009,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS002,CO048,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS002,CO043,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS002,CO061,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS002,CO017,True,2020,4,3,1,0.75,0.7925,3.17,1,1,1.0,1.29,3,4,0.75,0.25,0.5266666666666667,True
RS+CO,RS002,CO016,True,2021,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS002,CO018,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+H,RS002,NFL-H005,False,2020,2,2,0,1.0,1.5899999999999999,3.1799999999999997,1,1,1.0,1.64,2,2,1.0,0.5,1.54,True
RS+H,RS002,NFL-H010,False,2020,6,6,0,1.0,1.5899999999999999,9.54,3,3,1.0,1.5433333333333332,5,5,1.0,0.3333333333333333,1.5425,True
RS+H,RS002,NFL-H002,True,2020,4,4,0,1.0,1.1675,4.67,1,1,1.0,1.29,4,4,1.0,0.25,1.1266666666666667,True
RS+H,RS002,NFL-H003,True,2020,13,11,2,0.8461538461538461,1.1038461538461537,14.349999999999998,4,4,1.0,1.455,6,7,0.8571428571428571,0.3076923076923077,0.9981818181818181,True
RS+H,RS002,NFL-H008,True,2020,10,8,2,0.8,1.128,11.28,4,4,1.0,1.7,8,9,0.8888888888888888,0.2,1.0533333333333332,True
RS+H,RS002,NFL-H027,False,2020,6,5,1,0.8333333333333334,0.7583333333333333,4.55,1,1,1.0,1.17,4,5,0.8,0.3333333333333333,0.5874999999999999,True
RS+H,RS002,NFL-H028,True,2020,7,5,2,0.7142857142857143,0.8514285714285714,5.96,4,3,0.75,0.9075,5,6,0.8333333333333334,0.2857142857142857,0.695,True
RS+H,RS002,NFL-H029,True,2020,7,6,1,0.8571428571428571,0.9885714285714285,6.92,2,1,0.5,0.06999999999999995,6,7,0.8571428571428571,0.14285714285714285,0.89,True
RS+H,RS002,NFL-H017,True,2020,11,8,3,0.7272727272727273,0.7345454545454545,8.08,4,2,0.5,0.2475,8,10,0.8,0.18181818181818182,0.629,True
RS+H,RS002,NFL-H036,True,2020,3,3,0,1.0,1.4566666666666668,4.37,1,1,1.0,1.7,3,3,1.0,0.3333333333333333,1.335,True
RS+H,RS002,NFL-H033,True,2020,9,7,2,0.7777777777777778,0.7200000000000001,6.48,1,1,1.0,1.17,6,8,0.75,0.2222222222222222,0.5925,True
RS+H,RS002,NFL-H035,False,2020,15,12,3,0.8,0.9579999999999999,14.369999999999997,7,5,0.7142857142857143,0.8028571428571428,10,11,0.9090909090909091,0.13333333333333333,0.8715384615384614,True
RS+CO,RS003,CO001,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS003,CO005,True,2020,13,9,4,0.6923076923076923,0.7161538461538461,9.31,3,1,0.3333333333333333,-0.1333333333333333,6,7,0.8571428571428571,0.38461538461538464,0.5,True
RS+CO,RS003,CO026,True,2020,10,6,4,0.6,0.45200000000000007,4.5200000000000005,1,0,0.0,-1.0,5,6,0.8333333333333334,0.3,0.3433333333333333,True
RS+CO,RS003,CO009,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS003,CO048,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS003,CO043,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS003,CO061,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS003,CO017,True,2020,12,6,6,0.5,0.1675,2.0100000000000002,2,1,0.5,0.255,5,8,0.625,0.25,0.0454545454545455,True
RS+CO,RS003,CO016,True,2021,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+CO,RS003,CO018,True,2020,0,0,0,,,0.0,0,0,,,0,0,,,,False
RS+H,RS003,NFL-H005,False,2020,8,6,2,0.75,0.84625,6.77,3,2,0.6666666666666666,0.6699999999999999,6,6,1.0,0.25,0.7471428571428571,True
RS+H,RS003,NFL-H010,False,2020,11,8,3,0.7272727272727273,0.8336363636363636,9.17,3,2,0.6666666666666666,0.84,6,7,0.8571428571428571,0.36363636363636365,0.747,True
RS+H,RS003,NFL-H002,True,2020,12,10,2,0.8333333333333334,1.0566666666666666,12.68,4,4,1.0,1.4300000000000002,9,10,0.9,0.16666666666666666,0.914,True
RS+H,RS003,NFL-H003,True,2020,16,13,3,0.8125,1.0525,16.84,4,4,1.0,1.5,7,9,0.7777777777777778,0.25,0.8666666666666667,True
RS+H,RS003,NFL-H008,True,2020,12,9,3,0.75,0.9375,11.25,5,4,0.8,1.128,6,7,0.8571428571428571,0.25,0.7155555555555556,True
RS+H,RS003,NFL-H027,False,2020,5,4,1,0.8,1.074,5.37,2,2,1.0,1.6600000000000001,4,5,0.8,0.2,0.8875,True
RS+H,RS003,NFL-H028,True,2020,10,9,1,0.9,1.2309999999999999,12.309999999999999,3,3,1.0,1.5533333333333335,8,9,0.8888888888888888,0.2,1.1655555555555555,True
RS+H,RS003,NFL-H029,True,2020,6,6,0,1.0,1.4233333333333331,8.54,0,0,,,6,6,1.0,0.16666666666666666,1.3519999999999999,True
RS+H,RS003,NFL-H017,True,2020,25,17,8,0.68,0.6984,17.46,11,8,0.7272727272727273,0.7990909090909092,9,11,0.8181818181818182,0.24,0.605909090909091,True
RS+H,RS003,NFL-H036,True,2020,15,13,2,0.8666666666666667,1.1960000000000002,17.94,8,7,0.875,1.1875,10,11,0.9090909090909091,0.2,1.1076923076923078,True
RS+H,RS003,NFL-H033,True,2020,12,9,3,0.75,0.8524999999999999,10.229999999999999,4,3,0.75,0.8475,8,9,0.8888888888888888,0.25,0.7727272727272727,True
RS+H,RS003,NFL-H035,False,2020,12,7,5,0.5833333333333334,0.5000000000000001,6.000000000000001,7,4,0.5714285714285714,0.4257142857142857,5,8,0.625,0.25,0.30600000000000005,True
