kind,a,b,independent,holdout_start,n,wins,losses,win_pct,roi,units,holdout_n,holdout_wins,holdout_win_pct,holdout_roi,pos_seasons,active_seasons,pos_ratio,max_season_share,loo_min_roi,loo_all_profitable,score
RS+H,RS002,NFL-H008,True,2020,10,8,2,0.8,1.128,11.28,4,4,1.0,1.7,8,9,0.8888888888888888,0.2,1.0533333333333332,True,1.233
RS+H,RS002,NFL-H003,True,2020,13,11,2,0.8461538461538461,1.1038461538461537,14.349999999999998,4,4,1.0,1.455,6,7,0.8571428571428571,0.3076923076923077,0.9981818181818181,True,1.1463123024804767
RS+H,RS003,NFL-H003,True,2020,16,13,3,0.8125,1.0525,16.84,4,4,1.0,1.5,7,9,0.7777777777777778,0.25,0.8666666666666667,True,1.1302059991327962
RS+H,RS003,NFL-H002,True,2020,12,10,2,0.8333333333333334,1.0566666666666666,12.68,4,4,1.0,1.4300000000000002,9,10,0.9,0.16666666666666666,0.914,True,1.124325728969048
RS+H,RS003,NFL-H036,True,2020,15,13,2,0.8666666666666667,1.1960000000000002,17.94,8,7,0.875,1.1875,10,11,0.9090909090909091,0.2,1.1076923076923078,True,1.0951778147010358
RS+H,RS001,NFL-H003,True,2020,24,19,5,0.7916666666666666,0.9766666666666666,23.439999999999998,7,6,0.8571428571428571,1.0000000000000002,13,14,0.9285714285714286,0.16666666666666666,0.8942857142857144,True,0.9659272287522471
RS+H,RS003,NFL-H008,True,2020,12,9,3,0.75,0.9375,11.25,5,4,0.8,1.128,6,7,0.8571428571428571,0.25,0.7155555555555556,True,0.9599832686515875
RS+H,RS001,NFL-H035,False,2020,10,7,3,0.7,0.7220000000000001,7.220000000000001,5,5,1.0,1.35,5,7,0.7142857142857143,0.3,0.4642857142857143,True,0.9383571428571429
RS+H,RS002,NFL-H035,False,2020,15,12,3,0.8,0.9579999999999999,14.369999999999997,7,5,0.7142857142857143,0.8028571428571428,10,11,0.9090909090909091,0.13333333333333333,0.8715384615384614,True,0.8792451223933434
RS+H,RS001,NFL-H010,False,2020,15,11,4,0.7333333333333333,0.7966666666666669,11.950000000000003,6,5,0.8333333333333334,0.9483333333333334,8,9,0.8888888888888888,0.2,0.6491666666666669,True,0.865679562952784
RS+H,RS003,NFL-H033,True,2020,12,9,3,0.75,0.8524999999999999,10.229999999999999,4,3,0.75,0.8475,8,9,0.8888888888888888,0.25,0.7727272727272727,True,0.8481787592720782
RS+H,RS003,NFL-H017,True,2020,25,17,8,0.68,0.6984,17.46,11,8,0.7272727272727273,0.7990909090909092,9,11,0.8181818181818182,0.24,0.605909090909091,True,0.7792015458881474
RS+H,RS001,NFL-H028,True,2020,11,7,4,0.6363636363636364,0.5663636363636364,6.23,4,3,0.75,0.805,6,8,0.75,0.18181818181818182,0.3666666666666667,True,0.7016984221366991
RS+H,RS002,NFL-H017,True,2020,11,8,3,0.7272727272727273,0.7345454545454545,8.08,4,2,0.5,0.2475,8,10,0.8,0.18181818181818182,0.629,True,0.5828719069851839
RS+H,RS003,NFL-H035,False,2020,12,7,5,0.5833333333333334,0.5000000000000001,6.000000000000001,7,4,0.5714285714285714,0.4257142857142857,5,8,0.625,0.25,0.30600000000000005,True,0.5245090623023813
