candidate_id,source,deployment_status,track,full_n,full_roi,trainval_n,trainval_roi,holdout_n,holdout_roi,min_week,median_week,max_week,min_prior_games,median_prior_games,W4_6_n,W4_6_share,W4_6_roi,W4_6_trainval_n,W4_6_trainval_roi,W4_6_holdout_n,W4_6_holdout_roi,W7_10_n,W7_10_share,W7_10_roi,W7_10_trainval_n,W7_10_trainval_roi,W7_10_holdout_n,W7_10_holdout_roi,W11_14_n,W11_14_share,W11_14_roi,W11_14_trainval_n,W11_14_trainval_roi,W11_14_holdout_n,W11_14_holdout_roi,W15_18_n,W15_18_share,W15_18_roi,W15_18_trainval_n,W15_18_trainval_roi,W15_18_holdout_n,W15_18_holdout_roi,recommended_start_week,timing_decision
NFL-NW003,NEXT_WAVE,WATCHLIST,LONG,72,0.8004166666666667,56,0.8242857142857142,16,0.7168749999999999,4,11.5,18,3,9.5,13,0.18055555555555555,1.109230769230769,11,1.1281818181818182,2,1.005,20,0.2777777777777778,0.8265,12,1.2641666666666667,8,0.16999999999999998,17,0.2361111111111111,0.8605882352941175,15,0.6320000000000001,2,2.575,22,0.3055555555555556,0.5477272727272727,18,0.5055555555555555,4,0.7375,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW012,NEXT_WAVE,WATCHLIST,LONG,77,0.522987012987013,55,0.5554545454545454,22,0.44181818181818183,5,11.0,18,4,9.0,9,0.11688311688311688,0.13444444444444445,7,0.10142857142857142,2,0.25,28,0.36363636363636365,0.6592857142857144,20,0.5995000000000001,8,0.8087500000000001,27,0.35064935064935066,0.4159259259259259,19,0.34368421052631587,8,0.5875,13,0.16883116883116883,0.7207692307692307,9,1.2577777777777779,4,-0.4875,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW008,NEXT_WAVE,WATCHLIST,LONG,69,0.552463768115942,50,0.5621999999999999,19,0.5268421052631579,5,11.0,17,4,9.0,14,0.2028985507246377,0.7678571428571429,8,0.925,6,0.5583333333333332,19,0.2753623188405797,0.08315789473684211,14,0.2771428571428572,5,-0.45999999999999996,25,0.36231884057971014,0.4668,18,0.22277777777777782,7,1.0942857142857143,11,0.15942028985507245,1.2836363636363635,10,1.2819999999999998,1,1.3,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW015,NEXT_WAVE,WATCHLIST,LONG,104,0.4994230769230769,79,0.49455696202531635,25,0.5148000000000001,5,11.0,18,4,9.0,14,0.1346153846153846,0.3964285714285714,10,0.458,4,0.2425,31,0.2980769230769231,0.4932258064516129,26,0.4761538461538461,5,0.5820000000000001,29,0.27884615384615385,0.35068965517241374,20,0.35950000000000004,9,0.33111111111111113,30,0.28846153846153844,0.6976666666666667,23,0.648695652173913,7,0.8585714285714285,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW016,NEXT_WAVE,WATCHLIST,LONG,77,0.7412987012987012,57,0.7956140350877192,20,0.5864999999999999,4,11.0,18,3,9.0,12,0.15584415584415584,1.5416666666666663,8,1.8287499999999999,4,0.9674999999999999,24,0.3116883116883117,0.9791666666666666,14,1.4671428571428573,10,0.296,16,0.2077922077922078,0.5331250000000001,15,0.372,1,2.95,25,0.3246753246753247,0.26199999999999996,20,0.22999999999999998,5,0.39,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW017,NEXT_WAVE,RESEARCH_ONLY,LONG,77,0.7412987012987012,57,0.7956140350877192,20,0.5864999999999999,4,11.0,18,3,9.0,12,0.15584415584415584,1.5416666666666663,8,1.8287499999999999,4,0.9674999999999999,24,0.3116883116883117,0.9791666666666666,14,1.4671428571428573,10,0.296,16,0.2077922077922078,0.5331250000000001,15,0.372,1,2.95,25,0.3246753246753247,0.26199999999999996,20,0.22999999999999998,5,0.39,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW005,NEXT_WAVE,WATCHLIST,LONG,85,0.577764705882353,57,0.5610526315789474,28,0.6117857142857143,4,10.0,18,3,8.0,14,0.16470588235294117,0.6857142857142857,9,0.8500000000000001,5,0.39,30,0.35294117647058826,0.6166666666666667,20,0.48099999999999987,10,0.8880000000000001,21,0.24705882352941178,0.43047619047619046,14,0.4521428571428571,7,0.3871428571428571,20,0.23529411764705882,0.5985,14,0.5985714285714285,6,0.5983333333333333,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW009,NEXT_WAVE,RESEARCH_ONLY,LONG,74,0.5462162162162162,52,0.5513461538461539,22,0.5340909090909091,5,11.0,18,4,9.0,14,0.1891891891891892,0.7678571428571429,8,0.925,6,0.5583333333333332,21,0.28378378378378377,0.08666666666666668,14,0.2771428571428572,7,-0.2942857142857142,27,0.36486486486486486,0.45296296296296296,20,0.2285,7,1.0942857142857143,12,0.16216216216216217,1.3016666666666665,10,1.2819999999999998,2,1.4,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW035,NEXT_WAVE,WATCHLIST,LONG,84,0.4766666666666667,52,0.5076923076923077,32,0.42625,4,9.5,18,3,8.0,24,0.2857142857142857,0.7579166666666667,15,0.6626666666666666,9,0.9166666666666666,22,0.2619047619047619,0.30000000000000004,15,0.2793333333333333,7,0.3442857142857143,18,0.21428571428571427,0.08388888888888887,12,0.012499999999999992,6,0.22666666666666666,20,0.23809523809523808,0.687,10,1.2120000000000002,10,0.16199999999999998,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW033,NEXT_WAVE,RESEARCH_ONLY,LONG,115,0.4626956521739131,82,0.471219512195122,33,0.4415151515151516,5,11.0,18,3,9.0,16,0.1391304347826087,0.378125,11,0.32545454545454544,5,0.49399999999999994,34,0.2956521739130435,0.5135294117647059,27,0.5166666666666666,7,0.5014285714285716,32,0.2782608695652174,0.2965625,20,0.35950000000000004,12,0.19166666666666665,33,0.28695652173913044,0.6124242424242425,24,0.58,9,0.698888888888889,5,START_AT_HISTORICAL_MIN_WEEK
