candidate_id,bucket,week_lo,week_hi,n,wins,losses,roi,units,trainval_n,trainval_roi,holdout_n,holdout_roi
NFL-NW003,W4_6,4,6,13,7,6,1.109230769230769,14.419999999999998,11,1.1281818181818182,2,1.005
NFL-NW003,W7_10,7,10,20,11,9,0.8265,16.53,12,1.2641666666666667,8,0.16999999999999998
NFL-NW003,W11_14,11,14,17,9,8,0.8605882352941175,14.629999999999999,15,0.6320000000000001,2,2.575
NFL-NW003,W15_18,15,18,24,11,13,0.6141666666666666,14.74,20,0.5894999999999999,4,0.7375
NFL-NW012,W4_6,4,6,9,4,5,0.13444444444444445,1.21,7,0.10142857142857142,2,0.25
NFL-NW012,W7_10,7,10,28,19,9,0.6592857142857144,18.46,20,0.5995000000000001,8,0.8087500000000001
NFL-NW012,W11_14,11,14,27,16,11,0.4159259259259259,11.23,19,0.34368421052631587,8,0.5875
NFL-NW012,W15_18,15,18,15,10,5,0.6619999999999998,9.929999999999998,11,1.0799999999999998,4,-0.4875
NFL-NW008,W4_6,4,6,14,10,4,0.7678571428571429,10.75,8,0.925,6,0.5583333333333332
NFL-NW008,W7_10,7,10,19,8,11,0.08315789473684211,1.58,14,0.2771428571428572,5,-0.45999999999999996
NFL-NW008,W11_14,11,14,25,15,10,0.4668,11.67,18,0.22277777777777782,7,1.0942857142857143
NFL-NW008,W15_18,15,18,13,12,1,1.3046153846153847,16.96,12,1.305,1,1.3
NFL-NW015,W4_6,4,6,14,8,6,0.3964285714285714,5.55,10,0.458,4,0.2425
NFL-NW015,W7_10,7,10,31,18,13,0.4932258064516129,15.29,26,0.4761538461538461,5,0.5820000000000001
NFL-NW015,W11_14,11,14,29,16,13,0.35068965517241374,10.169999999999998,20,0.35950000000000004,9,0.33111111111111113
NFL-NW015,W15_18,15,18,32,21,11,0.6637500000000001,21.240000000000002,25,0.6091999999999999,7,0.8585714285714285
NFL-NW016,W4_6,4,6,12,8,4,1.5416666666666663,18.499999999999996,8,1.8287499999999999,4,0.9674999999999999
NFL-NW016,W7_10,7,10,24,14,10,0.9791666666666666,23.5,14,1.4671428571428573,10,0.296
NFL-NW016,W11_14,11,14,16,7,9,0.5331250000000001,8.530000000000001,15,0.372,1,2.95
NFL-NW016,W15_18,15,18,25,9,16,0.26199999999999996,6.549999999999999,20,0.22999999999999998,5,0.39
NFL-NW017,W4_6,4,6,12,8,4,1.5416666666666663,18.499999999999996,8,1.8287499999999999,4,0.9674999999999999
NFL-NW017,W7_10,7,10,24,14,10,0.9791666666666666,23.5,14,1.4671428571428573,10,0.296
NFL-NW017,W11_14,11,14,16,7,9,0.5331250000000001,8.530000000000001,15,0.372,1,2.95
NFL-NW017,W15_18,15,18,25,9,16,0.26199999999999996,6.549999999999999,20,0.22999999999999998,5,0.39
NFL-NW005,W4_6,4,6,14,10,4,0.6857142857142857,9.6,9,0.8500000000000001,5,0.39
NFL-NW005,W7_10,7,10,30,20,10,0.6166666666666667,18.5,20,0.48099999999999987,10,0.8880000000000001
NFL-NW005,W11_14,11,14,21,13,8,0.43047619047619046,9.04,14,0.4521428571428571,7,0.3871428571428571
NFL-NW005,W15_18,15,18,24,14,10,0.4229166666666666,10.149999999999999,18,0.3644444444444444,6,0.5983333333333333
NFL-NW009,W4_6,4,6,14,10,4,0.7678571428571429,10.75,8,0.925,6,0.5583333333333332
NFL-NW009,W7_10,7,10,21,9,12,0.08666666666666668,1.8200000000000003,14,0.2771428571428572,7,-0.2942857142857142
NFL-NW009,W11_14,11,14,27,16,11,0.45296296296296296,12.23,20,0.2285,7,1.0942857142857143
NFL-NW009,W15_18,15,18,14,13,1,1.3185714285714287,18.46,12,1.305,2,1.4
NFL-NW035,W4_6,4,6,24,17,7,0.7579166666666667,18.19,15,0.6626666666666666,9,0.9166666666666666
NFL-NW035,W7_10,7,10,22,12,10,0.30000000000000004,6.6000000000000005,15,0.2793333333333333,7,0.3442857142857143
NFL-NW035,W11_14,11,14,18,8,10,0.08388888888888887,1.5099999999999998,12,0.012499999999999992,6,0.22666666666666666
NFL-NW035,W15_18,15,18,20,14,6,0.687,13.74,10,1.2120000000000002,10,0.16199999999999998
NFL-NW033,W4_6,4,6,16,9,7,0.378125,6.05,11,0.32545454545454544,5,0.49399999999999994
NFL-NW033,W7_10,7,10,34,20,14,0.5135294117647059,17.46,27,0.5166666666666666,7,0.5014285714285716
NFL-NW033,W11_14,11,14,32,17,15,0.2965625,9.49,20,0.35950000000000004,12,0.19166666666666665
NFL-NW033,W15_18,15,18,35,22,13,0.5862857142857144,20.520000000000003,26,0.5473076923076923,9,0.698888888888889
NFL-NW034,W4_6,4,6,11,8,3,0.8099999999999998,8.909999999999998,9,0.6577777777777778,2,1.495
NFL-NW034,W7_10,7,10,21,12,9,0.4533333333333333,9.52,17,0.631764705882353,4,-0.305
NFL-NW034,W11_14,11,14,21,11,10,0.3128571428571429,6.57,17,0.20411764705882354,4,0.775
