candidate_id,source,deployment_status,track,full_n,full_roi,trainval_n,trainval_roi,holdout_n,holdout_roi,min_week,median_week,max_week,min_prior_games,median_prior_games,W4_6_n,W4_6_share,W4_6_roi,W4_6_trainval_n,W4_6_trainval_roi,W4_6_holdout_n,W4_6_holdout_roi,W7_10_n,W7_10_share,W7_10_roi,W7_10_trainval_n,W7_10_trainval_roi,W7_10_holdout_n,W7_10_holdout_roi,W11_14_n,W11_14_share,W11_14_roi,W11_14_trainval_n,W11_14_trainval_roi,W11_14_holdout_n,W11_14_holdout_roi,W15_18_n,W15_18_share,W15_18_roi,W15_18_trainval_n,W15_18_trainval_roi,W15_18_holdout_n,W15_18_holdout_roi,recommended_start_week,timing_decision
NFL-H066,H_SERIES,WATCHLIST,LONG,75,0.5378666666666667,57,0.43824561403508777,18,0.8533333333333333,4,12.0,20,3,10.0,17,0.22666666666666666,0.39294117647058824,15,0.3453333333333333,2,0.75,14,0.18666666666666668,0.4014285714285715,11,-0.11,3,2.276666666666667,15,0.2,0.9046666666666667,11,0.9463636363636365,4,0.79,24,0.32,0.5525,17,0.6200000000000001,7,0.3885714285714286,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW001,NEXT_WAVE,WATCHLIST,LONG,78,0.4866666666666667,58,0.39534482758620687,20,0.7515,4,11.0,20,3,9.0,10,0.1282051282051282,0.542,7,0.08999999999999998,3,1.5966666666666667,25,0.32051282051282054,0.23400000000000007,18,0.2683333333333333,7,0.1457142857142857,22,0.28205128205128205,0.33636363636363636,17,0.1758823529411765,5,0.882,20,0.2564102564102564,1.0145000000000002,15,1.0319999999999998,5,0.9620000000000001,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW002,NEXT_WAVE,WATCHLIST,LONG,115,0.5795652173913044,86,0.5315116279069767,29,0.7220689655172413,4,11.0,20,3,9.0,21,0.1826086956521739,0.9880952380952379,15,0.7586666666666666,6,1.5616666666666665,33,0.28695652173913044,0.5815151515151514,20,0.9615,13,-0.0030769230769230795,22,0.19130434782608696,0.5713636363636364,20,0.37100000000000016,2,2.575,36,0.3130434782608696,0.3855555555555556,30,0.28933333333333333,6,0.8666666666666667,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW003,NEXT_WAVE,WATCHLIST,LONG,76,0.8102631578947369,58,0.8422413793103447,18,0.7072222222222222,4,12.0,20,3,10.0,13,0.17105263157894737,1.109230769230769,11,1.1281818181818182,2,1.005,20,0.2631578947368421,0.8265,12,1.2641666666666667,8,0.16999999999999998,17,0.2236842105263158,0.8605882352941175,15,0.6320000000000001,2,2.575,24,0.3157894736842105,0.6141666666666666,20,0.5894999999999999,4,0.7375,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW005,NEXT_WAVE,WATCHLIST,LONG,91,0.5218681318681319,62,0.47032258064516136,29,0.6320689655172413,4,11.0,20,3,9.0,14,0.15384615384615385,0.6857142857142857,9,0.8500000000000001,5,0.39,30,0.32967032967032966,0.6166666666666667,20,0.48099999999999987,10,0.8880000000000001,21,0.23076923076923078,0.43047619047619046,14,0.4521428571428571,7,0.3871428571428571,24,0.26373626373626374,0.4229166666666666,18,0.3644444444444444,6,0.5983333333333333,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW006,NEXT_WAVE,WATCHLIST,LONG,95,0.5657894736842105,70,0.5508571428571429,25,0.6076,4,11.0,19,3,9.0,13,0.1368421052631579,0.7461538461538461,9,0.34777777777777774,4,1.6425,29,0.30526315789473685,0.5775862068965517,24,0.6804166666666666,5,0.08399999999999999,29,0.30526315789473685,0.29827586206896545,22,0.2840909090909091,7,0.3428571428571429,23,0.24210526315789474,0.7343478260869566,14,0.7921428571428571,9,0.6444444444444444,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW007,NEXT_WAVE,WATCHLIST,LONG,96,0.4421875,75,0.39613333333333334,21,0.6066666666666666,4,11.0,20,3,9.5,16,0.16666666666666666,0.71875,13,0.6384615384615385,3,1.0666666666666667,23,0.23958333333333334,0.37173913043478257,16,0.35125,7,0.41857142857142854,30,0.3125,0.4106666666666667,25,0.4064000000000001,5,0.43200000000000005,23,0.23958333333333334,0.47521739130434787,19,0.4015789473684211,4,0.8250000000000001,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW008,NEXT_WAVE,WATCHLIST,LONG,74,0.5494594594594594,54,0.5361111111111111,20,0.5854999999999999,5,11.0,20,4,9.0,14,0.1891891891891892,0.7678571428571429,8,0.925,6,0.5583333333333332,19,0.25675675675675674,0.08315789473684211,14,0.2771428571428572,5,-0.45999999999999996,25,0.33783783783783783,0.4668,18,0.22277777777777782,7,1.0942857142857143,13,0.17567567567567569,1.3046153846153847,12,1.305,1,1.3,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW011,NEXT_WAVE,WATCHLIST,LONG,75,0.5009333333333332,50,0.4646,25,0.5736,5,12.0,20,3,10.0,11,0.14666666666666667,0.4109090909090909,6,0.34333333333333343,5,0.492,18,0.24,0.41222222222222227,15,0.36133333333333334,3,0.6666666666666666,22,0.29333333333333333,0.5436363636363636,14,0.3985714285714286,8,0.7975,20,0.26666666666666666,0.6305000000000001,14,0.7978571428571429,6,0.24,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW012,NEXT_WAVE,WATCHLIST,LONG,81,0.5411111111111111,57,0.5457894736842105,24,0.5299999999999999,5,11.0,21,4,9.0,9,0.1111111111111111,0.13444444444444445,7,0.10142857142857142,2,0.25,28,0.345679012345679,0.6592857142857144,20,0.5995000000000001,8,0.8087500000000001,27,0.3333333333333333,0.4159259259259259,19,0.34368421052631587,8,0.5875,15,0.18518518518518517,0.6619999999999998,11,1.0799999999999998,4,-0.4875,5,START_AT_HISTORICAL_MIN_WEEK
