method_id,season,n,wins,losses,win_pct,roi,units
SB002,2007,30,15,15,0.5,0.26299999999999996,7.889999999999999
SB002,2008,3,1,2,0.3333333333333333,-0.22666666666666666,-0.6799999999999999
SB002,2009,5,3,2,0.6,0.568,2.84
SB002,2010,6,4,2,0.6666666666666666,0.7716666666666666,4.63
SB002,2011,5,3,2,0.6,0.5199999999999999,2.5999999999999996
SB002,2012,5,4,1,0.8,0.9960000000000001,4.98
SB002,2013,9,2,7,0.2222222222222222,-0.46888888888888886,-4.22
SB002,2014,7,4,3,0.5714285714285714,0.38571428571428573,2.7
SB002,2015,6,4,2,0.6666666666666666,0.6749999999999999,4.05
SB002,2016,4,3,1,0.75,0.8200000000000001,3.2800000000000002
SB002,2017,6,0,6,0.0,-1.0,-6.0
SB002,2018,2,1,1,0.5,0.19999999999999996,0.3999999999999999
SB002,2019,7,5,2,0.7142857142857143,0.7971428571428572,5.58
SB002,2020,9,4,5,0.4444444444444444,0.1111111111111111,1.0
SB002,2021,2,1,1,0.5,0.19499999999999995,0.3899999999999999
SB002,2022,11,8,3,0.7272727272727273,0.7672727272727272,8.44
SB002,2023,7,4,3,0.5714285714285714,0.44571428571428573,3.12
SB002,2024,5,2,3,0.4,0.06799999999999998,0.33999999999999986
SB002,2025,8,6,2,0.75,0.91625,7.33
SB006,2006,6,4,2,0.6666666666666666,0.7333333333333334,4.4
SB006,2007,6,3,3,0.5,0.15666666666666665,0.94
SB006,2008,5,4,1,0.8,0.96,4.8
SB006,2009,3,1,2,0.3333333333333333,-0.12666666666666662,-0.3799999999999999
SB006,2010,3,2,1,0.6666666666666666,0.5066666666666667,1.52
SB006,2011,1,0,1,0.0,-1.0,-1.0
SB006,2012,9,4,5,0.4444444444444444,0.12888888888888891,1.1600000000000001
SB006,2013,4,1,3,0.25,-0.36,-1.44
SB006,2014,5,2,3,0.4,0.0060000000000000496,0.03000000000000025
SB006,2015,10,5,5,0.5,0.231,2.31
SB006,2016,10,7,3,0.7,0.8109999999999999,8.11
SB006,2017,8,4,4,0.5,0.18125,1.45
SB006,2018,6,4,2,0.6666666666666666,0.695,4.17
SB006,2019,9,5,4,0.5555555555555556,0.2733333333333334,2.4600000000000004
SB006,2020,1,0,1,0.0,-1.0,-1.0
SB006,2021,5,5,0,1.0,1.198,5.99
SB006,2022,7,2,5,0.2857142857142857,-0.2742857142857143,-1.92
SB006,2023,5,3,2,0.6,0.4,2.0
SB006,2024,5,4,1,0.8,0.82,4.1
SB006,2025,6,3,3,0.5,0.3166666666666667,1.9000000000000004
SB008,2006,3,1,2,0.3333333333333333,-0.48148148148148145,-1.4444444444444444
