method_id,week,n,wins,losses,win_pct,roi,units
SB002,4,11,8,3,0.7272727272727273,0.8509090909090908,9.36
SB002,5,7,3,4,0.42857142857142855,0.09142857142857139,0.6399999999999997
SB002,6,10,4,6,0.4,0.0009999999999999788,0.009999999999999787
SB002,7,6,3,3,0.5,0.23833333333333329,1.4299999999999997
SB002,8,14,10,4,0.7142857142857143,0.7750000000000001,10.850000000000001
SB002,9,9,4,5,0.4444444444444444,0.14222222222222225,1.2800000000000002
SB002,10,7,4,3,0.5714285714285714,0.4342857142857143,3.04
SB002,11,9,6,3,0.6666666666666666,0.7122222222222222,6.41
SB002,12,6,3,3,0.5,0.30333333333333334,1.82
SB002,13,11,3,8,0.2727272727272727,-0.36,-3.96
SB002,14,17,10,7,0.5882352941176471,0.4611764705882353,7.84
SB002,15,10,5,5,0.5,0.26999999999999996,2.6999999999999997
SB002,16,10,6,4,0.6,0.481,4.81
SB002,17,7,4,3,0.5714285714285714,0.45142857142857146,3.16
SB002,18,3,1,2,0.3333333333333333,-0.24,-0.72
SB006,4,10,5,5,0.5,0.179,1.7899999999999998
SB006,5,4,3,1,0.75,0.7625,3.05
SB006,6,4,3,1,0.75,0.7375,2.95
SB006,7,9,5,4,0.5555555555555556,0.3566666666666667,3.21
SB006,8,1,1,0,1.0,1.36,1.36
SB006,9,8,4,4,0.5,0.29625,2.37
SB006,10,8,5,3,0.625,0.60625,4.85
SB006,11,6,2,4,0.3333333333333333,-0.16,-0.96
SB006,12,7,6,1,0.8571428571428571,1.1,7.700000000000001
SB006,13,14,7,7,0.5,0.16642857142857143,2.33
SB006,14,12,4,8,0.3333333333333333,-0.14666666666666667,-1.76
SB006,15,8,4,4,0.5,0.10999999999999999,0.8799999999999999
SB006,16,7,5,2,0.7142857142857143,0.8171428571428571,5.72
SB006,17,13,6,7,0.46153846153846156,0.12846153846153846,1.67
SB006,18,3,3,0,1.0,1.4799999999999998,4.4399999999999995
SB008,4,7,6,1,0.8571428571428571,0.40953802081718244,2.866766145720277
SB008,5,6,6,0,1.0,0.6799308261457492,4.079584956874495
SB008,6,6,3,3,0.5,-0.1865857719516256,-1.1195146317097535
SB008,7,3,2,1,0.6666666666666666,0.08173690932311624,0.24521072796934873
SB008,8,9,7,2,0.7777777777777778,0.2807017802651839,2.526316022386655
SB008,9,10,8,2,0.8,0.33502764113894795,3.3502764113894794
SB008,10,4,3,1,0.75,0.24794213658620862,0.9917685463448345
SB008,11,5,4,1,0.8,0.34665516503503985,1.7332758251751992
SB008,12,12,10,2,0.8333333333333334,0.3958555633998822,4.750266760798587
SB008,13,4,3,1,0.75,0.23459711863326324,0.938388474533053
SB008,14,12,10,2,0.8333333333333334,0.3762261058773428,4.514713270528113
SB008,15,7,5,2,0.7142857142857143,0.17136511021051135,1.1995557714735794
SB008,16,2,2,0,1.0,0.6390426571149463,1.2780853142298927
SB008,17,5,3,2,0.6,-0.004771543953996571,-0.023857719769982855
SB008,18,1,0,1,0.0,-1.0,-1.0
SB011,4,4,2,2,0.5,-0.29557780559032126,-1.182311222361285
SB011,5,8,7,1,0.875,0.27919086284013167,2.2335269027210534
SB011,6,5,3,2,0.6,-0.12075297787861598,-0.6037648893930799
SB011,7,6,4,2,0.6666666666666666,-0.06283061490588855,-0.37698368943533134
SB011,8,3,2,1,0.6666666666666666,-0.03418803418803416,-0.10256410256410248
SB011,9,7,7,0,1.0,0.4400668395857354,3.0804678771001477
SB011,10,3,3,0,1.0,0.3785588309397833,1.13567649281935
SB011,11,5,5,0,1.0,0.42255094504499296,2.1127547252249648
SB011,12,8,6,2,0.75,0.035164095900024395,0.28131276720019516
SB011,13,8,7,1,0.875,0.2748880411294403,2.1991043290355226
SB011,14,4,3,1,0.75,0.08922434126288832,0.3568973650515533
SB011,15,9,8,1,0.8888888888888888,0.2665382354453673,2.398844119008306
SB011,16,6,5,1,0.8333333333333334,0.21774238647915098,1.3064543188749058
SB011,17,8,7,1,0.875,0.2646699944783094,2.1173599558264753
SB011,18,1,1,0,1.0,0.4694835680751174,0.4694835680751174
SB016,4,8,6,2,0.75,0.6712499999999999,5.369999999999999
SB016,5,9,4,5,0.4444444444444444,0.10999999999999995,0.9899999999999995
SB016,6,12,4,8,0.3333333333333333,-0.2791666666666666,-3.3499999999999996
SB016,7,14,6,8,0.42857142857142855,0.023571428571428594,0.3300000000000003
SB016,8,8,5,3,0.625,0.54,4.32
SB016,9,8,6,2,0.75,0.7775,6.22
SB016,10,7,5,2,0.7142857142857143,0.7442857142857144,5.210000000000001
SB016,11,10,4,6,0.4,-0.05199999999999998,-0.5199999999999998
SB016,12,13,3,10,0.23076923076923078,-0.4569230769230769,-5.9399999999999995
SB016,13,12,9,3,0.75,0.7866666666666667,9.440000000000001
SB016,14,10,3,7,0.3,-0.23500000000000001,-2.35
SB016,15,6,3,3,0.5,0.20833333333333334,1.25
SB016,16,14,6,8,0.42857142857142855,0.12,1.68
SB016,17,8,2,6,0.25,-0.4225,-3.38
SB016,18,5,3,2,0.6,0.608,3.04
SB025,4,16,7,9,0.4375,-0.2624988800798199,-4.199982081277119
