method_id,season,week,game_id,team,opponent,moneyline
SB002,2007,9,2007_09_ARI_TB,ARI,TB,164.0
SB002,2008,13,2008_13_ARI_PHI,ARI,PHI,156.0
SB002,2019,13,2019_13_LA_ARI,ARI,LA,125.0
SB002,2020,11,2020_11_ARI_SEA,ARI,SEA,147.0
SB002,2007,11,2007_11_TB_ATL,ATL,TB,165.0
SB002,2007,14,2007_14_NO_ATL,ATL,NO,183.0
SB002,2009,16,2009_16_BAL_PIT,BAL,PIT,127.0
SB002,2018,13,2018_13_BUF_MIA,BUF,MIA,162.0
SB002,2007,12,2007_12_NO_CAR,CAR,NO,159.0
SB002,2012,7,2012_07_DAL_CAR,CAR,DAL,124.0
SB002,2025,18,2025_18_CAR_TB,CAR,TB,130.0
SB002,2007,14,2007_14_CHI_WAS,CHI,WAS,150.0
SB002,2014,15,2014_15_NO_CHI,CHI,NO,159.0
SB002,2023,4,2023_04_DEN_CHI,CHI,DEN,136.0
SB002,2023,6,2023_06_MIN_CHI,CHI,MIN,140.0
SB002,2023,15,2023_15_CHI_CLE,CHI,CLE,124.0
SB002,2007,8,2007_08_PIT_CIN,CIN,PIT,181.0
SB002,2020,14,2020_14_DAL_CIN,CIN,DAL,148.0
SB002,2014,13,2014_13_CLE_BUF,CLE,BUF,156.0
SB002,2020,14,2020_14_BAL_CLE,CLE,BAL,156.0
SB002,2021,15,2021_15_LV_CLE,CLE,LV,131.0
SB002,2011,8,2011_08_DAL_PHI,DAL,PHI,146.0
SB002,2020,17,2020_17_LV_DEN,DEN,LV,130.0
SB002,2007,10,2007_10_DET_ARI,DET,ARI,124.0
SB002,2019,9,2019_09_DET_OAK,DET,LV,129.0
SB002,2022,5,2022_05_DET_NE,DET,NE,133.0
SB002,2022,8,2022_08_MIA_DET,DET,MIA,169.0
SB002,2007,13,2007_13_HOU_TEN,HOU,TEN,175.0
SB002,2015,13,2015_13_HOU_BUF,HOU,BUF,129.0
SB002,2015,14,2015_14_NE_HOU,HOU,NE,181.0
SB002,2024,9,2024_09_HOU_NYJ,HOU,NYJ,124.0
SB002,2024,5,2024_05_IND_JAX,IND,JAC,154.0
SB002,2013,15,2013_15_BUF_JAX,JAC,BUF,181.0
SB002,2013,16,2013_16_TEN_JAX,JAC,TEN,179.0
SB002,2007,15,2007_15_TEN_KC,KC,TEN,172.0
SB002,2009,12,2009_12_SEA_STL,LA,SEA,148.0
SB002,2010,5,2010_05_STL_DET,LA,DET,129.0
SB002,2010,7,2010_07_STL_TB,LA,TB,149.0
SB002,2014,17,2014_17_SD_KC,LAC,KC,137.0
SB002,2024,6,2024_06_PIT_LV,LV,PIT,150.0
SB002,2007,10,2007_10_CHI_OAK,LV,CHI,173.0
SB002,2013,4,2013_04_WAS_OAK,LV,WAS,166.0
SB002,2013,12,2013_12_TEN_OAK,LV,TEN,136.0
SB002,2013,14,2013_14_OAK_NYJ,LV,NYJ,140.0
SB002,2007,6,2007_06_MIA_CLE,MIA,CLE,174.0
SB002,2008,6,2008_06_MIA_HOU,MIA,HOU,143.0
SB002,2017,8,2017_08_MIA_BAL,MIA,BAL,141.0
SB002,2017,9,2017_09_OAK_MIA,MIA,LV,140.0
SB002,2017,4,2017_04_NYG_TB,NYG,TB,126.0
SB002,2017,14,2017_14_DAL_NYG,NYG,DAL,175.0
