method_id,kind,feature,op,threshold,pre_score
SB002,FEATURE,adv_altitude_change_ft,<=,-3.0,0.2765683403737839
SB002,FEATURE,opp_coachq_staff_downgrade_count,>=,1.0,0.22855320479641134
SB002,FEATURE,recent_edge_def_allowed_early_down_epa,>=,0.0471296790353184,0.21714240658770584
SB002,FEATURE,adv_altitude_change_ft,<=,-135.0,0.2101453373015873
SB002,FEATURE,rank_edge_fg_accuracy,<=,-7.450000000000001,0.17934699235385215
SB002,FEATURE,adv_staff_downgrade_count,<=,-1.0,0.16948164682539674
SB002,FEATURE,rank_edge_punt_return_average,<=,-11.0,0.15197616436925654
SB002,FEATURE,rank_edge_def_allowed_sack_or_hit_rate,<=,-13.0,0.140031391723356
SB002,FEATURE,road_miles_last5_including_current,>=,3577.008845591549,0.13031914682539675
SB002,FEATURE,recent_edge_sack_or_hit_rate,<=,-0.03289828744176567,0.1299042416763453
SB002,FEATURE,recent_edge_def_allowed_sack_or_hit_rate,<=,-0.0404078792581965,0.12151914682539683
SB002,FEATURE,recent_edge_success_rate,<=,-0.04452764674843316,0.1082081181933714
SB002,FEATURE,recent_edge_def_allowed_yards_per_play,>=,0.8815571392779126,0.1030345314407814
SB002,FEATURE,rank_edge_points_against,<=,-4.5,0.09743700396825389
SB006,FEATURE,rank_edge_punt_return_average,<=,-4.0,0.36224807193557185
SB006,FEATURE,rank_edge_points_against,<=,-7.699999999999996,0.2969295016170017
SB006,FEATURE,recent_edge_def_allowed_off_epa_per_play,<=,-0.1171790728919649,0.2872500144375144
SB006,FEATURE,recent_edge_def_allowed_early_down_epa,<=,-0.0770673079082595,0.2571551426426426
SB006,FEATURE,opp_coachq_staff_downgrade_count,>=,1.0,0.24416232727087994
SB006,FEATURE,recent_edge_def_allowed_yards_per_play,<=,-0.6373059059733678,0.24041020800211976
SB006,FEATURE,recent_edge_def_allowed_explosive_rate,<=,-0.0220387139265016,0.23613696082446078
SB006,FEATURE,rank_edge_points_against,<=,-16.0,0.21952519095182144
SB006,FEATURE,rank_edge_punt_net_average,<=,1.0,0.21186625375375367
SB006,FEATURE,rank_edge_punt_return_average,<=,-8.0,0.20690896659646663
SB006,FEATURE,rank_edge_points_against,<=,-21.0,0.1950223261051749
SB006,FEATURE,recent_edge_def_allowed_success_rate,<=,-0.0130782724387629,0.1810011196541369
SB006,FEATURE,recent_edge_points_against,<=,-11.733333333333334,0.17896025960170703
SB006,FEATURE,recent_edge_def_allowed_early_down_epa,<=,-0.15722694404419926,0.1772190315315315
SB008,FEATURE,opp_coachq_hc_changed_quality,>=,1.0,0.2027382337566935
SB008,FEATURE,recent_edge_giveaway_rate,>=,-0.0002893044496126,0.1941500488835529
SB008,FEATURE,rank_edge_def_allowed_rush_epa_per_carry,>=,8.0,0.18755568848337448
SB008,FEATURE,opp_coachq_hc_prior_role_seasons,<=,0.0,0.18727051056993446
SB008,FEATURE,rank_edge_def_allowed_off_epa_per_play,>=,15.0,0.1812058030384154
SB008,FEATURE,rank_edge_def_allowed_success_rate,>=,6.5,0.17654944125012131
SB008,FEATURE,rank_edge_def_allowed_rush_epa_per_carry,>=,10.650000000000002,0.1750215352920911
SB008,FEATURE,opp_coachq_hc_prior_role_seasons,<=,1.0,0.16841871342015366
SB008,FEATURE,rank_edge_punt_return_average,<=,0.0,0.16696833234638855
SB008,FEATURE,recent_edge_giveaway_rate,>=,0.008643261531877092,0.1317168246569483
SB008,FEATURE,rank_edge_off_epa,<=,2.0,0.12523807650361976
