track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score
LONG,DOG35_44,AWAY,ROAD3,"[[""road_prev5_ge3"", "">="", 1.0], [""recent_edge_sack_or_hit_rate"", "">="", 0.00288736374754465]]",86,48,0.5581395348837209,0.3929069767441861,40,0.2615,21,0.30619047619047624,25,0.6759999999999999,0.85,0.39215476190476184,True,0.5663606976744187
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""rank_edge_pass_epa_per_dropback"", "">="", 1.0]]",72,32,0.4444444444444444,0.4433333333333333,37,0.30945945945945946,21,0.5752380952380952,14,0.5992857142857143,0.7894736842105263,0.156936936936937,True,0.5253457449931135
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""recent_edge_punt_net_average"", "">="", 3.68373015873016]]",116,72,0.6206896551724138,0.5026724137931035,60,0.5151666666666667,19,0.47894736842105273,37,0.49459459459459454,0.75,-0.0024624229492651306,True,0.4956872242523831
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4476493111406392], [""rank_edge_off_epa"", "">="", 8.0]]",76,45,0.5921052631578947,0.3909210526315789,34,0.5391176470588236,19,0.052631578947368376,23,0.45130434782608697,0.7894736842105263,0.155429734822991,True,0.47945878314712614
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.47805328197721075], [""recent_edge_kick_return_average"", ""<="", -0.1388888888888892]]",86,32,0.37209302325581395,0.31441860465116284,44,0.1359090909090909,22,0.41999999999999993,20,0.591,0.7,0.31304545454545457,True,0.4709339534883721
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.47805328197721075], [""rank_edge_points_against"", "">="", -5.0]]",123,43,0.34959349593495936,0.22756097560975608,67,0.08388059701492537,25,0.17479999999999996,31,0.5806451612903227,0.8,0.4513048627828601,True,0.4636560451088383
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.42857142857142855], [""recent_edge_giveaway_rate"", "">="", 0.0090715033196651]]",110,47,0.42727272727272725,0.4924545454545455,65,0.45492307692307693,26,0.576923076923077,19,0.5052631578947369,0.65,-0.01065991902834007,True,0.45613933014354063
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4667437246300308], [""recent_edge_punt_return_average"", "">="", 0.2999999999999989]]",125,73,0.584,0.37528,56,0.4828571428571428,28,0.1242857142857143,41,0.39975609756097563,0.7894736842105263,0.09618466898954708,True,0.45054069503025856
LONG,DOG20_34,AWAY,COLD,"[[""late_cold40_known"", "">="", 1.0], [""recent_edge_off_epa"", "">="", -3.647945323238858]]",65,24,0.36923076923076925,0.3356923076923076,33,0.3048484848484848,20,0.3125,12,0.4591666666666668,0.7368421052631579,0.15049242424242437,True,0.43471192338363396
MODERN,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.4], [""rank_edge_fg_accuracy"", ""<="", 10.5]]",105,88,0.8380952380952381,0.20989529603395443,27,0.14003671838281595,20,0.20182389499822756,32,0.35224408654989064,0.8,0.1813137798593689,True,0.43257224689569546
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4667437246300308], [""recent_edge_explosive_rate"", ""<="", -0.0016755061764846]]",93,54,0.5806451612903226,0.38634408602150544,50,0.45819999999999994,14,0.11714285714285715,29,0.3924137931034483,0.6842105263157895,0.1047423645320198,True,0.4306815640798326
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""rank_edge_def_allowed_yards_per_play"", ""<="", -2.0]]",182,104,0.5714285714285714,0.36934065934065935,79,0.3832911392405063,39,0.3364102564102564,64,0.3721875,0.75,0.012336802174618633,True,0.42018180626072243
LONG,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.39317810457516345], [""rank_edge_fg_accuracy"", ""<="", 10.125]]",93,78,0.8387096774193549,0.211093759673878,31,0.07822692198302228,25,0.21991092690543101,37,0.3164570782584105,0.75,0.16738815381418387,True,0.4096711326989403
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4476493111406392], [""rank_edge_third_down_success"", "">="", 9.0]]",78,43,0.5512820512820513,0.3292307692307692,29,0.37965517241379315,22,0.2349999999999999,27,0.35185185185185186,0.75,0.04452426564495532,True,0.40581664456233424
MODERN,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.4], [""rank_edge_def_allowed_explosive_rate"", "">="", 5.0]]",70,57,0.8142857142857143,0.17232003524465048,20,0.09160776690736983,15,0.1310330847059549,18,0.3606568319497373,0.65,0.24933640614307495,True,0.39591876646365
