method_id,season,n,wins,losses,win_pct,roi,units
RS001,2006,8,3,5,0.375,0.0012499999999999734,0.009999999999999787
RS001,2007,1,1,0,1.0,1.46,1.46
RS001,2008,7,3,4,0.42857142857142855,0.05571428571428579,0.39000000000000057
RS001,2009,5,4,1,0.8,1.008,5.04
RS001,2010,9,4,5,0.4444444444444444,0.15333333333333332,1.38
RS001,2011,2,2,0,1.0,1.445,2.89
RS001,2012,3,3,0,1.0,1.43,4.29
RS001,2013,5,0,5,0.0,-1.0,-5.0
RS001,2014,4,4,0,1.0,1.3874999999999997,5.549999999999999
RS001,2015,2,1,1,0.5,0.18000000000000005,0.3600000000000001
RS001,2016,5,2,3,0.4,0.05800000000000001,0.29000000000000004
RS001,2017,4,1,3,0.25,-0.4,-1.6
RS001,2018,2,1,1,0.5,0.22999999999999998,0.45999999999999996
RS001,2019,4,2,2,0.5,0.3425,1.37
RS001,2020,1,1,0,1.0,1.73,1.73
RS001,2021,3,3,0,1.0,1.4433333333333334,4.33
RS001,2022,10,7,3,0.7,0.7379999999999999,7.379999999999999
RS001,2023,5,3,2,0.6,0.488,2.44
RS001,2024,1,1,0,1.0,1.36,1.36
RS001,2025,5,2,3,0.4,-0.06800000000000002,-0.3400000000000001
RS002,2006,10,8,2,0.8,1.081,10.81
RS002,2007,11,6,5,0.5454545454545454,0.4027272727272727,4.43
RS002,2008,13,9,4,0.6923076923076923,0.6984615384615384,9.079999999999998
RS002,2009,5,2,3,0.4,0.02799999999999998,0.1399999999999999
RS002,2010,5,1,4,0.2,-0.562,-2.81
RS002,2011,4,3,1,0.75,0.65,2.6
RS002,2012,9,8,1,0.8888888888888888,1.0733333333333333,9.66
RS002,2013,3,0,3,0.0,-1.0,-3.0
RS002,2014,5,4,1,0.8,0.8720000000000001,4.36
RS002,2015,4,3,1,0.75,0.6975,2.79
RS002,2016,1,0,1,0.0,-1.0,-1.0
RS002,2017,3,0,3,0.0,-1.0,-3.0
RS002,2018,3,3,0,1.0,1.43,4.29
RS002,2019,3,2,1,0.6666666666666666,0.5533333333333333,1.6600000000000001
RS002,2020,3,2,1,0.6666666666666666,0.4033333333333333,1.21
RS002,2021,3,3,0,1.0,1.6066666666666667,4.82
RS002,2022,5,5,0,1.0,1.378,6.89
RS002,2023,7,2,5,0.2857142857142857,-0.2942857142857142,-2.0599999999999996
RS002,2024,8,6,2,0.75,0.7475,5.98
RS002,2025,11,5,6,0.45454545454545453,0.1327272727272727,1.4599999999999997
RS003,2006,23,13,10,0.5652173913043478,0.45521739130434785,10.47
RS003,2007,10,6,4,0.6,0.5770000000000001,5.7700000000000005
RS003,2008,9,7,2,0.7777777777777778,0.8177777777777778,7.36
RS003,2009,9,7,2,0.7777777777777778,0.9822222222222222,8.84
RS003,2010,7,2,5,0.2857142857142857,-0.32142857142857145,-2.25
RS003,2011,7,3,4,0.42857142857142855,-0.0014285714285714299,-0.010000000000000009
RS003,2012,10,5,5,0.5,0.18,1.7999999999999998
RS003,2013,4,1,3,0.25,-0.425,-1.7
RS003,2014,8,5,3,0.625,0.4325,3.46
RS003,2015,7,5,2,0.7142857142857143,0.5885714285714286,4.12
RS003,2016,5,3,2,0.6,0.32999999999999996,1.65
RS003,2017,6,2,4,0.3333333333333333,-0.26333333333333336,-1.58
RS003,2018,5,3,2,0.6,0.366,1.83
RS003,2019,8,5,3,0.625,0.45499999999999996,3.6399999999999997
RS003,2020,7,4,3,0.5714285714285714,0.2914285714285714,2.04
RS003,2021,6,5,1,0.8333333333333334,0.9550000000000001,5.73
RS003,2022,16,10,6,0.625,0.568125,9.09
RS003,2023,8,3,5,0.375,-0.12,-0.96
RS003,2024,16,9,7,0.5625,0.30625,4.9
RS003,2025,11,6,5,0.5454545454545454,0.2745454545454545,3.0199999999999996
