method_id,week,n,wins,losses,win_pct,roi,units
RS001,4,0,0,0,,,0.0
RS001,5,0,0,0,,,0.0
RS001,6,4,2,2,0.5,0.14,0.56
RS001,7,7,3,4,0.42857142857142855,0.08142857142857148,0.5700000000000003
RS001,8,4,1,3,0.25,-0.385,-1.54
RS001,9,6,4,2,0.6666666666666666,0.725,4.35
RS001,10,7,6,1,0.8571428571428571,1.2228571428571429,8.56
RS001,11,12,7,5,0.5833333333333334,0.4266666666666666,5.119999999999999
RS001,12,6,4,2,0.6666666666666666,0.695,4.17
RS001,13,8,4,4,0.5,0.27249999999999996,2.1799999999999997
RS001,14,9,6,3,0.6666666666666666,0.7077777777777778,6.370000000000001
RS001,15,8,4,4,0.5,0.20875000000000002,1.6700000000000002
RS001,16,9,3,6,0.3333333333333333,-0.20444444444444443,-1.8399999999999999
RS001,17,4,3,1,0.75,0.78,3.12
RS001,18,2,1,1,0.5,0.25,0.5
RS002,4,12,7,5,0.5833333333333334,0.4416666666666667,5.300000000000001
RS002,5,11,3,8,0.2727272727272727,-0.3890909090909091,-4.28
RS002,6,8,4,4,0.5,0.21500000000000005,1.7200000000000004
RS002,7,5,4,1,0.8,1.02,5.1
RS002,8,9,7,2,0.7777777777777778,0.9688888888888888,8.719999999999999
RS002,9,5,3,2,0.6,0.352,1.76
RS002,10,11,8,3,0.7272727272727273,0.6663636363636365,7.330000000000001
RS002,11,12,7,5,0.5833333333333334,0.4033333333333333,4.84
RS002,12,5,5,0,1.0,1.434,7.17
RS002,13,7,3,4,0.42857142857142855,0.027142857142857135,0.18999999999999995
RS002,14,3,1,2,0.3333333333333333,-0.22666666666666666,-0.6799999999999999
RS002,15,8,7,1,0.875,1.22,9.76
RS002,16,12,9,3,0.75,0.8516666666666666,10.219999999999999
RS002,17,7,4,3,0.5714285714285714,0.3085714285714286,2.16
RS002,18,1,0,1,0.0,-1.0,-1.0
RS003,4,18,13,5,0.7222222222222222,0.7650000000000001,13.770000000000001
RS003,5,14,5,9,0.35714285714285715,-0.1764285714285714,-2.4699999999999998
RS003,6,11,5,6,0.45454545454545453,0.043636363636363674,0.4800000000000004
RS003,7,13,9,4,0.6923076923076923,0.6015384615384616,7.82
RS003,8,16,11,5,0.6875,0.683125,10.93
RS003,9,11,6,5,0.5454545454545454,0.33000000000000007,3.630000000000001
RS003,10,14,7,7,0.5,0.16785714285714287,2.35
RS003,11,17,9,8,0.5294117647058824,0.30529411764705877,5.1899999999999995
RS003,12,16,10,6,0.625,0.4756250000000001,7.610000000000001
RS003,13,9,3,6,0.3333333333333333,-0.20666666666666667,-1.86
RS003,14,8,2,6,0.25,-0.45125000000000004,-3.6100000000000003
RS003,15,11,7,4,0.6363636363636364,0.5981818181818181,6.58
RS003,16,10,8,2,0.8,0.976,9.76
RS003,17,11,6,5,0.5454545454545454,0.22181818181818186,2.4400000000000004
RS003,18,3,3,0,1.0,1.5333333333333332,4.6
