method_id,season,week,game_id,team,opponent,moneyline,market_prob
RS001,2013,14,2013_14_ATL_GB,ATL,GB,166.0,0.37593984962406013
RS001,2010,6,2010_06_BAL_NE,BAL,NE,126.0,0.4424778761061947
RS001,2013,11,2013_11_BAL_CHI,BAL,CHI,181.0,0.35587188612099646
RS001,2022,15,2022_15_BAL_CLE,BAL,CLE,139.0,0.41841004184100417
RS001,2008,10,2008_10_BUF_NE,BUF,NE,167.0,0.37453183520599254
RS001,2006,7,2006_07_CAR_CIN,CAR,CIN,143.0,0.411522633744856
RS001,2016,17,2016_17_CAR_TB,CAR,TB,171.0,0.36900369003690037
RS001,2025,8,2025_08_CHI_BAL,CHI,BAL,124.0,0.44642857142857145
RS001,2006,16,2006_16_CIN_DEN,CIN,DEN,150.0,0.4
RS001,2015,16,2015_16_CIN_DEN,CIN,DEN,166.0,0.37593984962406013
RS001,2009,11,2009_11_CLE_DET,CLE,DET,158.0,0.3875968992248062
RS001,2025,8,2025_08_DAL_DEN,DAL,DEN,160.0,0.38461538461538464
RS001,2017,16,2017_16_DEN_WAS,DEN,WAS,144.0,0.4098360655737705
RS001,2006,7,2006_07_DET_NYJ,DET,NYJ,185.0,0.3508771929824561
RS001,2006,9,2006_09_GB_BUF,GB,BUF,168.0,0.373134328358209
RS001,2017,15,2017_15_GB_CAR,GB,CAR,136.0,0.423728813559322
RS001,2018,11,2018_11_GB_SEA,GB,SEA,146.0,0.4065040650406504
RS001,2010,9,2010_09_IND_PHI,IND,PHI,146.0,0.4065040650406504
RS001,2013,12,2013_12_IND_ARI,IND,ARI,166.0,0.37593984962406013
RS001,2023,14,2023_14_IND_CIN,IND,CIN,124.0,0.44642857142857145
RS001,2016,6,2016_06_LA_DET,LA,DET,131.0,0.4329004329004329
RS001,2016,8,2016_08_SD_DEN,LAC,DEN,159.0,0.3861003861003861
RS001,2022,16,2022_16_LV_PIT,LV,PIT,127.0,0.44052863436123346
RS001,2013,14,2013_14_OAK_NYJ,LV,NYJ,140.0,0.4166666666666667
RS001,2019,13,2019_13_MIN_SEA,MIN,SEA,138.0,0.42016806722689076
RS001,2008,13,2008_13_NO_TB,NO,TB,177.0,0.36101083032490977
RS001,2008,15,2008_15_NO_CHI,NO,CHI,129.0,0.4366812227074236
RS001,2025,18,2025_18_NO_ATL,NO,ATL,170.0,0.37037037037037035
RS001,2008,15,2008_15_NYG_DAL,NYG,DAL,141.0,0.4149377593360996
RS001,2010,11,2010_11_NYG_PHI,NYG,PHI,163.0,0.38022813688212925
RS001,2010,7,2010_07_PHI_TEN,PHI,TEN,129.0,0.4366812227074236
RS001,2019,7,2019_07_PHI_DAL,PHI,DAL,148.0,0.4032258064516129
RS001,2022,16,2022_16_PHI_DAL,PHI,DAL,178.0,0.3597122302158273
RS001,2013,13,2013_13_PIT_BAL,PIT,BAL,144.0,0.4098360655737705
RS001,2017,13,2017_13_TB_GB,TB,GB,146.0,0.4065040650406504
RS001,2010,12,2010_12_TEN_HOU,TEN,HOU,180.0,0.35714285714285715
RS001,2006,11,2006_11_WAS_TB,WAS,TB,155.0,0.39215686274509803
RS001,2023,16,2023_16_WAS_NYJ,WAS,NYJ,140.0,0.4166666666666667
RS002,2024,13,2024_13_ARI_MIN,ARI,MIN,154.0,0.3937007874015748
RS002,2023,4,2023_04_ATL_JAX,ATL,JAC,154.0,0.3937007874015748
RS002,2009,4,2009_04_BAL_NE,BAL,NE,123.0,0.4484304932735426
RS002,2010,6,2010_06_BAL_NE,BAL,NE,126.0,0.4424778761061947
RS002,2010,10,2010_10_BAL_ATL,BAL,ATL,113.0,0.4694835680751174
RS002,2008,5,2008_05_BUF_ARI,BUF,ARI,124.0,0.44642857142857145
RS002,2009,8,2009_08_HOU_BUF,BUF,HOU,172.0,0.36764705882352944
RS002,2013,10,2013_10_BUF_PIT,BUF,PIT,129.0,0.4366812227074236
RS002,2024,4,2024_04_BUF_BAL,BUF,BAL,114.0,0.4672897196261682
RS002,2008,16,2008_16_CAR_NYG,CAR,NYG,185.0,0.3508771929824561
RS002,2025,18,2025_18_CAR_TB,CAR,TB,130.0,0.43478260869565216
RS002,2025,8,2025_08_CHI_BAL,CHI,BAL,124.0,0.44642857142857145
