method_id,compare_to,family,jaccard,intersection_n
RS001,RS002,TOP3,0.046632124352331605,9
RS001,RS003,TOP3,0.046875,12
RS002,RS003,TOP3,0.22633744855967078,55
RS001,NFL-H005,H,0.062111801242236024,10
RS002,NFL-H005,H,0.015151515151515152,3
RS003,NFL-H005,H,0.047058823529411764,12
RS001,NFL-H010,H,0.09714285714285714,17
RS002,NFL-H010,H,0.027777777777777776,6
RS003,NFL-H010,H,0.054945054945054944,15
RS001,NFL-H002,H,0.06698564593301436,14
RS002,NFL-H002,H,0.024291497975708502,6
RS003,NFL-H002,H,0.06333333333333334,19
RS001,NFL-H003,H,0.14479638009049775,32
RS002,NFL-H003,H,0.0599250936329588,16
RS003,NFL-H003,H,0.0672782874617737,22
RS001,NFL-H008,H,0.04225352112676056,9
RS002,NFL-H008,H,0.04564315352697095,11
RS003,NFL-H008,H,0.052980132450331126,16
RS001,NFL-H027,H,0.07109004739336493,15
RS002,NFL-H027,H,0.03643724696356275,9
RS003,NFL-H027,H,0.02875399361022364,9
RS001,NFL-H028,H,0.08860759493670886,21
RS002,NFL-H028,H,0.043478260869565216,12
RS003,NFL-H028,H,0.056716417910447764,19
RS001,NFL-H029,H,0.04247104247104247,11
RS002,NFL-H029,H,0.034482758620689655,10
RS003,NFL-H029,H,0.030985915492957747,11
RS001,NFL-H017,H,0.08264462809917356,30
RS002,NFL-H017,H,0.04962779156327544,20
RS003,NFL-H017,H,0.09641255605381166,43
RS001,NFL-H036,H,0.06698564593301436,14
RS002,NFL-H036,H,0.012,3
RS003,NFL-H036,H,0.056291390728476824,17
RS001,NFL-H033,H,0.0688622754491018,23
RS002,NFL-H033,H,0.03753351206434316,14
RS003,NFL-H033,H,0.041379310344827586,18
RS001,NFL-H035,H,0.07655502392344497,16
RS002,NFL-H035,H,0.06694560669456066,16
RS003,NFL-H035,H,0.049019607843137254,15
RS001,CO001,CO,0.0,0
RS002,CO001,CO,0.0,0
RS003,CO001,CO,0.0,0
RS001,CO005,CO,0.029535864978902954,7
RS002,CO005,CO,0.033962264150943396,9
RS003,CO005,CO,0.0625,20
RS001,CO026,CO,0.0,0
RS002,CO026,CO,0.01809954751131222,4
RS003,CO026,CO,0.039285714285714285,11
RS001,CO009,CO,0.0,0
RS002,CO009,CO,0.0,0
RS003,CO009,CO,0.0,0
RS001,CO048,CO,0.0,0
RS002,CO048,CO,0.0,0
RS003,CO048,CO,0.0,0
RS001,CO043,CO,0.0,0
RS002,CO043,CO,0.0,0
RS003,CO043,CO,0.0,0
RS001,CO061,CO,0.0,0
RS002,CO061,CO,0.0,0
RS003,CO061,CO,0.0,0
RS001,CO017,CO,0.02654867256637168,6
RS002,CO017,CO,0.027450980392156862,7
RS003,CO017,CO,0.05128205128205128,16
RS001,CO016,CO,0.0,0
RS002,CO016,CO,0.0,0
RS003,CO016,CO,0.0,0
RS001,CO018,CO,0.0,0
RS002,CO018,CO,0.0,0
RS003,CO018,CO,0.0,0
