method_id,p_lo,p_hi,odds_range,train_n,train_roi,validation_n,validation_roi,pre_n,pre_score,holdout_n,holdout_roi,full_n,full_roi
RS001,0.38,0.45,+122 to +163,27,0.3588888888888889,17,0.288235294117647,44,0.34520143576556306,19,0.6236842105263157,63,0.4196825396825397
RS001,0.36,0.42,+138 to +178,26,0.1957692307692308,16,0.425625,42,0.33135285308953344,12,0.6983333333333334,54,0.37555555555555553
RS001,0.35,0.42,+138 to +186,31,0.1838709677419355,16,0.425625,47,0.3278627379693284,15,0.7306666666666667,62,0.37854838709677424
RS001,0.36,0.45,+122 to +178,35,0.2814285714285715,21,0.30619047619047624,56,0.32135050741608123,22,0.6509090909090909,78,0.39230769230769225
RS001,0.35,0.45,+122 to +186,40,0.2615,21,0.30619047619047624,61,0.3138452380952381,25,0.6759999999999999,86,0.3929069767441861
RS001,0.36,0.43,+133 to +178,27,0.23962962962962966,19,0.32473684210526316,46,0.30480618668711856,13,0.7492307692307693,59,0.37932203389830516
RS001,0.35,0.41,+144 to +186,27,0.27,14,0.2871428571428572,41,0.29873536299765807,10,0.8710000000000001,51,0.3925490196078431
RS001,0.35,0.43,+133 to +186,32,0.22125000000000003,19,0.32473684210526316,51,0.2980753882657463,16,0.77,67,0.38164179104477614
RS001,0.38,0.44,+127 to +163,23,0.3017391304347826,16,0.22749999999999998,39,0.28379989308624376,12,0.8224999999999999,51,0.4009803921568627
RS001,0.36,0.44,+127 to +178,31,0.2290322580645162,20,0.25849999999999995,51,0.2688480962453728,15,0.8226666666666665,66,0.37287878787878787
RS001,0.35,0.44,+127 to +186,36,0.2141666666666667,20,0.25849999999999995,56,0.2638743169398907,18,0.8288888888888889,74,0.3756756756756757
RS001,0.37,0.45,+122 to +170,31,0.1835483870967742,18,0.21666666666666667,49,0.22420588753745815,20,0.5425,69,0.296231884057971
RS001,0.37,0.43,+133 to +170,23,0.10043478260869568,16,0.22749999999999998,39,0.1831477191732003,11,0.5700000000000001,50,0.24439999999999998
RS001,0.37,0.44,+127 to +170,27,0.10888888888888894,17,0.15529411764705878,44,0.15373084753026894,13,0.6823076923076923,57,0.2535087719298246
RS002,0.35,0.48,+108 to +186,55,0.5032727272727272,12,0.6575000000000001,67,0.6058294016110471,35,0.46285714285714286,102,0.5075490196078432
RS002,0.35,0.49,+104 to +186,59,0.5064406779661017,17,0.5329411764705883,76,0.5485516867120158,36,0.4794444444444444,112,0.5017857142857143
RS002,0.35,0.5,-100 to +186,60,0.5151666666666667,19,0.47894736842105273,79,0.5270570175438597,37,0.49459459459459454,116,0.5026724137931035
RS002,0.36,0.49,+104 to +178,52,0.43980769230769234,16,0.455,68,0.47322663096397277,33,0.35787878787878785,101,0.4154455445544555
RS002,0.36,0.5,-100 to +178,53,0.45094339622641516,18,0.4066666666666667,71,0.4557670567629966,34,0.3779411764705882,105,0.4197142857142857
RS002,0.38,0.49,+104 to +163,43,0.29860465116279067,14,0.4692857142857143,57,0.40559075234450565,27,0.1640740740740741,84,0.2838095238095238
RS002,0.37,0.49,+104 to +170,45,0.3602222222222222,15,0.37133333333333335,60,0.38856258790436005,33,0.35787878787878785,93,0.36118279569892475
